,LINE,EXCLUDE,DEFINE,VARIANT,CLASS,SCOPE,PREFIX,STEM,SUFFIX,PREFIX-SHORT,STEM-SHORT,SUFFIX-SHORT,
41,41,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.1P],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.E.1P] [PRON] [PRON2],[I1P.E],[I],[I1P.E],Imperfective+energetic - لأكتبَن لأكتبَنَّ nun tawkid of two types
42,42,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.1S],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.E.1S] [PRON] [PRON2],[I1S.E],[I],[I1S.E],
43,43,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.2D],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.E.2D] [PRON] [PRON2],[I2D.E],[I],[I2D.E],
44,44,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.2FP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.E.2FP] [PRON] [PRON2],[I2FP.E],[I],[I2FP.E],
45,45,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.2FS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.E.2FS] [PRON] [PRON2],[I2FS.E],[I],[I2FS.E],
46,46,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.2MP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.E.2MP] [PRON] [PRON2],[I2MP.E],[I],[I2MP.E],
47,47,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.2MS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.E.2MS] [PRON] [PRON2],[I2MS.E],[I],[I2MS.E],
48,48,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3FD],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.E.3FD] [PRON] [PRON2],[I3FD.E],[I],[I3FD.E],
49,49,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3FP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.E.3FP] [PRON] [PRON2],[I3FP.E],[I],[I3FP.E],
50,50,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3FS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.E.3FS] [PRON] [PRON2],[I3FS.E],[I],[I3FS.E],
51,51,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3MD],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.E.3MD] [PRON] [PRON2],[I3MD.E],[I],[I3MD.E],
52,52,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3MP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.E.3MP] [PRON] [PRON2],[I3MP.E],[I],[I3MP.E],
53,53,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3MS],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.E.3MS] [PRON] [PRON2],[I3MS.E],[I],[I3MS.E],
54,54,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.X] [IVPref.1P],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.X.1P] [PRON] [PRON2],[I1P.X],[I],[I1P.X],Imperfective+extra energetic - لأكتبَن لأكتبَنَّ nun tawkid of two types
55,55,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.X] [IVPref.1S],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.X.1S] [PRON] [PRON2],[I1S.X],[I],[I1S.X],
56,56,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.X] [IVPref.2D],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.X.2D] [PRON] [PRON2],[I2D.X],[I],[I2D.X],
57,57,IV,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.X] [IVPref.2FP],[IVPreBuff] [STEM-IV] [IVBuff],[IVSuff.X.2FP] [PRON] [PRON2],[I2FP.X],[I],[I2FP.X],
