SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
VERB.C3MP.PE.E0	>abA'		OK		
VERB.C3FP.PE.E0	>abA'		OK		
VERB.C1S.AE	qay~al		OK		
VERB.C1P.AE	qay~al		OK		
VERB.C2MS.AE	qay~al	qay~ilano	OK		
VERB.C2FS.AE	qay~al	qay~ilino	OK		
VERB.C2D.AE	qay~al	qay~ilAn~i	OK		
VERB.C2MP.AE	qay~al	qay~iluno	OK		
VERB.C2FP.AE	qay~al	qay~ilnAn~i	OK		
VERB.C3MS.AE	qay~al		OK		
VERB.C3FS.AE	qay~al		OK		
VERB.C3MD.AE	qay~al		OK		
VERB.C3FD.AE	qay~al		OK		
VERB.C3MP.AE	qay~al		OK		
VERB.C3FP.AE	qay~al		OK		
VERB.C1S.PE	qay~al		OK		
VERB.C1P.PE	qay~al		OK		
VERB.C2MS.PE	qay~al		OK		
VERB.C2FS.PE	qay~al		OK		
VERB.C2D.PE	qay~al		OK		
VERB.C2MP.PE	qay~al		OK		
VERB.C2FP.PE	qay~al		OK		
VERB.C3MS.PE	qay~al		OK		
VERB.C3FS.PE	qay~al		OK		
VERB.C3MD.PE	qay~al		OK		
VERB.C3FD.PE	qay~al		OK		
VERB.C3MP.PE	qay~al		OK		
VERB.C3FP.PE	qay~al		OK		
VERB.C1S.AE.E0	qay~al		OK		
VERB.C1P.AE.E0	qay~al		OK		
VERB.C2MS.AE.E0	qay~al	qay~ilanohu	OK		
VERB.C2FS.AE.E0	qay~al	qay~ilinohu	OK		
VERB.C2D.AE.E0	qay~al	qay~ilAn~ihi	OK		
VERB.C2MP.AE.E0	qay~al	qay~ilunohu	OK		
VERB.C2FP.AE.E0	qay~al	qay~ilnAn~ihi	OK		
VERB.C3MS.AE.E0	qay~al		OK		
VERB.C3FS.AE.E0	qay~al		OK		
VERB.C3MD.AE.E0	qay~al		OK		
VERB.C3FD.AE.E0	qay~al		OK		
VERB.C3MP.AE.E0	qay~al		OK		
VERB.C3FP.AE.E0	qay~al		OK		
VERB.C1S.PE.E0	qay~al		OK		
VERB.C1P.PE.E0	qay~al		OK		
VERB.C2MS.PE.E0	qay~al		OK		
VERB.C2FS.PE.E0	qay~al		OK		
VERB.C2D.PE.E0	qay~al		OK		
VERB.C2MP.PE.E0	qay~al		OK		
VERB.C2FP.PE.E0	qay~al		OK		
VERB.C3MS.PE.E0	qay~al		OK		
VERB.C3FS.PE.E0	qay~al		OK		
VERB.C3MD.PE.E0	qay~al		OK		
VERB.C3FD.PE.E0	qay~al		OK		
VERB.C3MP.PE.E0	qay~al		OK		
VERB.C3FP.PE.E0	qay~al		OK		
VERB.C1S.AE	qawiy-a		OK		
VERB.C1P.AE	qawiy-a		OK		
VERB.C2MS.AE	qawiy-a	Aiqowayano	OK		
VERB.C2FS.AE	qawiy-a	Aiqowayayino	OK		
VERB.C2D.AE	qawiy-a	AiqowayAn~i	OK		
VERB.C2MP.AE	qawiy-a	Aiqowayawuno	OK		
VERB.C2FP.AE	qawiy-a	AiqowaynAn~i	OK		
VERB.C3MS.AE	qawiy-a		OK		
VERB.C3FS.AE	qawiy-a		OK		
VERB.C3MD.AE	qawiy-a		OK		
VERB.C3FD.AE	qawiy-a		OK		
VERB.C3MP.AE	qawiy-a		OK		
VERB.C3FP.AE	qawiy-a		OK		
VERB.C1S.PE	qawiy-a		OK		
VERB.C1P.PE	qawiy-a		OK		
VERB.C2MS.PE	qawiy-a		OK		
VERB.C2FS.PE	qawiy-a		OK		
VERB.C2D.PE	qawiy-a		OK		
VERB.C2MP.PE	qawiy-a		OK		
VERB.C2FP.PE	qawiy-a		OK		
VERB.C3MS.PE	qawiy-a		OK		
VERB.C3FS.PE	qawiy-a		OK		
VERB.C3MD.PE	qawiy-a		OK		
VERB.C3FD.PE	qawiy-a		OK		
VERB.C3MP.PE	qawiy-a		OK		
VERB.C3FP.PE	qawiy-a		OK		
VERB.C1S.AE.E0	qawiy-a		OK		
VERB.C1P.AE.E0	qawiy-a		OK		
VERB.C2MS.AE.E0	qawiy-a	Aiqowayanohu	OK		
VERB.C2FS.AE.E0	qawiy-a	Aiqowayayinohu	OK		
VERB.C2D.AE.E0	qawiy-a	AiqowayAn~ihi	OK		
VERB.C2MP.AE.E0	qawiy-a	Aiqowayawunohu	OK	INTRANS	
VERB.C2FP.AE.E0	qawiy-a	AiqowaynAn~ihi	OK		
VERB.C3MS.AE.E0	qawiy-a		OK		
VERB.C3FS.AE.E0	qawiy-a		OK		
VERB.C3MD.AE.E0	qawiy-a		OK		
VERB.C3FD.AE.E0	qawiy-a		OK		
VERB.C3MP.AE.E0	qawiy-a		OK		
VERB.C3FP.AE.E0	qawiy-a		OK		
VERB.C1S.PE.E0	qawiy-a		OK		
VERB.C1P.PE.E0	qawiy-a		OK		
VERB.C2MS.PE.E0	qawiy-a		OK		
VERB.C2FS.PE.E0	qawiy-a		OK		
VERB.C2D.PE.E0	qawiy-a		OK		
VERB.C2MP.PE.E0	qawiy-a		OK		
VERB.C2FP.PE.E0	qawiy-a		OK		
VERB.C3MS.PE.E0	qawiy-a		OK		
VERB.C3FS.PE.E0	qawiy-a		OK		
VERB.C3MD.PE.E0	qawiy-a		OK		
VERB.C3FD.PE.E0	qawiy-a		OK		
VERB.C3MP.PE.E0	qawiy-a		OK		
VERB.C3FP.PE.E0	qawiy-a		OK		
VERB.C1S.AE	{isotano$aY		OK		
VERB.C1P.AE	{isotano$aY		OK		
VERB.C2MS.AE	{isotano$aY	Aisotano$iyano	OK		
VERB.C2FS.AE	{isotano$aY	Aisotano$ino	OK		
VERB.C2D.AE	{isotano$aY	Aisotano$iyAn~i	OK		
VERB.C2MP.AE	{isotano$aY	Aisotano$uno	OK		
VERB.C2FP.AE	{isotano$aY	Aisotano$inAn~i	OK		
VERB.C3MS.AE	{isotano$aY		OK		
VERB.C3FS.AE	{isotano$aY		OK		
VERB.C3MD.AE	{isotano$aY		OK		
VERB.C3FD.AE	{isotano$aY		OK		
VERB.C3MP.AE	{isotano$aY		OK		
VERB.C3FP.AE	{isotano$aY		OK		
VERB.C1S.PE	{isotano$aY		OK		
VERB.C1P.PE	{isotano$aY		OK		
VERB.C2MS.PE	{isotano$aY		OK		
VERB.C2FS.PE	{isotano$aY		OK		
VERB.C2D.PE	{isotano$aY		OK		
VERB.C2MP.PE	{isotano$aY		OK		
