SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
NOM.FS.CN	sabotap	sabotahapu	OK		
NOM.FS.CG	sabotap	sabotahapi	OK		
NOM.FS.CA	sabotap	sabotahapa	OK		
NOM.FS.DN.P0.E0	sabotap		OK		
NOM.FS.DG.P0.E0	sabotap		OK		
NOM.FS.DA.P0.E0	sabotap		OK		
NOM.FS.CN.E0	sabotap	sabotahatuhu	OK		
NOM.FS.CG.E0	sabotap	sabotahatihi	OK		
NOM.FS.CA.E0	sabotap	sabotahatahu	OK		
NOM.S.DN.P0.E0	>uwl		OK		
NOM.S.DG.P0.E0	>uwl		OK		
NOM.S.DA.P0.E0	>uwl		OK		
NOM.MS.DN.P0.E0	vAniy		OK		
NOM.MS.DG.P0.E0	vAniy		OK		
NOM.MS.DA.P0.E0	vAniy		OK		
NOM.MS.DN.P0.E0	xAyomiy		OK		
NOM.MS.DG.P0.E0	xAyomiy		OK		
NOM.MS.DA.P0.E0	xAyomiy		OK		
NOM.S.DN.P0.E0	*iy		OK		
NOM.S.DG.P0.E0	*iy		OK		
NOM.S.DA.P0.E0	*iy		OK		
NOM.FS.DN.P0.E0	maEAdiy		OK		
NOM.FS.DG.P0.E0	maEAdiy		OK		
NOM.FS.DA.P0.E0	maEAdiy		OK		
NOM.FS.DN.P0	HamAp	AlHamApu	OK		
NOM.FS.DG.P0	HamAp	AlHamApi	OK		
NOM.FS.DA.P0	HamAp	AlHamApa	OK		
NOM.FS.IN	HamAp	HamApu	OK		
NOM.FS.IG	HamAp	HamApa	OK		
NOM.FS.IA	HamAp	HamApa	OK		
NOM.FS.CN	HamAp	HamApu	OK		
NOM.FS.CG	HamAp	HamApi	OK		
NOM.FS.CA	HamAp	HamApa	OK		
NOM.FS.DN.P0.E0	HamAp		OK		
NOM.FS.DG.P0.E0	HamAp		OK		
NOM.FS.DA.P0.E0	HamAp		OK		
NOM.FS.CN.E0	HamAp	HamAtuhu	OK		
NOM.FS.CG.E0	HamAp	HamAtihi	OK		
NOM.FS.CA.E0	HamAp	HamAtahu	OK		
NOM.FS.DN.P0	lanodan	All~anodanu	OK		
NOM.FS.DG.P0	lanodan	All~anodani	OK		
NOM.FS.DA.P0	lanodan	All~anodana	OK		
NOM.FS.IN	lanodan	lanodanu	OK		
NOM.FS.IG	lanodan	lanodana	OK		
NOM.FS.IA	lanodan	lanodana	OK		
NOM.FS.CN	lanodan	lanodanu	OK		
NOM.FS.CG	lanodan	lanodani	OK		
NOM.FS.CA	lanodan	lanodana	OK		
NOM.FS.DN.P0.E0	lanodan		OK		
NOM.FS.DG.P0.E0	lanodan		OK		
NOM.FS.DA.P0.E0	lanodan		OK		
NOM.FS.CN.E0	lanodan	lanodanuhu	OK		
NOM.FS.CG.E0	lanodan	lanodanihi	OK		
NOM.FS.CA.E0	lanodan	lanodanahu	OK		
NOM.MS.DN.P0	lamobuwr	All~amobuwru	OK		
