SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
OTHER...P1.E0_li_prep	mA		OK		
OTHER...P2.E0	mA		OK		
OTHER...P12.E0_bi_prep	mA		OK		
OTHER...P12.E0_li_prep	mA		OK		
OTHER....	mAhuwa	mAhuwa	OK		
OTHER...P1_bi_prep	mAhuwa		OK		
OTHER...P1_li_prep	mAhuwa		OK		
OTHER...P2	mAhuwa	wamAhuwa	OK		
OTHER...P12_bi_prep	mAhuwa		OK		
OTHER...P12_li_prep	mAhuwa		OK		
OTHER...E0	mAhuwa		OK		
OTHER...P1.E0_bi_prep	mAhuwa		OK		
OTHER...P1.E0_li_prep	mAhuwa		OK		
OTHER...P2.E0	mAhuwa		OK		
OTHER...P12.E0_bi_prep	mAhuwa		OK		
OTHER...P12.E0_li_prep	mAhuwa		OK		
OTHER....	halo	halo	OK		
OTHER...P1_bi_prep	halo		OK		
OTHER...P1_li_prep	halo		OK		
OTHER...P2	halo	wahalo	OK		
OTHER...P12_bi_prep	halo		OK		
OTHER...P12_li_prep	halo		OK		
OTHER...E0	halo		OK		
OTHER...P1.E0_bi_prep	halo		OK		
OTHER...P1.E0_li_prep	halo		OK		
OTHER...P2.E0	halo		OK		
OTHER...P12.E0_bi_prep	halo		OK		
OTHER...P12.E0_li_prep	halo		OK		
OTHER....	<iy~A	<iy~A	OK		
OTHER...P1_bi_prep	<iy~A		OK		
OTHER...P1_li_prep	<iy~A		OK		
OTHER...P2	<iy~A	wa<iy~A	OK		
OTHER...P12_bi_prep	<iy~A		OK		
OTHER...P12_li_prep	<iy~A		OK		
OTHER...E0	<iy~A	<iy~Ahu	OK		
OTHER...P1.E0_bi_prep	<iy~A		OK		
OTHER...P1.E0_li_prep	<iy~A		OK		
OTHER...P2.E0	<iy~A	wa<iy~Ahu	OK		
OTHER...P12.E0_bi_prep	<iy~A		OK		
OTHER...P12.E0_li_prep	<iy~A		OK		
OTHER....	lawolA	lawolA	OK		
OTHER...P1_bi_prep	lawolA		OK		
OTHER...P1_li_prep	lawolA		OK		
OTHER...P2	lawolA	walawolA	OK		
OTHER...P12_bi_prep	lawolA		OK		
OTHER...P12_li_prep	lawolA		OK		
OTHER...E0	lawolA	lawolAhu	OK		
OTHER...P1.E0_bi_prep	lawolA		OK		
OTHER...P1.E0_li_prep	lawolA		OK		
