SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
VERB.I1S.AI.E0	banaY	Aabniyuh	PROB		
VERB.I1S.AI.E0	banaY	AabnaYiyuh	PROB		
VERB.I1P.AI.E0	banaY	nibniyuh	PROB		
VERB.I1P.AI.E0	banaY	nibnaYiyuh	PROB		
VERB.I2MS.AI.E0	banaY	tibniyuh	PROB		
VERB.I2MS.AI.E0	banaY	tibnaYiyuh	PROB		
VERB.I2FS.AI.E0	banaY	tibniyuh	PROB		
VERB.I2FS.AI.E0	banaY	tibnaYiyuh	PROB		
VERB.I2P.AI.E0	banaY	tibnuwuh	PROB		
VERB.I2P.AI.E0	banaY	tibnaYuwuh	PROB		
VERB.I3MS.AI.E0	banaY	yibniyuh	PROB		
VERB.I3MS.AI.E0	banaY	yibnaYiyuh	PROB		
VERB.I3FS.AI.E0	banaY	tibniyuh	PROB		
VERB.I3FS.AI.E0	banaY	tibnaYiyuh	PROB		
VERB.I3P.AI.E0	banaY	yibnuwuh	PROB		
VERB.I3P.AI.E0	banaY	yibnaYuwuh	PROB		
VERB.I1S.AI	xa*		PROB		
VERB.I1P.AI	xa*	nAxu*	OK		
VERB.I2MS.AI	xa*	tAxu*	OK		
VERB.I2FS.AI	xa*	tAxu*iy	PROB	check # needed	
VERB.I2P.AI	xa*	tAxu*uwA	PROB		
VERB.I3MS.AI	xa*	yAxu*	OK		
VERB.I3FS.AI	xa*	tAxu*	OK		
VERB.I3P.AI	xa*	yAxu*uwA	PROB		
VERB.I1S.AI.E0	xa*		PROB		
VERB.I1P.AI.E0	xa*	nAxu*uh	PROB	nAx*uh	
VERB.I2MS.AI.E0	xa*	tAxu*uh	PROB		
VERB.I2FS.AI.E0	xa*	tAxu*iyuh	PROB		
VERB.I2P.AI.E0	xa*	tAxu*uwuh	PROB		
VERB.I3MS.AI.E0	xa*	yAxu*uh	PROB		
VERB.I3FS.AI.E0	xa*	tAxu*uh	PROB		
VERB.I3P.AI.E0	xa*	yAxu*uwuh	PROB		
VERB.I1S.AI	ra>af	Aar>af	OK		
VERB.I2MS.AI	ra>af	tir>af	OK		
VERB.I2MS.AI	ra>af	tur>uf	PROB		
VERB.I2FS.AI	ra>af	tir>afiy	OK		
VERB.I2FS.AI	ra>af	tur>ufiy	PROB		
VERB.I2P.AI	ra>af	tir>afuwA	OK		
VERB.I2P.AI	ra>af	tur>ufuwA	PROB		
VERB.I3MS.AI	ra>af	yir>af	OK		
VERB.I3MS.AI	ra>af	yur>uf	PROB		
VERB.I3FS.AI	ra>af	tir>af	OK		
VERB.I3FS.AI	ra>af	tur>uf	PROB		
VERB.I3P.AI	ra>af	yir>afuwA	OK		
VERB.I3P.AI	ra>af	yur>ufuwA	PROB		
VERB.I1S.AI.E0	ra>af		OK		
VERB.I1P.AI.E0	ra>af		OK		
VERB.I2MS.AI.E0	ra>af		OK		
VERB.I2FS.AI.E0	ra>af		OK		
VERB.I2P.AI.E0	ra>af		OK		
VERB.I3MS.AI.E0	ra>af		OK		
VERB.I3FS.AI.E0	ra>af		OK		
VERB.I3P.AI.E0	ra>af		OK		
VERB.I1S.AI	rajA	Aarjuw	OK		
VERB.I1P.AI	rajA	nirjuw	OK	nurjuw	
VERB.I2MS.AI	rajA	tirjuw	OK		
VERB.I2FS.AI	rajA	tirjiy	OK		
VERB.I2P.AI	rajA	tirjuwA	OK		
VERB.I3MS.AI	rajA	yirjuw	OK		
VERB.I3FS.AI	rajA	tirjuw	OK		
VERB.I3P.AI	rajA	yirjuwA	OK		
VERB.I1S.AI.E0	rajA	Aarjuwuh	PROB		
VERB.I2MS.AI.E0	rajA	tirjuwuh	PROB		
VERB.I2FS.AI.E0	rajA	tirjiyuh	PROB		
VERB.I2P.AI.E0	rajA	tirjuwuh	PROB		
VERB.I3MS.AI.E0	rajA	yirjuwuh	PROB		
VERB.I3FS.AI.E0	rajA	tirjuwuh	PROB		
VERB.I3P.AI.E0	rajA	yirjuwuh	PROB		
VERB.I1S.AI	EanaY		PROB	h-pref	
VERB.I1P.AI	EanaY	naEniy	OK		
VERB.I2MS.AI	EanaY	taEniy	OK		
VERB.I2FS.AI	EanaY	taEniy	OK		
VERB.I2P.AI	EanaY	taEnuwA	OK		
VERB.I3MS.AI	EanaY	yaEniy	OK		
VERB.I3FS.AI	EanaY	taEniy	OK		
