,LINE,DEFINE,CLASS,MORPHEME,MORPH,BW,GLOSS,FEAT,COND-T,COND-S,NOTES,EXAMPLES,STATUS,NSTAT,Check
278,200.2215,MORPH,[PRON] ,ik/PRON.2FS,i#kiy,kiy/XVSUFF_DO:2FS,you [fem.sg.],enc0:2fs_dobj,ACTPART #NEG,enc0 enc0:2*,_+ik,,,DONE,
279,200.2031,MORPH,[PRON] ,kuw/PRON.2P,u#kuw,kuw/XVSUFF_DO:2P,you,enc0:2p_dobj,ACTPART,enc0 enc0:2*,_+kuw,,,DONE,
280,200.3111,MORPH,[PRON] ,uh/PRON.3MS,u#h,uh/XVSUFF_DO:3MS,him,enc0:3ms_dobj,ACTPART else,enc0,_+uh,,,DONE,
281,200.3114,MORPH,[PRON] ,uh/PRON.3MS,u#huw,uh/XVSUFF_DO:3MS,him,enc0:3ms_dobj,ACTPART #NEG,enc0,_+uh,,,DONE,
282,200.3211,MORPH,[PRON] ,hA/PRON.3FS,a#hA,hA/XVSUFF_DO:3FS,her,enc0:3fs_dobj,ACTPART,enc0,_+hA,,,DONE,
283,200.3031,MORPH,[PRON] ,hum/PRON.3P,u#hum ,hum/XVSUFF_DO:3P,them,enc0:3p_dobj,ACTPART,enc0,_+hum,,,DONE,
284,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,
286,200.1031,MORPH,[PRON] ,nA/PRON.1P,i#nA,nA/POSS_PRON_1P,us,enc0:1p_poss,!ACTPART,C:POSS_PRON,,,,,
287,200.2111,MORPH,[PRON] ,ak/PRON.2MS,a#k,ak/POSS_PRON_2MS,you [masc.sg.],enc0:2ms_poss,!ACTPART,C:POSS_PRON,,,,,
288,200.2212,MORPH,[PRON] ,ik/PRON.2FS,ik,ik/POSS_PRON_2FS,you [fem.sg.],enc0:2fs_poss,!ACTPART else,C:POSS_PRON-i,,,,,
289,200.2215,MORPH,[PRON] ,ik/PRON.2FS,i#kiy,kiy/POSS_PRON_2FS,you [fem.sg.],enc0:2fs_poss,!ACTPART #^V,C:POSS_PRON-i,,,,,
290,200.2215,MORPH,[PRON] ,ik/PRON.2FS,i#kiy,kiy/POSS_PRON_2FS,you [fem.sg.],enc0:2fs_poss,!ACTPART #NEG,C:POSS_PRON-i,,,,,
291,200.2031,MORPH,[PRON] ,kuw/PRON.2P,u#kuw,kuw/POSS_PRON_2P,you,enc0:2p_poss,!ACTPART,C:POSS_PRON-i,,,,,
292,200.3111,MORPH,[PRON] ,uh/PRON.3MS,u#h,uh/POSS_PRON_3MS,him,enc0:3ms_poss,!ACTPART else,C:POSS_PRON-u,,,,,
293,200.3114,MORPH,[PRON] ,uh/PRON.3MS,u#huw,uh/POSS_PRON_3MS,him,enc0:3ms_poss,!ACTPART #NEG,C:POSS_PRON-u,,,,,
294,200.3211,MORPH,[PRON] ,hA/PRON.3FS,a#hA,hA/POSS_PRON_3FS,her,enc0:3fs_poss,!ACTPART,C:POSS_PRON,,,,,
295,200.3031,MORPH,[PRON] ,hum/PRON.3P,u#hum ,hum/POSS_PRON_3P,them,enc0:3p_poss,!ACTPART,C:POSS_PRON,,,,,
296,,,,,,,,,,,,,,,
297,200.1011,MORPH,[PRON] ,iy/PRON.1S,iy,iy/POSS_PRON_1S,me,enc0:1s_poss,!ACTPART,C:POSS_PRON-iy,,,,,
298,200.1011,MORPH,[PRON] ,iy/PRON.1S,ya,iy/POSS_PRON_1S,my,enc0:1s_poss,!ACTPART C:A#,C:POSS_PRON-iy,,,,,
299,200.1011,MORPH,[PRON] ,iy/PRON.1S,~a,iy/POSS_PRON_1S,my,enc0:1s_poss,!ACTPART C:ay#||C:iy#,C:POSS_PRON-iy,,,,,
