,LINE,DEFINE,CLASS,MORPHEME,MORPH,BW,GLOSS,FEAT,COND-T,COND-S,NOTES,EXAMPLES,STATUS,NSTAT,Check
118,300.1111,MORPH,[NSuff.XXIN],NSuff.MSIN,N,N/CASE_INDEF_NOM,[masc.sg.indef.nom.],form_gen:m form_num:s stt:i cas:n,else,MS u-suff,Base Triptote-Sound,كتابٌ,DROP,,0
119,300.11111,MORPH,[NSuff.XXIN],NSuff.MSIN,K,K/CASE_INDEF_NOM,[masc.sg.indef.nom.],form_gen:m form_num:s stt:i cas:n,#iy||#A}iy,MS i-suff,#iy,محامٍ,DROP,,1
120,300.11111,MORPH,[NSuff.XXIN],NSuff.MSIN,u,u/CASE_INDEF_NOM,[masc.sg.indef.nom.],form_gen:m form_num:s stt:i cas:n,@dip,MS,Diptote-Sound,مصانعُ,DROP,,1
121,300.11111,MORPH,[NSuff.XXIN],NSuff.MSIN,F,F/CASE_INDEF_NOM,[masc.sg.indef.nom.],form_gen:m form_num:s stt:i cas:n,#aY-Ap-y||#A-Ap-w,MS,#aY-Ap-y,فتىً,DROP,,1
122,300.11111,MORPH,[NSuff.XXIN],NSuff.MSIN,_,(null)/CASE_INDEF_NOM,[masc.sg.indef.nom.],form_gen:m form_num:s stt:i cas:n,#aA||Mono,MS,#aA,ايدولوجيا,DROP,,1
123,300.1112,MORPH,[NSuff.XXIA],NSuff.MSIA,AF,AF/CASE_INDEF_ACC,[masc.sg.indef.acc.],form_gen:m form_num:s stt:i cas:a,else,MS a-suff AF-suff,Base Triptote-Sound,كتاباً,DROP,,0
124,300.11121,MORPH,[NSuff.XXIA],NSuff.MSIA,a,a/CASE_INDEF_ACC,[masc.sg.indef.acc.],form_gen:m form_num:s stt:i cas:a,@dip,MS,Diptote-Sound,مصانعَ,DROP,,1
125,300.11121,MORPH,[NSuff.XXIA],NSuff.MSIA,F,F/CASE_INDEF_ACC,[masc.sg.indef.acc.],form_gen:m form_num:s stt:i cas:a,#aY-Ap-y||#A-Ap-w,MS,#aY-Ap-y,فتىً,DROP,,1
126,300.11121,MORPH,[NSuff.XXIA],NSuff.MSIA,F,F/CASE_INDEF_ACC,[masc.sg.indef.acc.],form_gen:m form_num:s stt:i cas:a,#A'||#A'wy||#a>,MS a-suff,#A'||#A'wy,صحراء,DROP,,1
127,300.11121,MORPH,[NSuff.XXIA],NSuff.MSIA,_,(null)/CASE_INDEF_ACC,[masc.sg.indef.acc.],form_gen:m form_num:s stt:i cas:a,#aA||Mono,MS,#aA,ايدولوجيا,DROP,,1
128,300.1113,MORPH,[NSuff.XXIG],NSuff.MSIG,K,K/CASE_INDEF_GEN,[masc.sg.indef.gen.],form_gen:m form_num:s stt:i cas:g,else,MS i-suff,Base Triptote-Sound,كتابٍ,DROP,,0
129,300.11131,MORPH,[NSuff.XXIG],NSuff.MSIG,a,a/CASE_INDEF_GEN,[masc.sg.indef.gen.],form_gen:m form_num:s stt:i cas:g,@dip,MS,Diptote-Sound,مصانعَ,DROP,,1
130,300.11131,MORPH,[NSuff.XXIG],NSuff.MSIG,F,F/CASE_INDEF_GEN,[masc.sg.indef.gen.],form_gen:m form_num:s stt:i cas:g,#aY-Ap-y||#A-Ap-w,MS,#aY-Ap-y,فتىً,DROP,,1
131,300.11131,MORPH,[NSuff.XXIG],NSuff.MSIG,_,(null)/CASE_INDEF_GEN,[masc.sg.indef.gen.],form_gen:m form_num:s stt:i cas:g,#aA||Mono,MS,#aA,ايدولوجيا,DROP,,1
132,300.1114,MORPH,[NSuff.XXIU],NSuff.MSIU,_,_,[masc.sg.],form_gen:m form_num:s stt:i cas:u,_,MS UCase,Base UCase,كتاب,,,0
133,300.1121,MORPH,[NSuff.XXDN],NSuff.MSDN,u,u/CASE_DEF_NOM,[masc.sg.def.nom.],form_gen:m form_num:s stt:d cas:n,else,MS u-suff,Base Triptote-Sound,الكتابُ,DROP,,0
134,300.11211,MORPH,[NSuff.XXDN],NSuff.MSDN,_,(null)/CASE_DEF_NOM,[masc.sg.def.nom.],form_gen:m form_num:s stt:d cas:n,#iy||#A}iy,MS C:iy#,#iy,المحامي,DROP,,1
135,300.11211,MORPH,[NSuff.XXDN],NSuff.MSDN,_,(null)/CASE_DEF_NOM,[masc.sg.def.nom.],form_gen:m form_num:s stt:d cas:n,#aY-Ap-y||#A-Ap-w||#aA||Mono,MS,#aY-Ap-y,الفتى الايدولوجيا,DROP,,1
136,300.1122,MORPH,[NSuff.XXDA],NSuff.MSDA,a,a/CASE_DEF_ACC,[masc.sg.def.acc.],form_gen:m form_num:s stt:d cas:a,_,MS a-suff,Base Triptote-Sound,الكتابَ,DROP,,0
137,300.11221,MORPH,[NSuff.XXDA],NSuff.MSDA,_,(null)/CASE_DEF_ACC,[masc.sg.def.acc.],form_gen:m form_num:s stt:d cas:a,#aY-Ap-y||#A-Ap-w||#aA||Mono,MS,#aY-Ap-y,الفتى,DROP,,1
138,300.1123,MORPH,[NSuff.XXDG],NSuff.MSDG,i,i/CASE_DEF_GEN,[masc.sg.def.gen.],form_gen:m form_num:s stt:d cas:g,_,MS i-suff,Base Triptote-Sound,الكتابِ,DROP,,0
139,300.11231,MORPH,[NSuff.XXDG],NSuff.MSDG,_,(null)/CASE_DEF_GEN,[masc.sg.def.gen.],form_gen:m form_num:s stt:d cas:g,#iy||#A}iy,MS C:iy#,#iy,المحامي,DROP,,1
140,300.11231,MORPH,[NSuff.XXDG],NSuff.MSDG,_,(null)/CASE_DEF_GEN,[masc.sg.def.gen.],form_gen:m form_num:s stt:d cas:g,#aY-Ap-y||#A-Ap-w||#aA||Mono,MS,#aY-Ap-y,الفتى,DROP,,1
141,300.1124,MORPH,[NSuff.XXDU],NSuff.MSDU,_,_,[masc.sg.],form_gen:m form_num:s stt:d cas:u,_,MS UCase,Base UCase,الكتاب,,,0
142,300.1131,MORPH,[NSuff.XXCN],NSuff.MSCN,u,u/CASE_DEF_NOM,[masc.sg.const.nom.],form_gen:m form_num:s stt:c cas:n,else !C:POSS_PRON-iy,MS u-suff,Base Triptote-Sound,كتابُ,DROP,,0
143,300.1131,MORPH,[NSuff.XXCN],NSuff.MSCN,_,(null)/CASE_DEF_NOM,[masc.sg.const.nom.],form_gen:m form_num:s stt:c cas:n,else C:POSS_PRON-iy,MS i-suff,Base Triptote-Sound,كتابِي,DROP,,0
144,300.11311,MORPH,[NSuff.XXCN],NSuff.MSCN,uw,uw/CASE_DEF_NOM,[masc.sg.const.nom.],form_gen:m form_num:s stt:c cas:n,else !C:POSS_PRON-iy,FIVE-NOUNS,FIVE-NOUNS,أبو أبوه,DROP,,1
145,300.11311,MORPH,[NSuff.XXCN],NSuff.MSCN,_,(null)/CASE_DEF_NOM,[masc.sg.const.nom.],form_gen:m form_num:s stt:c cas:n,else C:POSS_PRON-iy,FIVE-NOUNS,FIVE-NOUNS,أبي,DROP,,1
146,300.11311,MORPH,[NSuff.XXCN],NSuff.MSCN,_,(null)/CASE_DEF_NOM,[masc.sg.const.nom.],form_gen:m form_num:s stt:c cas:n,#iy||#A}iy,MS C:iy#,#iy,محامي، محاميهِ، محاميَّ,DROP,,1
147,300.11311,MORPH,[NSuff.XXCN],NSuff.MSCN,_,(null)/CASE_DEF_NOM,[masc.sg.const.nom.],form_gen:m form_num:s stt:c cas:n,#aY-Ap-y||#aA-Ap-w||#aA||Mono,MS,#aY-Ap-y,فتى,DROP,,1
148,300.1132,MORPH,[NSuff.XXCA],NSuff.MSCA,a,a/CASE_DEF_ACC,[masc.sg.const.acc.],form_gen:m form_num:s stt:c cas:a,else !C:POSS_PRON-iy,MS a-suff,Base Triptote-Sound,كتابَ,DROP,,0
149,300.1132,MORPH,[NSuff.XXCA],NSuff.MSCA,_,(null)/CASE_DEF_ACC,[masc.sg.const.acc.],form_gen:m form_num:s stt:c cas:a,else C:POSS_PRON-iy,MS i-suff,Base Triptote-Sound,كتابِي,DROP,,0
150,300.11321,MORPH,[NSuff.XXCA],NSuff.MSCA,A,A/CASE_DEF_ACC,[masc.sg.const.acc.],form_gen:m form_num:s stt:c cas:a,else !C:POSS_PRON-iy,FIVE-NOUNS,FIVE-NOUNS,أبا أباه,DROP,,1
151,300.11321,MORPH,[NSuff.XXCA],NSuff.MSCA,_,(null)/CASE_DEF_ACC,[masc.sg.const.acc.],form_gen:m form_num:s stt:c cas:a,else C:POSS_PRON-iy,FIVE-NOUNS,FIVE-NOUNS,أبي,DROP,,1
152,300.11321,MORPH,[NSuff.XXCA],NSuff.MSCA,_,(null)/CASE_DEF_ACC,[masc.sg.const.acc.],form_gen:m form_num:s stt:c cas:a,#aY-Ap-y||#aA-Ap-w||#aA||Mono,MS,#aY-Ap-y,فتى,DROP,,1
153,300.1133,MORPH,[NSuff.XXCG],NSuff.MSCG,i,i/CASE_DEF_GEN,[masc.sg.const.gen.],form_gen:m form_num:s stt:c cas:g,else !C:POSS_PRON-iy,MS i-suff C:i#,Base Triptote-Sound,كتابِ,DROP,,0
154,300.1133,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,[masc.sg.const.gen.],form_gen:m form_num:s stt:c cas:g,else C:POSS_PRON-iy,MS i-suff,Base Triptote-Sound,كتابِي,DROP,,0
155,300.11331,MORPH,[NSuff.XXCG],NSuff.MSCG,iy,iy/CASE_DEF_GEN,[masc.sg.const.gen.],form_gen:m form_num:s stt:c cas:g,else !C:POSS_PRON-iy,FIVE-NOUNS,FIVE-NOUNS,أبي أبيه,DROP,,1
156,300.11331,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,[masc.sg.const.gen.],form_gen:m form_num:s stt:c cas:g,else C:POSS_PRON-iy,FIVE-NOUNS,FIVE-NOUNS,أبي,DROP,,1
157,300.11331,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,[masc.sg.const.gen.],form_gen:m form_num:s stt:c cas:g,#iy||#A}iy,MS C:iy#,#iy,محامي، محاميهِ، محاميَّ,DROP,,1
158,300.11331,MORPH,[NSuff.XXCG],NSuff.MSCG,_,(null)/CASE_DEF_GEN,[masc.sg.const.gen.],form_gen:m form_num:s stt:c cas:g,#aY-Ap-y||#aA-Ap-w||#aA||Mono,MS,#aY-Ap-y,فتى ايدولوجيا,DROP,,1
159,300.1134,MORPH,[NSuff.XXCU],NSuff.MSCU,_,_,[masc.sg.],form_gen:m form_num:s stt:c cas:u,_,MS UCase,Base UCase,كتاب,,,0
160,300.1211,MORPH,[NSuff.XXIN],NSuff.MDIN,Ani,Ani/NSUFF_MASC_DU_NOM,two_[masc.du.indef.nom.],form_gen:m form_num:d stt:i cas:n,else,MD,Base Triptote-Sound,كتابان,DROP,,0
161,300.12111,MORPH,[NSuff.XXIN],NSuff.MDIN,|ni,|ni/NSUFF_MASC_DU_NOM,two_[masc.du.indef.nom.],form_gen:m form_num:d stt:i cas:n,#a>,MD A-suff,#a>,مبدآن,DROP,,1
162,300.1212,MORPH,[NSuff.XXIA],NSuff.MDIA,ayoni,ayoni/NSUFF_MASC_DU_ACC,two_[masc.du.indef.acc.],form_gen:m form_num:d stt:i cas:a,_,MD,Base Triptote-Sound,كتابين,DROP,,0
163,300.1213,MORPH,[NSuff.XXIG],NSuff.MDIG,ayoni,ayoni/NSUFF_MASC_DU_GEN,two_[masc.du.indef.gen.],form_gen:m form_num:d stt:i cas:g,_,MD,Base Triptote-Sound,كتابين,DROP,,0
164,300.1214,MORPH,[NSuff.XXIU],NSuff.MDIU,ayon,ayon/NSUFF_MASC_DU,two_[masc.du.],form_gen:m form_num:d stt:i cas:u,,MD UCase,Base UCase,كتابين,,,0
165,300.1221,MORPH,[NSuff.XXDN],NSuff.MDDN,Ani,Ani/NSUFF_MASC_DU_NOM,two_[masc.du.def.nom.],form_gen:m form_num:d stt:d cas:n,_,MD,Base Triptote-Sound,كتابان,DROP,,0
166,300.12211,MORPH,[NSuff.XXDN],NSuff.MDDN,|ni,|ni/NSUFF_MASC_DU_NOM,two_[masc.du.def.nom.],form_gen:m form_num:d stt:d cas:n,#a>,MD A-suff,#a>,مبدآن,DROP,,1
167,300.1222,MORPH,[NSuff.XXDA],NSuff.MDDA,ayoni,ayoni/NSUFF_MASC_DU_ACC,two_[masc.du.def.acc.],form_gen:m form_num:d stt:d cas:a,_,MD,Base Triptote-Sound,كتابين,DROP,,0
