,LINE,ROOT,DEFINE,CLASS,LEMMA,FORM,BW,GLOSS,FEAT,COND-T,COND-F,COND-S,INTRANS_SCORE,STATUS
44,46,None,LEXICON,[STEM-PV],zAE,zAE,PV,"[KEV] to vomit, throw up",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,trans,0,well-formedness:OK
45,47,None,LEXICON,[STEM-PV],raDaY,raD,PV,"[KEV] to be satisfied, be content+to agree, accept+to be pleased",pos:verb asp:p vox:a mod:i,,,intrans #-ay,5,well-formedness:OK
46,48,None,LEXICON,[STEM-PV],EaSaY,EaS,PV,"[KEV] to disobey, resist, oppose",pos:verb asp:p vox:a mod:i,,,trans #-ay,0,well-formedness:OK
47,49,None,LEXICON,[STEM-PV],jaraH,jara#H,PV,"[KEV] to wound, cut",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
48,50,None,LEXICON,[STEM-PV],bAt,bit,PV,"[KEV] to stay overnight, spend the night+to sit overnight+[MEERA] to sleep over",pos:verb asp:p vox:a mod:i,c-suff,,#t intrans hollow,4,well-formedness:OK
49,51,None,LEXICON,[STEM-PV],bAt,bAt,PV,"[KEV] to stay overnight, spend the night+to sit overnight+[MEERA] to sleep over",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,#t intrans hollow,4,well-formedness:OK
50,52,None,LEXICON,[STEM-PV],rAz,riz,PV,[KEV] to estimate the weight of s.th.,pos:verb asp:p vox:a mod:i,c-suff,,trans hollow,0,well-formedness:OK
51,53,None,LEXICON,[STEM-PV],rAz,rAz,PV,[KEV] to estimate the weight of s.th.,pos:verb asp:p vox:a mod:i,n-suff||v-suff,,trans hollow,0,well-formedness:OK
52,54,None,LEXICON,[STEM-PV],xajal,xaja#l,PV,"[KEV] to be or become embarrassed+to be ashamed, feel shame+to be or become shy+to be or become embarrassed+to be ashamed, feel shame+to be or become shy",pos:verb asp:p vox:a mod:i,,,intrans,16,well-formedness:OK
53,55,None,LEXICON,[STEM-PV],san~,san~,PV,"[KEV] to sharpen, whet+to enact, introduce, pass",pos:verb asp:p vox:a mod:i,,,trans gem,0,well-formedness:OK
54,56,None,LEXICON,[STEM-PV],najar,najar,PV,"[KEV] to carve+[KEV] to chop, hew (wood)",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
55,57,None,LEXICON,[STEM-PV],$afaE,$afa#E,PV,"[KEV] to intercede, intervene, plead",pos:verb asp:p vox:a mod:i,,,intrans,4,well-formedness:OK
56,58,None,LEXICON,[STEM-PV],Hak~,Hak~,PV,[KEV] to scratch+to scrath s.th. against s.th. else+to itch+[MEERA] to scratch,pos:verb asp:p vox:a mod:i,,,trans gem,0,well-formedness:OK
57,59,None,LEXICON,[STEM-PV],xalaT,xalaT,PV,"[KEV] to mix, blend, mingle+to be or become confused, mixed up",pos:verb asp:p vox:a mod:i,,,intrans,1,well-formedness:OK
58,60,None,LEXICON,[STEM-PV],bAr,bir,PV,"[KEV] to be unsaleable, be dead stock+to be unable to get a husband",pos:verb asp:p vox:a mod:i,c-suff,,intrans,9,well-formedness:OK
59,61,None,LEXICON,[STEM-PV],bAr,bAr,PV,"[KEV] to be unsaleable, be dead stock+to be unable to get a husband",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,intrans,9,well-formedness:OK
60,63,None,LEXICON,[STEM-PV],gafA,gaf,PV,"[KEV] to doze off, fall asleep",pos:verb asp:p vox:a mod:i,,,trans #-aA,0,well-formedness:OK
61,64,None,LEXICON,[STEM-PV],haj~,haj~,PV,"[KEV] to run away, escape",pos:verb asp:p vox:a mod:i,,,intrans gem,4,well-formedness:OK
62,237,None,LEXICON,[STEM-PV],bAH-u,bAH,PV,"[KEV] to be revealed, leaked out+to reveal",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,intrans,5,well-formedness:OK
63,66,None,LEXICON,[STEM-PV],xAf,xif,PV,"[KEV] to be scared, afraid, worried, concerned. (prov.)+[MEERA] to fear",pos:verb asp:p vox:a mod:i,c-suff,,intrans hollow,5,well-formedness:OK
64,67,None,LEXICON,[STEM-PV],xAf,xAf,PV,"[KEV] to be scared, afraid, worried, concerned. (prov.)+[MEERA] to fear",pos:verb asp:p vox:a mod:i,n-suff||v-suff,,intrans hollow,5,well-formedness:OK
65,68,None,LEXICON,[STEM-PV],fataH,fata#H,PV,"[KEV] to open+to start, open+to turn on+to conquer, capture (a city)",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
66,69,None,LEXICON,[STEM-PV],rabaE,raba#E,PV,[MEERA] to run,pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
67,70,None,LEXICON,[STEM-PV],naqaE,naqa#E,PV,"[KEV] to soak+to become thoroughly soaked+[MEERA] to explode, also used to describe a person who 'blows off' when angry",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
68,71,None,LEXICON,[STEM-PV],zahaq,zaha#q,PV,[MEERA] to feel bored,pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
69,72,None,LEXICON,[STEM-PV],Eataq,Eataq,PV,[KEV] to get or grow old,pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
70,75,None,LEXICON,[STEM-PV],Habas,Habas,PV,"[KEV] to jail, imprison+to block, confine+to send (e.g. school kids) to detention, keep s.o. (after school) as punishment",pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
71,76,None,LEXICON,[STEM-PV],$am~,$am~,PV,"[KEV] to smell, sniff",pos:verb asp:p vox:a mod:i,,,trans gem,0,well-formedness:OK
72,77,None,LEXICON,[STEM-PV],gazal,gazal,PV,[KEV] to spin,pos:verb asp:p vox:a mod:i,,,trans,0,well-formedness:OK
