,LINE,EXCLUDE,DEFINE,VARIANT,CLASS,SCOPE,PREFIX,#STEM,STEM,#SUFFIX,SUFFIX,PREFIX-SHORT,STEM-SHORT,SUFFIX-SHORT,NOTES
38,35,RED-MORPH I A,ORDER,MSA,NOMINAL,pos:noun,[CONJ-ACC],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXIA],[NSuff.XXIA],[Nom.Conj.Acc],[Nom],[IA],
39,36,RED-MORPH D A,ORDER,MSA,NOMINAL,pos:noun,[CONJ-ACC] [ART],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXDA],[NSuff.XXDA],[Nom.Conj.Acc.Art],[Nom],[DA],
40,37,RED-MORPH C A,ORDER,MSA,NOMINAL,pos:noun,[CONJ-ACC],[STEM-NOM],[STEM-NOM] [NBuff],[NBuff] [NSuff.XXCA] [PRON],[NSuff.XXCA] [PRON],[Nom.Conj.Acc],[Nom],[CA.Pron],
41,,,#Others Sheet,,,,,,,,,,,,
42,38,,ORDER,MSA,OTHER,pos:*,[QUES] [CONJ] [PREP],[STEM],[STEM],[PRON-OTHER],[PRON-OTHER],[Nom.Pr],[O],[O.Pron],
43,39,,ORDER,MSA,OTHER,pos:*,[QUES] [CONJ],[STEM-CONJ],[STEM-CONJ],,,[Nom.Conj],[O.Conj],,
44,40,,ORDER,MSA,OTHER,pos:*,[QUES] [CONJ] [PREP],[STEM-CONJ-PREP],[STEM-CONJ-PREP],,,[Nom.Pr],[O.Conj.Prep],,
45,41,,ORDER,MSA,OTHER,pos:*,[QUES] [CONJ],[STEM-CONJ-PRON],[STEM-CONJ-PRON],[PRON-OTHER],[PRON-OTHER],[Nom.Conj],[O.Conj.Pron],[O.Pron],
46,42,,ORDER,MSA,OTHER,pos:*,,[STEM-STANDALONE],[STEM-STANDALONE],,,,[O.Sn],,
47,43,,ORDER,MSA,OTHER,pos:*,[QUES] [CONJ],[STEM-POSS],[STEM-POSS],[PRON],[PRON],[Nom.Conj],[O.StemPoss],[O.Poss],
48,,,#Currently used for X100 and {imoru&,,,,,,,,,,,,
49,44,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-NOMINATIVE],[STEM-NOMINATIVE] [NBuff],[NBuff] [NSuff.XXIN],[NSuff.XXIN],[Nom.Conj],[Nom.Nom],[IN],
50,45,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [ART],[STEM-NOMINATIVE],[STEM-NOMINATIVE] [NBuff],[NBuff] [NSuff.XXDN],[NSuff.XXDN],[Nom.Art],[Nom.Nom],[DN],
51,46,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-NOMINATIVE],[STEM-NOMINATIVE] [NBuff],[NBuff] [NSuff.XXCN] [PRON],[NSuff.XXCN] [PRON],[Nom.Conj],[Nom.Nom],[CN.Pron],
52,47,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-ACCUSATIVE],[STEM-ACCUSATIVE] [NBuff],[NBuff] [NSuff.XXIA],[NSuff.XXIA],[Nom.Conj],[Nom.Acc],[IA],
53,48,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [ART],[STEM-ACCUSATIVE],[STEM-ACCUSATIVE] [NBuff],[NBuff] [NSuff.XXDA],[NSuff.XXDA],[Nom.Art],[Nom.Acc],[DA],
54,49,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-ACCUSATIVE],[STEM-ACCUSATIVE] [NBuff],[NBuff] [NSuff.XXCA] [PRON],[NSuff.XXCA] [PRON],[Nom.Conj],[Nom.Acc],[CA.Pron],
55,50,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-GENITIVE],[STEM-GENITIVE] [NBuff],[NBuff] [NSuff.XXIG],[NSuff.XXIG],[Nom.Pr],[Nom.Gen],[IG],
56,51,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP] [ART],[STEM-GENITIVE],[STEM-GENITIVE] [NBuff],[NBuff] [NSuff.XXDG],[NSuff.XXDG],[Nom.Pr.Art],[Nom.Gen],[DG],
57,52,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-GENITIVE],[STEM-GENITIVE] [NBuff],[NBuff] [NSuff.XXCG] [PRON],[NSuff.XXCG] [PRON],[Nom.Pr],[Nom.Gen],[CG.Pron],
58,,,#For some lemmas that only appear in construct state,,,,,,,,,,,,
59,53,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-CONST],[STEM-CONST] [NBuff],[NBuff] [NSuff.XXCN] [PRON],[NSuff.XXCN] [PRON],[Nom.Conj],[Nom.Const],[CN.Pron],
60,54,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ],[STEM-CONST],[STEM-CONST] [NBuff],[NBuff] [NSuff.XXCA] [PRON],[NSuff.XXCA] [PRON],[Nom.Conj],[Nom.Const],[CA.Pron],
61,55,,ORDER,MSA,NOMINAL,pos:noun,[QUES] [CONJ] [PREP],[STEM-CONST],[STEM-CONST] [NBuff],[NBuff] [NSuff.XXCG] [PRON],[NSuff.XXCG] [PRON],[Nom.Pr],[Nom.Const],[CG.Pron],
