,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,BW,LEMMA,FORM,GLOSS,COND-T,COND-S,D3SEG,D3TOK,ATBSEG,ATBTOK,FEAT,STATUS,COMMENTS,NOTES,#CLASS
420,421,m.v.l,NTWS,NTWS,LEXICON,[STEM-CONJ],mivol/NOUN+a/CASE_DEF_ACC+maA/REL_PRON,mivol,mivolamaA,something_like;like;as,,,mivola_+maA,mivola_+maA,mivola_+maA,mivola_+maA,pos:noun gen:m num:s enc0:mA_rel stt:c cas:a,,,,[STEM-COMPOUND]
421,422,m.v.l,NTWS,NTWS,LEXICON,[STEM-CONJ],mivol/NOUN+a/CASE_DEF_ACC+maA/SUB_CONJ,mivol,mivolamaA,something_like;like;as,,,mivola_+maA,mivola_+maA,mivola_+maA,mivola_+maA,pos:noun gen:m num:s enc0:mA_sub stt:c cas:a,,,,[STEM-COMPOUND]
422,423,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,mlm,mlm,millimeter,,,,,,,pos:abbrev,,,,[STEM-BASE]
423,424,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,mlm,mm,millimeter,,,,,,,pos:abbrev,,,,[STEM-BASE]
424,425,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,mu*~aAka,mu*~aAka,since_then,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
425,426,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PREP,mu*o,mu*o,since,,,,,,,pos:prep,,,,[STEM-BASE]
426,427,NTWS,NTWS,NTWS,LEXICON,[STEM],NOUN,mu*o,mu*o,the_time_since,,,,,,,pos:noun gen:m num:s stt:i cas:u,,,,[STEM-BASE]
427,428,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,mudo*aAka,mudo*aAka,since_then,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
428,429,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PREP,muno*u,muno*u,since;for;in;ago,,,,,,,pos:prep,,,,[STEM-BASE]
429,430,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,mv,mv,fem.,,,,,,,pos:abbrev,,,,[STEM-BASE]
430,431,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,n,n,N.;14th,,,,,,,pos:abbrev,,,,[STEM-BASE]
431,432,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERJ,naEam,naEam,yes,,,,,,,pos:interj,,,,[STEM-BASE]
432,433,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],haA/DEM_PRON+naHonu/PRON_1P,naHonu,haAnaHonu,here_we_are,,,haA+_naHonu,haA+_naHonu,haA+_naHonu,haA+_naHonu,pos:pron prc1:hA_dem per:1 gen:m num:p stt:d cas:n rat:r,,,,[STEM-COMPOUND]
433,434,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PRON_1P,naHonu,naHonu,we,,,,,,,pos:pron per:1 gen:m num:p stt:d cas:n rat:r,,,,[STEM-BASE]
434,435,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,q,q,Q.;Qatari;19th;(before);(piaster),,,,,,,pos:abbrev,,,,[STEM-BASE]
435,436,q.b.l,NTWS,NTWS,LEXICON,[STEM-CONJ],qabol/NOUN+a/CASE_DEF_ACC+maA/SUB_CONJ,qabol,qabolamaA,before_that,,,qabola_+maA,qabola_+maA,qabola_+maA,qabola_+maA,pos:noun gen:m num:s enc0:mA_sub stt:c cas:a,,,,[STEM-COMPOUND]
436,437,q.b.l,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,qabola}i*K,qabola}i*K,before_then,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
437,438,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],VERB_PART,qado,laqado,already,,,,,,,pos:part_verb,,,,[STEM-BASE]
438,439,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],VERB_PART,qado,qado,may;might;perhaps;maybe;possibly;probably,,,,,,,pos:part_verb,,,,[STEM-BASE]
439,440,q.T.T,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,qaT~u,qaT~u,ever;at_all,,,,,,,pos:adv stt:i cas:u,,,,[STEM-BASE]
440,441,q.T.T,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,qaTo,qaTo,ever;at_all,,,,,,,pos:adv stt:i cas:u,,Should it be qaT~?,,[STEM-BASE]
441,442,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,r,r,R.;20th;(Reuters);(rial),,,,,,,pos:abbrev,,,,[STEM-BASE]
442,443,r.y.v,NTWS,NTWS,LEXICON,[STEM-CONJ],SUB_CONJ,rayovamaA,rayovamaA,as_long_as;until,,,,,,,pos:conj_sub,,,,[STEM-BASE]
443,444,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PART,rub~a,rub~a,"many_a_(time,_man,_etc)",,,,,,,pos:part,,,,[STEM-BASE]
