,LINE,ROOT,PATTERN,INTERDIGIT,STATUS_PATTERN,COUNT_PATTERN,PATTERN_ABSTRACT_WIP,PATTERN_ABSTRACT,COUNT_PATTERN_ABSTRACT,STATUS_PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,COND-T,COND-S,GLOSS,gloss_old,FEAT,POS,GEN,NUM,RAT,CAS,STATUS,COMMENTS,NOTES
32,33,r.b.E,1u2o3,ruboE,DONE,2,>a1o2A3,>a1o2A3,2,DONE,LEXICON,[STEM-NOM],ruboE,>arobaAE,MS,,quarter_(in_three_quarters),,pos:noun_quant gen:m num:p rat:i cas:u,noun_quant,m,p,i,u,,,
33,34,r.b.E,1u2u3,rubuE,DONE,8,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],rubuE,rubuE,MS||MD,,one_fourth;quarter,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
34,35,s.>.r,1aA}i3,saA}ir,DONE,1,1A2i3,1A2i3,4,DONE,LEXICON,[STEM-NOM],saA}ir,saA}ir,MS||MD,,most_(of);the_majority_(of);the_greater_portion_of;part_(of),,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,DONE,,
35,36,s.b.E,1u2u3,subuE,DONE,8,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],subuE,subuE,MS||MD,,one_seventh,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
36,37,s.d.s,1u2u3,sudus,DONE,8,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],sudus,sudus,MS||MD,,one_sixth,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
37,38,t.s.E,1u2u3,tusuE,DONE,8,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],tusuE,tusuE,MS||MD,,one_ninth,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
38,39,v.l.v,1u2u3,vuluv,DONE,8,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],vuluv,vuluv,MS||MD,,one_third,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
39,40,v.m.n,1u2u3,vumun,DONE,8,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],vumun,vumun,MS||MD,,one_eighth,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
40,41,x.m.s,1u2u3,xumus,DONE,8,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],xumus,xumus,MS||MD,,one_fifth,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
41,42,z.h.w,1u2aA',zuhaA',DONE,1,1u2A3,1u2A3,3,DONE,LEXICON,[STEM-NOM],zuhaA',zuhaA',MS,,about;approximately;around;roughly;nearly;almost,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,,,
