,PATTERN_ABSTRACT,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
990,1a2a3,,\1.y.\2,,BACKOFF,[STEM-PV],1u}i3,lex:\1a&u\2-u,,\1u}i\2,,,\1u}i\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])}([^ntwyA}&])$,1,
991,1A2a3,,\1.>.y,,BACKOFF,[STEM-PV],1uw',lex:\1A'aY,,\1uw',,,\1uw'/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#-}iy intrans,^([^wyA}&])w'$,1,
992,1a2a3,,\1.\2.w,,BACKOFF,[STEM-PV],1u2i},lex:\1a\2a>-a,,\1u\2i},,,\1u\2i}/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])([^wyA}&])}$,1,
993,1a2a3,,\1.\2.t,,BACKOFF,[STEM-PV],1u2i3,lex:\1a\2at-i,,\1u\2it,,,\1u\2it/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#t intrans,^([^wyA}&])([^wyA}&])t$,1,
994,1a2a3,,\1.\2.\2,,BACKOFF,[STEM-PV],1u2~,lex:\1a\2~,,\1u\2~,,,\1u\2~/PV_PASS,na,pos:verb asp:p vox:p mod:i,v-suff,,gem intrans,^([^wyA}&])([^ntwyA}&])$,1,
995,1a2a3,,\1.\2.w,,BACKOFF,[STEM-PV],1u2i3,lex:\1a\2uw-a,,\1u\2iw,,,\1u\2iw/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])([^wyA}&])w$,1,
996,1a2a3,,\1.\2.y,,BACKOFF,[STEM-PV],1u2i},lex:\1a\2a>-a,,\1u\2i},,,\1u\2i}/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])([^wyA}&])}$,1,
997,1a2a3,,\1.\2.n,,BACKOFF,[STEM-PV],1u2i3,lex:\1a\2an-a,,\1u\2in,,,\1u\2in/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#n intrans,^([^wyA}&])([^wyA}&])n$,1,
998,1a2o3a4,,\1.\2.w.n,,BACKOFF,[STEM-PV],1u2o3i4,lex:\1a\2owan,,\1u\2owin,,,\1u\2owin/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#n intrans,^([^wyA}&])([^wyA}&])wn$,1,
999,1a2~a3,,\1.w.\2,,BACKOFF,[STEM-PV],1uy~i3,lex:\1ay~a\2,,\1uy~i\2,,,\1uy~i\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])y([^ntwyA}&])$,1,
1000,1a2a3,,\1.>.\2,,BACKOFF,[STEM-PV],1u}i3,lex:\1a>a\2,,\1u}i\2,,,\1u}i\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])}([^ntwyA}&])$,1,
1001,1a2a3,,\1.\2.\2,,BACKOFF,[STEM-PV],1u2i3,lex:\1a\2~,,\1u\2i\2,,,\1u\2i\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,c-suff,,gem intrans,^([^wyA}&])([^ntwyA}&])\2$,1,
1002,1a2~a3,,\1.y.y,,BACKOFF,[STEM-PV],1u2~,lex:\1ay~aY,,\1uy~,,,\1uy~/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,#-iy intrans,^([^wyA}&])y$,1,
1003,1A2a3,,\1.>.\2,,BACKOFF,[STEM-PV],1uw}i3,lex:\1A'a\2,,\1uw}i\2,,,\1uw}i\2/PV_PASS,na,pos:verb asp:p vox:p mod:i,,,intrans,^([^wyA}&])w}([^ntwyA}&])$,1,
