,LINE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE,STATUS,COND-F
82,83,MORPH,[IVPref.3FS],IVPref.3FS,t,t/IV3FS,EGY,she_[fem.sg.],asp:i per:3 gen:f num:s,,,t,تكتب,DONE,
83,84,,,,,,,,,,,,,,
84,85,#,Imperfect verb pre-stem buffer,,,,,,,,,,,,
85,86,MORPH,[IVPreBuff],Buffer,_,,EGY,,,h-pref ,,_,امشي اكتب آخذ ,DONE,
86,87,MORPH,[IVPreBuff],Buffer,i,i/STEM,EGY,,,else else,,i,يمشي يكتب,DONE>> yi-#,
87,88,MORPH,[IVPreBuff],Buffer,A,A/STEM,EGY,,,else yA-#,,A,ياكل,DONE,
88,89,MORPH,[IVPreBuff],Buffer,a,a/STEM,EGY,,,else ya-#,,a,يعني,DONE,
89,90,MORPH,[IVPreBuff],Buffer,u,u/STEM,EGY,,,else yu-# ,,u,يقول، يحط,DONE,
90,91,,,,,,,,,,,,,,
91,92,#,Imperfect verb post-stem buffer,,,,,,,,,,,,
92,93,MORPH,[IVBuff],Buffer,_,_,EGY,,,#-A w-suff||y-suff,,_,تقري تقروا,DONE,
93,94,MORPH,[IVBuff],Buffer,A,A/STEM,EGY,,,#-A z-suff else,,A,تقرا نقرا,DONE,
94,95,MORPH,[IVBuff],Buffer,_,_,EGY,,,#-aY w-suff||y-suff,,_,تنسوا تنسي,DONE,
95,96,MORPH,[IVBuff],Buffer,aY,aY/STEM,EGY,,,#-aY z-suff !enc0,,aY,تنسى,DONE,
96,97,MORPH,[IVBuff],Buffer,A,aY/STEM,EGY,,,#-aY z-suff enc0,,A,تنساه,DONE,
97,98,MORPH,[IVBuff],Buffer,uw,uw/STEM,EGY,,,#-uw else,,uw,ارجو,DONE,
98,99,MORPH,[IVBuff],Buffer,_,_,EGY,,,#-uw w-suff||y-suff,,_,يرجوا ترجي,DONE,
99,100,MORPH,[IVBuff],Buffer,iy,iy/STEM,EGY,,,#-iy else,,iy,ترمي,DONE,
100,101,MORPH,[IVBuff],Buffer,_,_,EGY,,,#-iy w-suff||y-suff,,_,ترموا ترمي,DONE,
101,102,MORPH,[IVBuff],Buffer,a>,a>/STEM,EGY,,,#-a> else,,a>,تجزأَ,DONE,
102,103,MORPH,[IVBuff],Buffer,a&,a&/STEM,EGY,,,#-a> w-suff,,a&,تجزؤوا,DONE,
103,104,MORPH,[IVBuff],Buffer,a},a}/STEM,EGY,,,#-a> y-suff,,a},تجزئي,DONE,
104,105,MORPH,[IVBuff],Buffer,A&,A&/STEM,EGY,,,#-A' w-suff,,A&,يشاؤوا,DONE,
105,106,MORPH,[IVBuff],Buffer,A},A}/STEM,EGY,,,#-A' y-suff,,A},تشائي,DONE,
106,107,MORPH,[IVBuff],Buffer,A',A'/STEM,EGY,,,#-A' else,,A',يشاء,DONE,
107,108,MORPH,[IVBuff],Buffer,uw},uw}/STEM,EGY,,,#-uw' w-suff||y-suff,,uw},تسوئوا تسوئي,DONE,
108,109,MORPH,[IVBuff],Buffer,uw',uw'/STEM,EGY,,,#-uw' z-suff,,uw',نسوء,DONE,
109,110,MORPH,[IVBuff],Buffer,iy},iy}/STEM,EGY,,,#-iy' else,,iy},تسيئوا تسيئي,DONE,
110,111,MORPH,[IVBuff],Buffer,iy',iy'/STEM,EGY,,,#-iy' z-suff else,,iy',نسيء,DONE,
111,112,MORPH,[IVBuff],Buffer,iy},iy}/STEM,EGY,,,#-iy' z-suff enc0,,iy},نسيئها,DONE,
112,113,MORPH,[IVBuff],Buffer,_,_,EGY,,,else,_,_,,DONE,
113,114,#,Imperfective Verb Suffixes,,,,,,,,,,,,
114,115,MORPH,[IVSuff.1P],IVSuff.1P,_,(null)/IVSUFF_SUBJ:1P,EGY,[pl.],asp:i per:1 gen:u num:p mod:i,,z-suff n-suff,_,نكتب,DONE,
115,116,MORPH,[IVSuff.1S],IVSuff.1S,_,(null)/IVSUFF_SUBJ:1S,EGY,[sg.],asp:i per:1 gen:u num:s mod:i,,z-suff n-suff,_,أكتب,DONE,
116,117,MORPH,[IVSuff.2MS],IVSuff.2MS,_,(null)/IVSUFF_SUBJ:2MS,EGY,[masc.sg.],asp:i per:2 gen:m num:s mod:i,,z-suff n-suff,_,تكتب,DONE,
117,118,MORPH,[IVSuff.2FS],IVSuff.2FS,iy,iy/IVSUFF_SUBJ:2FS,EGY,[fem.sg.],asp:i per:2 gen:f num:s mod:i,,v-suff y-suff #^V,iy,تكتبي,DONE,
118,119,MORPH,[IVSuff.2P],IVSuff.2P,uwA,uwA/IVSUFF_SUBJ:2P,EGY,[masc.pl.],asp:i per:2 gen:u num:p mod:i,else,v-suff w-suff #^V,uwA,تكتبوا,DONE,
119,120,MORPH,[IVSuff.2P],IVSuff.2P,uw,uw/IVSUFF_SUBJ:2P,EGY,[masc.pl.],asp:i per:2 gen:u num:p mod:i,enc0,v-suff w-suff #^V,uwA,تكتبو,DONE,
120,121,MORPH,[IVSuff.3MS],IVSuff.3MS,_,(null)/IVSUFF_SUBJ:3MS,EGY,[masc.sg.],asp:i per:3 gen:m num:s mod:i,,z-suff n-suff,_,يكتب,DONE,
121,122,MORPH,[IVSuff.3FS],IVSuff.3FS,_,(null)/IVSUFF_SUBJ:3FS,EGY,[fem.sg.],asp:i per:3 gen:f num:s mod:i,,z-suff n-suff,_,تكتب,DONE,
122,123,MORPH,[IVSuff.3P],IVSuff.3P,uwA,uwA/IVSUFF_SUBJ:3P,EGY,[masc.pl.],asp:i per:3 gen:u num:p mod:i,else,v-suff w-suff #^V,uwA,يكتبوا,DONE,
123,124,MORPH,[IVSuff.3P],IVSuff.3P,uw,uwA/IVSUFF_SUBJ:3P,EGY,[masc.pl.],asp:i per:3 gen:u num:p mod:i,enc0,v-suff w-suff #^V,uwA,يكتبو,DONE,
124,125,#,Command Verb Stem Buffers,,,,,,,,,,,,
