,Abstract,,Pattern,COND-ST,Frequency,Lemma,Example (Form),Gloss,REGEX-match,REGEX-sub,COND-map,Test,Color,Comments,STATUS
38,{i1ota2a3,{i1~a@o3,{i1~aAo3,c-suff + a-# hollow,1,{id~AH_1,d~aH,extend;spread_out,(.)~.(.),$1~a$2,c-suff + u-# hollow,d~aH,0,,DONE
39,{i1ota2a3,{i1~a@o3,{i1~aAo3,v-suff + a-# hollow,1,{id~AH_1,d~AH,extend;spread_out,(.)~A(.),$1~A$2,v-suff + u-# hollow,d~AH,0,,DONE
40,{i1ota2a3,{i>ota2a3,{i>ota2a3,a-# #n,1,{i}otaman_1,>otamin,embrace;carry,(.).(.).(.).(.),&o$2a$3a$4,u-# #n,&otaman,1,,DONE
41,{ino1a2a3,{ino1a2a3,{ino1a2a3,a-#,267,{inobasaT_1,nobasiT,have_fun;be_happy,(.).(.).(.).(.),$1o$2a$3a$4,u-#,nobasaT,0,,DONE
42,{ino1a2a3,{ino1a2a3,{ino1a2a3,a-# #n,1,{inodafan_1,nodafin,be_buried;be_hidden,(.).(.).(.).(.),$1o$2a$3a$4,u-# #n,nodafan,0,,DONE
43,{ino1a2a3,{ino1a2a>,{ino1a2a>,a-#,3,{inokafa>_1,nokafi},fall_back;recede;withdraw,(.).(.).(.).(.),$1o$2a$3a>,u-#,nokafa>,1,,DONE
44,{ino1a2a3,{ino1a2a#,{ino1a2aY,a-# #-iy defective,21,{inobanaY_1,noban,be_built,(.).(.).(.),$1o$2a$3,u-# #-aY defective,noban,0,,DONE
45,{ino1a2a3,{ino1a2~,{ino1a2~,v-suff + a-# gem,32,{ino$al~_1,no$al~,be_paralyzed;be_immobilized;be_neutralized,(.).(.).(.)~,$1o$2a$3~,v-suff + u-# gem,no$al~,1,,DONE
46,{ino1a2a3,{ino1a2~,{ino1a2~,c-suff + a-# gem,32,{ino$al~_1,no$alil,be_paralyzed;be_immobilized;be_neutralized,(.).(.).(.).(.),$1o$2a$3a$4,c-suff + u-# gem,no$alal,1,,DONE
47,{ino1a2a3,{ino1a>a#,{ino1a>aY,a-# #-iy defective,3,{inota>aY_1,nota>,be_distant;go_away,(.).(.).(.),$1o$2a$3,u-# #-aY defective,nota>,0,,DONE
48,{ino1a2a3,{ino1a@o3,{ino1aAo3,v-suff + a-# hollow,25,{inobAE_1,nobAE,be_sold;be_for_sale,(.).(.)A(.),$1o$2A$3,v-suff + u-# hollow,nobAE,1,,DONE
49,{ino1a2a3,{ino1a@o3,{ino1aAo3,c-suff + a-# hollow,25,{inobAE_1,nobaE,be_sold;be_for_sale,(.).(.).(.),$1o$2a$3,c-suff + u-# hollow,nobaE,1,,DONE
