,Pattern,,COND-ST,Frequency,Lemma,Example (Form),REGEX-match,REGEX-sub,COND-map,Test,Color,Comments,STATUS
363,wa2owa4,wa2owa4,,7,walowal,walowal,(.).(.).(.).(.),$1u$2o$3i$4,,wulowil,1,,DONE
364,wa2u>,wa2u>,,2,waDu&,waDu&,(.).(.).(.),$1u$2i},,wuDi},0,,DONE
365,wa2u3,wa2u3,#n,1,wakuE,wakuE,(.).(.).(.),$1u$2i$3,#n,wukiE,1,,DONE
366,wa2u3,wa2u3,,9,wakuE,wakuE,(.).(.).(.),$1u$2i$3,,wukiE,1,,DONE
367,ya>i3,ya>i3,,1,ya}is,ya}is,(.).(.).(.),$1u$2i$3,,yu}is,0,,DONE
368,ya2~a3,ya2~a3,#n,1,yam~am,yam~am,(.).(.)~.(.),$1u$2~i$3,#n,yum~im,1,,DONE
369,ya2~a3,ya2~a3,,4,yam~am,yam~am,(.).(.)~.(.),$1u$2~i$3,,yum~im,1,,DONE
370,yA2a3,y@2a3,,1,yAsar,yAsar,(.)A(.).(.),$1uw$2i$3,,yuwsir,0,,DONE
371,ya2a3,ya2a3,#n,1,yatam,yatam,(.).(.).(.),$1u$2i$3,#n,yutim,0,,DONE
372,ya2a3,ya2a3,,3,yatam,yatam,(.).(.).(.),$1u$2i$3,,yutim,0,,DONE
373,ya2i3,ya2i3,#n,2,yaqiZ,yaqiZ,(.).(.).(.),$1u$2i$3,#n,yuqiZ,1,,DONE
374,ya2i3,ya2i3,,5,yaqiZ,yaqiZ,(.).(.).(.),$1u$2i$3,,yuqiZ,1,,DONE
375,ya2u3,ya2u3,#n,1,yaquZ,yaquZ,(.).(.).(.),$1u$2i$3,#n,yuqiZ,0,,DONE
376,ya2u3,ya2u3,,3,yaquZ,yaquZ,(.).(.).(.),$1u$2i$3,,yuqiZ,0,,DONE
377,yaw~a3,yaw~a3,,1,yaw~ad,yaw~ad,(.).(.)~.(.),$1u$2~i$3,,yuw~id,1,,DONE
378,yAwa3,y@wa3,,1,yAwam,yAwam,(.)A(.).(.),$1uw$2i$3,,yuwwim,0,,DONE
379,,,,,,,,,,,,,
380,1a>aw,1a>aw,defective,-,$a>aw,$a>aw,(.).(.).(.),$1u}i$3,,$u}iw,1,,DONE
381,1AwaY,1@wa#,#-ay,-,sAwaY,sAw,(.)A(.),$1uw$2,#-iy,suww,0,,DONE
382,{i>o2a3~,{i>o2a3~,v-suff + gem,-,{i}otam~,{i}otam~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff + gem,{u}otum~,1,,DONE
383,{i>o2a3~,{i>o2a3~,c-suff + gem,-,{i}otam~,{i}otamam,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + gem,{u}otumim,1,,DONE
384,{ino1a2aY,{ino1a2a#,#-ay defective,-,{inotahaY,{inotah,{i(.).(.).(.),{u$1o$2u$3,#-iy defective,{unotuh,0,,DONE
385,1a2aY,1a2a#,#-ay defective,-,*araY,*ar,(.).(.),$1u$2,#-iy defective,*ur,1,,DONE
386,>a1o2aY,>a1o2a#,#-ay defective,-,>aDonaY,>aDon,(.).(.).(.),>u$2o$3,#-iy defective,>uDon,0,,DONE
387,{i1ota2aY,{i1ota2a#,#-ay defective,-,{ihotadaY,{ihotad,{i(.).(.).(.),{u$1o$2u$3,#-iy defective,{uhotud,1,,DONE
388,{i1o2a3~,{i1o2a3~,c-suff + #n gem,-,{izoraq~,{izoraqaq,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + #n gem,{uzoruqiq,0,,DONE
389,{i1o2a3~,{i1o2a3~,v-suff + #n gem,-,{izoraq~,{izoraq~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff + #n gem,{uzoruq~,0,,DONE
390,>a1o2aY,>a1o2a#,#-ay defective,-,>aDonaY,>aDon,(.).(.).(.),>u$2o$3,#-iy defective,>uDon,1,,DONE
391,{i1o2a3~,{i1o2a3~,c-suff + #t gem,-,{izoraq~,{izoraqaq,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + #t gem,{uzoruqiq,0,,DONE
392,{i1o2a3~,{i1o2a3~,v-suff + #t gem,-,{izoraq~,{izoraq~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff + #t gem,{uzoruq~,0,,DONE
393,1a2aA,1a2a@,#-aw defective,-,kanA,kan,(.).(.),$1u$2,#-iy defective,kun,1,C5,DONE
394,>a2~aY,>a2~a#,#-ay defective,-,>as~aY,>as~,(.).(.)~,$1u$2~,#-iy defective,>us~,0,,DONE
395,ta1a2~aY,ta1a2~a#,#-ay defective,-,tanaz~aY,tanaz~,ta(.).(.)~,tu$1u$2~,#-iy defective,tunuz~,1,,DONE
396,1a2iy,1a2iy,#-iy defective,-,laqiy,laq,(.).(.),$1u$2iy,#-iy defective,luqiy,0,,DONE
397,>a2o3a4,>a2o3a4,,-,hafohaf,hafohaf,(.).(.).(.).(.),$1u$2o$3i$4,,hufohif,1,,DONE
398,>a2o3o4a5,>a2o3o4a5,,-,>anokolaz,>anokolaz,(.).(.).(.).(.).(.),$1u$2o$3o$4i$5,,>unokoliz,0,,DONE
399,ta>a2o3o4a5,ta>a2o3o4a5,,-,ta>anokolaz,ta>anokolaz,ta(.).(.).(.).(.).(.),tu$1u$2o$3o$4i$5,,tu>unokoliz,1,,DONE
