,PATTERN_ABS,PATTERN_DEF,ROOT,ROOT_SUB,DEFINE,CLASS,PATTERN,LEMMA,LEMMA_SUB,FORM,FORM_SUB,BW,BW_SUB,GLOSS,FEAT,COND-T,COND-F,COND-S,MATCH,COMMENTS,STATUS
105,Ait1a2~a3,Aito1a2~a3,1.2.n,\1.\2.n,BACKOFF,[STEM-PV],Aito1a2~a3,lex:Aito1a2~an,lex:Aito\1a\2~an,Aito1a2~an,Aito\1a\2~an,Aito1a2~an/PV,Aito\1a\2~an/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^At([^wyA}&])([^wyA}&])n$,14,
106,Ai1ta2a3,Ai1~a2a3,1.2.3,\1.\2.\3,BACKOFF,[STEM-PV],Ai1~a2a3,lex:Ai1~a2a3,lex:Ai\1~a\2a\3,Ai1~a2a3,Ai\1~a\2a\3,Ai1~a2a3/PV,Ai\1~a\2a\3/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^wyA}&])([^ntwyA}&])$,3,
107,Ait1a2a3,Aito1a2a3,1.2.t,\1.\2.t,BACKOFF,[STEM-PV],Aito1a2a3,lex:Aito1a2at,lex:Aito\1a\2at,Aito1a2at,Aito\1a\2at,Aito1a2at/PV,Aito\1a\2at/PV,na,pos:verb asp:p vox:a mod:i,,,#t trans,^At([^wyA}&])([^wyA}&])t$,17,
108,Ait1a2~a3,Aito1a2~a3,1.2.t,\1.\2.t,BACKOFF,[STEM-PV],Aito1a2~a3,lex:Aito1a2~at,lex:Aito\1a\2~at,Aito1a2~at,Aito\1a\2~at,Aito1a2~at/PV,Aito\1a\2~at/PV,na,pos:verb asp:p vox:a mod:i,,,#t trans,^At([^wyA}&])([^wyA}&])t$,8,
109,Ait1a2~i3,Ai1~a2~i3,1.2.3,\1.\2.\3,BACKOFF,[STEM-PV],Ai1~a2~i3,lex:Ai1~a2~i3,lex:Ai\1~a\2~i\3,Ai1~a2~i3,Ai\1~a\2~i\3,Ai1~a2~i3/PV,Ai\1~a\2~i\3/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^A([^wyA}&])([^wyA}&])([^ntwyA}&])$,7,
110,Ait1a2~i3,Aito1aw~i3,1.w.3,\1.w.\2,BACKOFF,[STEM-PV],Aito1aw~i3,lex:Aito1aw~i3,lex:Aito\1aw~i\2,Aito1aw~i3,Aito\1aw~i\2,Aito1aw~i3/PV,Aito\1aw~i\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])w([^ntwyA}&])$,68,
111,Ait1a2~a3,Aito1aw~a3,1.w.3,\1.w.\2,BACKOFF,[STEM-PV],Aito1aw~a3,lex:Aito1aw~a3,lex:Aito\1aw~a\2,Aito1aw~a3,Aito\1aw~a\2,Aito1aw~a3/PV,Aito\1aw~a\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])w([^ntwyA}&])$,45,
112,Ait1a2~i3,Aito1ay~i3,1.y.t,\1.y.t,BACKOFF,[STEM-PV],Aito1ay~i3,lex:Aito1ay~it,lex:Aito\1ay~it,Aito1ay~it,Aito\1ay~it,Aito1ay~it/PV,Aito\1ay~it/PV,na,pos:verb asp:p vox:a mod:i,,,#t trans,^At([^wyA}&])yt$,2,
113,Ait1a2~a3,Aito1ay~a3,1.y.3,\1.y.\2,BACKOFF,[STEM-PV],Aito1ay~a3,lex:Aito1ay~a3,lex:Aito\1ay~a\2,Aito1ay~a3,Aito\1ay~a\2,Aito1ay~a3/PV,Aito\1ay~a\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])y([^ntwyA}&])$,27,
114,Ait1a2~i3,Aito1ay~i3,1.y.n,\1.y.n,BACKOFF,[STEM-PV],Aito1ay~i3,lex:Aito1ay~in,lex:Aito\1ay~in,Aito1ay~in,Aito\1ay~in,Aito1ay~in/PV,Aito\1ay~in/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^At([^wyA}&])yn$,7,
115,Ait1A2i3,Aito1A2i3,1.2.3,\1.\2.\3,BACKOFF,[STEM-PV],Ait1A2i#3,lex:Aito1A2i3,lex:Aito\1A\2i\3,Ait1A2i#3,Ait\1A\2i#\3,Ait1A2i#3/PV,Ait\1A\2i#\3/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])A([^wyA}&])#([^ntwyA}&])$,1,
116,Ait1A2i3,Aito1A}i3,1.>.3,\1.>.\2,BACKOFF,[STEM-PV],Aito1A}i#3,lex:Aito1A}i3,lex:Aito\1A}i\2,Aito1A}i#3,Aito\1A}i#\2,Aito1A}i#3/PV,Aito\1A}i#\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])A}#([^ntwyA}&])$,6,
117,Ait1a2a3,Aito1A2a>,1.2.>,\1.\2.>,BACKOFF,[STEM-PV],Aito1A2a,lex:Aito1A2a>,lex:Aito\1A\2a>,Aito1A2a,Aito\1A\2a,Aito1A2a/PV,Aito\1A\2a/PV,na,pos:verb asp:p vox:a mod:i,,,#-a> trans,^At([^wyA}&])A([^wyA}&])$,1,
118,Ait1A2i3,Aito1Awi3,1.w.3,\1.w.\2,BACKOFF,[STEM-PV],Aito1Awi#3,lex:Aito1Awi3,lex:Aito\1Awi\2,Aito1Awi#3,Aito\1Awi#\2,Aito1Awi#3/PV,Aito\1Awi#\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])Aw#([^ntwyA}&])$,17,
119,Ait1a23i4,Aito1a2o3i4,1.2.3.n,\1.\2.\3.n,BACKOFF,[STEM-PV],Aito1a2o3i4,lex:Aito1a2o3in,lex:Aito\1a\2o\3in,Aito1a2o3in,Aito\1a\2o\3in,Aito1a2o3in/PV,Aito\1a\2o\3in/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^At([^wyA}&])([^wyA}&])([^wyA}&])n$,16,
120,Ait1a23i4,Aito1a2owi4,1.2.w.n,\1.\2.w.n,BACKOFF,[STEM-PV],Aito1a2owi4,lex:Aito1a2owin,lex:Aito\1a\2owin,Aito1a2owin,Aito\1a\2owin,Aito1a2owin/PV,Aito\1a\2owin/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^At([^wyA}&])([^wyA}&])wn$,7,
121,Ait1a2a3,Aito1a2~,1.n.n,\1.n.n,BACKOFF,[STEM-PV],Aito1a2~,lex:Aito1a2~,lex:Aito\1a\2~,Aito1a2~,Aito\1a\2~,Aito1a2~/PV,Aito\1a\2~/PV,na,pos:verb asp:p vox:a mod:i,,,gem trans,^At([^wyA}&])([^wyA}&])$,8,
122,Ait1a2a3,Ait~a2a3,w.2.3,w.\1.\2,BACKOFF,[STEM-PV],Ait~a2a3,lex:Ait~a2a3,lex:Ait~a\1a\2,Ait~a2a3,Ait~a\1a\2,Ait~a2a3/PV,Ait~a\1a\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])([^ntwyA}&])$,9,
123,Ait1a2a3,Aito1awa3,1.w.3,\1.w.\2,BACKOFF,[STEM-PV],Aito1awa3,lex:Aito1awa3,lex:Aito\1awa\2,Aito1awa3,Aito\1awa\2,Aito1awa3/PV,Aito\1awa\2/PV,na,pos:verb asp:p vox:a mod:i,,,trans,^At([^wyA}&])w([^ntwyA}&])$,14,
124,Ait1a2~i3,Aito1aw~i3,1.w.n,\1.w.n,BACKOFF,[STEM-PV],Aito1aw~i3,lex:Aito1aw~in,lex:Aito\1aw~in,Aito1aw~in,Aito\1aw~in,Aito1aw~in/PV,Aito\1aw~in/PV,na,pos:verb asp:p vox:a mod:i,,,#n trans,^At([^wyA}&])wn$,7,
