,LINE,PATTERN_ABSTRACT,ROOT,ROOT_CLASS,PATTERN_LEMMA,PATTERN,LEMMA,FORM,DEFINE,CLASS,BW,GLOSS,FEAT,COND-T,COND-S,STATUS
33,34,>a12a3,*.y.E,1.y.3,>a1A3,1i23,>a*AE,*iyE,LEXICON,[STEM-CV],CV,broadcast;propagate;be_broadcast;be_propagated_[CALIMA],pos:verb asp:c vox:a mod:i,,hollow trans,OK
34,35,Ain1a2a3,*.y.E,1.y.3,Aino1A3,Aino1A3,Aino*AE,Aino*AE,LEXICON,[STEM-CV],CV,broadcast;propagate;be_broadcast;be_propagated;be_broadcasted;publish;announce;spread_[CALIMA],pos:verb asp:c vox:a mod:i,,hollow intrans,OK
35,36,1a2a3,>.*.n,>.2.3,>a2a3,Ai>2i3,>a*an,Ai>*in,LEXICON,[STEM-CV],CV,authorize;listen;grant_permission;call;a_prayer;give_the_call_prayer;become_due;of_prayer_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
36,37,1a2~i3,>.*.n,>.2.3,>a2~i3,>a2~i3,>a*~in,>a*~in,LEXICON,[STEM-CV],CV,announce;foresee;call_for_prayer;give_the_call_prayer;become_due;of_prayer;crow_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
37,38,Aista12i3,>.*.n,>.2.3,Aisota>o2i3,Aisota>o2i3,Aisota>o*in,Aisota>o*in,LEXICON,[STEM-CV],CV,Gloss:TBA_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
38,39,1a2a3,>.*.y,>.2.y,>a2aY,Ai}2,>a*aY,Ai}*,LEXICON,[STEM-CV],CV,Gloss:TBA_[CALIMA],pos:verb asp:c vox:a mod:i,,#-iy defective trans,OK
39,40,Ait1a2a3,>.*.y,>.2.y,Aito>a2aY,Aito>i2,Aito>a*aY,Aito>i*,LEXICON,[STEM-CV],CV,injure;prejudice;be_injured;be_prejudiced;be_harmed;be_injured.;harm;ruin_[CALIMA],pos:verb asp:c vox:a mod:i,,#-iy defective intrans,OK
40,41,Ait1a2~a3,>.*.y,>.2.y,Aito>a2~aY,Aito>a2~,Aito>a*~aY,Aito>a*~,LEXICON,[STEM-CV],CV,be_injured;be_offended;be_harmed;be_injured._[CALIMA],pos:verb asp:c vox:a mod:i,,#-aY defective intrans,OK
41,42,Ait1a23a4,>.$.f.r,>.2.3.4,Aito>a2o3a4,Aito>a2o3a4,Aito>a$ofar,Aito>a$ofar,LEXICON,[STEM-CV],CV,become_a_vagabondage;become_low;become_por;needy;be_relived;be_lacking;be_rendered_destitute;be_lowered_[CALIMA],pos:verb asp:c vox:a mod:i,,intrans,OK
42,43,1a2~i3,>.$.l,>.2.3,>a2~i3,>a2~i3,>a$~il,>a$~il,LEXICON,[STEM-CV],CV,be_bankrupt;become_por;needy;leave_penniless;be_made_penniless;be_ruined;be_cleaned_of_dust;be_remade_[CALIMA],pos:verb asp:c vox:a mod:i,,trans,OK
