,LINE,DEFINE,CLASS,FUNC,FORM,BW,VARIANT,GLOSS,FEAT,COND-T,COND-S,D3,EXAMPLE,STATUS,COND-F,COMMENTS
104,431,#MORPH,[PRON] ,hum/PRON.3MP,himuw,hum/XVSUFF_DO:3MP,MSA,them [masc.pl],enc0:3mp_dobj,trans ditrans #^i||#^iy,enc0,_+hum ,تسقيهموك,DONE,,
105,432,#MORPH,[PRON] ,hun~a/PRON.3FP,hun~a,hun~a/XVSUFF_DO:3FP,MSA,them [fem.pl],enc0:3fp_dobj,trans else,enc0,_+hun~a,يكتبهن,DONE,,
106,433,#MORPH,[PRON] ,hun~a/PRON.3FP,hin~a,hun~a/XVSUFF_DO:3FP,MSA,them [fem.pl],enc0:3fp_dobj,trans #^i||#^iy,enc0,_+hun~a,تكتبيهن,DONE,,
107,435,#,Second Pronomonial clitics,,conditios: verb must be ditransitive; Enc0 must be filled; 1st and 2nd person cannot repeat; harmony sentsitive to first pron:  AaETi+niy+him,,,,,,,,,,,
108,436,#MORPH,[PRON2],_,_,_,CA,_,enc1:0,_,_,_,,DONE,,
109,437,#MORPH,[PRON2],niy/PRON.1S,niy,niy/XVSUFF_DO:1S,CA,me,enc1:1s_dobj,ditrans enc0 !enc0:1*,enc1 enc1:1*,_+niy,يكتبني,DONE,,
110,438,#MORPH,[PRON2],nA/PRON.1P,nA,nA/XVSUFF_DO:1P,CA,us,enc1:1p_dobj,ditrans enc0 !enc0:1*,enc1 enc1:1*,_+nA,يكتبنا,DONE,,
111,439,#MORPH,[PRON2],kum/PRON.2MP,kum ,kum/XVSUFF_DO:2MP,CA,you [masc.pl],enc1:2mp_dobj,ditrans enc0 !enc0:2*,enc1 enc1:2*,_+kum ,يكتبكم,DONE,,
112,440,#MORPH,[PRON2],ki/PRON.2FS,ki,ki/XVSUFF_DO:2FS,CA,you [fem.sg.],enc1:2fs_dobj,ditrans enc0 !enc0:2*,enc1 enc1:2*,_+ki,يكتبك,DONE,,
113,441,#MORPH,[PRON2],kumA/PRON.2D,kumA,kumA/XVSUFF_DO:2D,CA,you [du],enc1:2d_dobj,ditrans enc0 !enc0:2*,enc1 enc1:2*,_+kumA,يكتبكما,DONE,,
114,442,#MORPH,[PRON2],ka/PRON.2MS,ka,ka/XVSUFF_DO:2MS,CA,you [masc.sg],enc1:2ms_dobj,ditrans enc0 !enc0:2*,enc1 enc1:2*,_+ka,يكتبك,DONE,,
115,443,#MORPH,[PRON2],kun~a/PRON.2FP,kun~a,kun~a/XVSUFF_DO:2FP,CA,you [fem.pl],enc1:2fp_dobj,ditrans enc0 !enc0:2*,enc1 enc1:2*,_+kun~a,يكتبكن,DONE,,
116,444,#MORPH,[PRON2],hu/PRON.3MS,hu,hu/XVSUFF_DO:3MS,CA,him,enc1:3ms_dobj,ditrans enc0 else,enc1,_+hu,يكتبه,DONE,,
117,445,#MORPH,[PRON2],hu/PRON.3MS,hi,hu/XVSUFF_DO:3MS,CA,him,enc1:3ms_dobj,ditrans enc0 enc0#^i,enc1,_+hu,تكتبيه,DONE,,
118,446,#MORPH,[PRON2],hA/PRON.3FS,hA,hA/XVSUFF_DO:3FS,CA,her,enc1:3fs_dobj,ditrans enc0,enc1,_+hA,يكتبها,DONE,,
119,447,#MORPH,[PRON2],humA/PRON.3D,humA,humA/XVSUFF_DO:3D,CA,them [du],enc1:3d_dobj,ditrans enc0 else,enc1,_+humA,يكتبهما,DONE,,
120,448,#MORPH,[PRON2],humA/PRON.3D,himA,humA/XVSUFF_DO:3D,CA,them [du],enc1:3d_dobj,ditrans enc0 enc0#^i,enc1,_+humA,تكتبيهما,DONE,,
121,449,#MORPH,[PRON2],hum/PRON.3MP,hum ,hum/XVSUFF_DO:3MP,CA,them [masc.pl],enc1:3mp_dobj,ditrans enc0 else,enc1,_+hum ,يكتبهم,DONE,,
122,450,#MORPH,[PRON2],hum/PRON.3MP,him ,hum/XVSUFF_DO:3MP,CA,them [masc.pl],enc1:3mp_dobj,ditrans enc0 enc0#^i,enc1,_+hum ,تكتبيهم,DONE,,
123,451,#MORPH,[PRON2],hun~a/PRON.3FP,hun~a,hun~a/XVSUFF_DO:3FP,CA,them [fem.pl],enc1:3fp_dobj,ditrans enc0 else,enc1,_+hun~a,يكتبهن,DONE,,
124,452,#MORPH,[PRON2],hun~a/PRON.3FP,hin~a,hun~a/XVSUFF_DO:3FP,CA,them [fem.pl],enc1:3fp_dobj,ditrans enc0 enc0#^i,enc1,_+hun~a,تكتبيهن,DONE,,
125,453,,,,,,,,,,,,,,,
