,Pattern,,#COND-TS,COND-T-Act,COND-S-Act,Frequency,Lemma,Example (Form),REGEX-match,REGEX-sub,#COND-map,COND-T-Pass,COND-S-Pass,Test,Color,Comments,STATUS
14,{i1o2a3~,{i1o2a3~,c-suff + gem,c-suff,gem,14,{izoraq~,{izoraqaq,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + gem,c-suff,gem,{uzoruqiq,0,,DONE
15,{i1o2a3~,{i1o2a3~,v-suff + gem,v-suff,gem,14,{izoraq~,{izoraq~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff + gem,v-suff,gem,{uzoruq~,0,,DONE
16,{i1o2a3a4~,{i1o2a3a4~,c-suff + gem,c-suff,gem,6,{izomahar~,{izomahorar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,c-suff + gem,c-suff,gem,{uzomuhorir,1,,DONE
17,{i1o2a3a4~,{i1o2a3a4~,v-suff + gem,v-suff,gem,6,{izomahar~,{izomahar~,{i(.).(.).(.).(.)~,{u$1o$2u$3i$4~,v-suff + gem,v-suff,gem,{uzomuhir~,1,,DONE
18,{i1o2aAo4~,{i1o2a@o4~,c-suff + gem,c-suff,gem,2,{iSohAb~,{iSohAbab,{i(.).(.)A(.).(.),{u$1o$2uw$3i$4,c-suff + gem,c-suff,gem,{uSohuwbib,0,,DONE
19,{i1o2aAo4~,{i1o2a@o4~,v-suff + gem,v-suff,gem,2,{iSohAb~,{iSohAb~,{i(.).(.)A(.)~,{u$1o$2uw$3~,v-suff + gem,v-suff,gem,{uSohuwb~,0,,DONE
20,{i1o2ano3a4,{i1o2ano3a4,,,,1,{iqoEanosas,{iqoEanosas,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,,,{uqoEunosis,1,,DONE
21,{i1o2awo2a3,{i1o2awo2a3,#n,,#n,2,{igoraworaq,{igoraworaq,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,#n,,#n,{ugoruworiq,0,,DONE
22,{i1o2awo2a3,{i1o2awo2a3,,,,6,{igoraworaq,{igoraworaq,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,,,{ugoruworiq,0,,DONE
23,{i1ota>a3,{i1ota>a3,#t,,#t,1,{ilota>am,{ilota>am,{i(.).(.).(.).(.),{u$1o$2u}i$4,#t,,#t,{ulotu}im,1,,DONE
24,{i1ota>a3,{i1ota>a3,,,,4,{ilota>am,{ilota>am,{i(.).(.).(.).(.),{u$1o$2u}i$4,,,,{ulotu}im,1,,DONE
25,{i1ota>aY,{i1ota>a#,#-ay,,#-ay,1,{irota>aY,{irota>,{i(.).(.).(.),{u$1o$2u,#-'iy,,#-}iy,{urotu,0,Added new cond: #-'iy,DONE
26,{i1ota2~,{i1ota2~,c-suff + gem,c-suff,gem,69,{ixotaz~,{ixotazaz,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + gem,c-suff,gem,{uxotuziz,1,,DONE
27,{i1ota2~,{i1ota2~,v-suff + gem,v-suff,gem,69,{ixotaz~,{ixotaz~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff + gem,v-suff,gem,{uxotuz~,1,,DONE
28,{i1ota2~,{i1ota2~,c-suff + #n gem,c-suff,#n gem,4,{ixotaz~,{ixotazaz,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + #n gem,c-suff,#n gem,{uxotuziz,1,,DONE
29,{i1ota2~,{i1ota2~,v-suff + #n gem,v-suff,#n gem,4,{ixotaz~,{ixotaz~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff + #n gem,v-suff,#n gem,{uxotuz~,1,,DONE
30,{i1ota2~,{i1ota2~,c-suff + #t gem,c-suff,#t gem,1,{ixotaz~,{ixotazaz,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + #t gem,c-suff,#t gem,{uxotuziz,1,,DONE
31,{i1ota2~,{i1ota2~,v-suff + #t gem,v-suff,#t gem,1,{ixotaz~,{ixotaz~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff + #t gem,v-suff,#t gem,{uxotuz~,1,,DONE
32,{i1ota2a>,{i1ota2a>,#-a>,,#-a>,8,{ihotara>,{ihotar,{i(.).(.).(.),{u$1o$2u$3i},,,,{uhoturi},0,,DONE
33,{i1ota2a3,{i1ota2a3,#n,,#n,14,{ihotatak,{ihotatak,{i(.).(.).(.).(.),{u$1o$2u$3i$4,#n,,#n,{uhotutik,1,,DONE
34,{i1ota2a3,{i1ota2a3,#t,,#t,2,{ihotatak,{ihotatak,{i(.).(.).(.).(.),{u$1o$2u$3i$4,#t,,#t,{uhotutik,1,,DONE
35,{i1ota2a3,{i1ota2a3,,,,287,{ihotatak,{ihotatak,{i(.).(.).(.).(.),{u$1o$2u$3i$4,,,,{uhotutik,1,,DONE
36,{i1ota2aY,{i1ota2a#,#-ay,,#-ay,61,{ihotadaY,{ihotad,{i(.).(.).(.),{u$1o$2u$3,#-iy,,#-iy,{uhotud,0,,DONE
37,{i1otaAo>,{i1ota@o>,v-suff + #A-',,#-A',1,{isotA',{isot,{i(.).(.),{u$1o$2,v-suff + #-iy',,#-iy',{usot,1,Need new categories,DONE
38,{i1otaAo3,{i1ota@o3,c-suff + hollow,c-suff,hollow,39,{ixotAr,{ixotar,{i(.).(.).(.),{u$1o$2i$3,c-suff + hollow,c-suff,hollow,{uxotir,0,,DONE
39,{i1otaAo3,{i1ota@o3,v-suff + hollow,v-suff,hollow,39,{ixotAr,{ixotAr,{i(.).(.)A(.),{u$1o$2iy$3,v-suff + hollow,v-suff,hollow,{uxotiyr,0,,DONE
40,{i1otaAo3,{i1ota@o3,c-suff + #t hollow,c-suff,#t hollow,2,{ixotAr,{ixotar,{i(.).(.).(.),{u$1o$2i$3,c-suff + #t hollow,c-suff,#t hollow,{uxotir,0,,DONE
41,{i1otaAo3,{i1ota@o3,v-suff + #t hollow,v-suff,#t hollow,2,{ixotAr,{ixotAr,{i(.).(.)A(.),{u$1o$2iy$3,v-suff + #t hollow,v-suff,#t hollow,{uxotiyr,0,,DONE
42,{i1otaAo3,{i1ota@o3,c-suff + #n hollow,c-suff,#n hollow,1,{ixotAr,{ixotar,{i(.).(.).(.),{u$1o$2i$3,c-suff + #n hollow,c-suff,#n hollow,{uxotir,0,,DONE
43,{i1otaAo3,{i1ota@o3,v-suff + #n hollow,v-suff,#n hollow,1,{ixotAr,{ixotAr,{i(.).(.)A(.),{u$1o$2iy$3,v-suff + #n hollow,v-suff,#n hollow,{uxotiyr,0,,DONE
44,{i1otawa3,{i1otawa3,,,,3,{iEotawaS,{iEotawaS,{i(.).(.).(.).(.),{u$1o$2u$3i$4,,,,{uEotuwiS,1,,DONE
45,{i1otawaY,{i1otawa#,#-ay,,#-ay,8,{ilotawaY,{ilotaw,{i(.).(.).(.),{u$1o$2u$3,#-iy,,#-iy,{ulotuw,0,,DONE
46,{i1owa3~,{i1owa3~,c-suff + hollow,c-suff,hollow,4,{izowar~,{izowarar,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + hollow,c-suff,hollow,{uzowurir,1,,DONE
47,{i1owa3~,{i1owa3~,v-suff + hollow,v-suff,hollow,4,{izowar~,{izowar~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff + hollow,v-suff,hollow,{uzowur~,1,,DONE
48,{i1oya3~,{i1oya3~,c-suff + hollow,c-suff,hollow,1,{iboyaD~,{iboyaDaD,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + hollow,c-suff,hollow,{uboyuDiD,0,,DONE
49,{i1oya3~,{i1oya3~,v-suff + hollow,v-suff,hollow,1,{iboyaD~,{iboyaD~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff + hollow,v-suff,hollow,{uboyuD~,0,,DONE
50,{ino1a>aY,{ino1a>a#,#-ay,,#-ay,1,{inota>aY,{inota,{ino(.).,{ino$1u,#-'iy,,#-}iy,{inotu,1,Added new cond: #-'iy,DONE
51,{ino1a2~,{ino1a2~,c-suff + gem,c-suff,gem,29,{inoval~,{inovalal,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + gem,c-suff,gem,{unovulil,0,,DONE
52,{ino1a2~,{ino1a2~,v-suff + gem,v-suff,gem,29,{inoval~,{inoval~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff + gem,v-suff,gem,{unovul~,0,,DONE
53,{ino1a2~,{ino1a2~,c-suff + #t gem,c-suff,#t gem,3,{inoval~,{inovalal,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + #t gem,c-suff,#t gem,{unovulil,0,,DONE
54,{ino1a2~,{ino1a2~,v-suff + #t gem,v-suff,#t gem,3,{inoval~,{inoval~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff + #t gem,v-suff,#t gem,{unovul~,0,,DONE
55,{ino1a2a>,{ino1a2a>,#-a>,,#-a>,3,{inofaqa>,{inofaq,{i(.).(.).(.),{u$1o$2u$3i},,,,{unofuqi},1,,DONE
56,{ino1a2a3,{ino1a2a3,#n,,#n,1,{inohamak,{inohamak,{i(.).(.).(.).(.),{u$1o$2u$3i$4,#n,,#n,{unohumik,0,,DONE
57,{ino1a2a3,{ino1a2a3,#t,,#t,4,{inohamak,{inohamak,{i(.).(.).(.).(.),{u$1o$2u$3i$4,#t,,#t,{unohumik,0,,DONE
58,{ino1a2a3,{ino1a2a3,,,,263,{inohamak,{inohamak,{i(.).(.).(.).(.),{u$1o$2u$3i$4,,,,{unohumik,0,,DONE
59,{ino1a2aY,{ino1a2a#,#-ay,,#-ay,21,{inotahaY,{inotah,{i(.).(.).(.),{u$1o$2u$3,#-iy,,#-iy,{unotuh,1,,DONE
60,{ino1aAo3,{ino1a@o3,c-suff + hollow,c-suff,hollow,25,{inozAH,{inozaH,{i(.).(.).(.),{u$1o$2i$3,c-suff + hollow,c-suff,hollow,{unoziH,0,,DONE
61,{ino1aAo3,{ino1a@o3,v-suff + hollow,v-suff,hollow,25,{inozAH,{inozAH,{i(.).(.)A(.),{u$1o$2iy$3,v-suff + hollow,v-suff,hollow,{unoziyH,0,,DONE
62,{ino1awa3,{ino1awa3,,,,1,{inohawas,{inohawas,{i(.).(.).(.).(.),{u$1o$2u$3i$4,,,,{unohuwis,1,,DONE
63,{ino1awaY,{ino1awa#,#-ay,,#-ay,5,{inohawaY,{inohaw,{i(.).(.).(.),{u$1o$2u$3,#-iy,,#-iy,{unohuw,0,,DONE
64,{isota>o2a3,{isota>o2a3,#n,,#n,2,{isota>onas,{isota>onas,{i(.).(.).(.).(.).(.),{u$1o$2u&o$4i$5,#n,,#n,{usotu&onis,1,,DONE
65,{isota>o2a3,{isota>o2a3,,,,10,{isota>onas,{isota>onas,{i(.).(.).(.).(.).(.),{u$1o$2u&o$4i$5,,,,{usotu&onis,1,,DONE
66,{isota>o2aY,{isota>o2a#,#-ay,,#-ay,3,{isota>onaY,{isota>on,{iso(.).(.).(.),{uso$1u&o$3,#-iy,,#-iy,{usotu&on,0,,DONE
67,{isota1a2~,{isota1a2~,c-suff + gem,c-suff,gem,38,{isotaZal~,{isotaZolal,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,c-suff + gem,c-suff,gem,{usotuZolil,1,,DONE
68,{isota1a2~,{isota1a2~,v-suff + gem,v-suff,gem,38,{isotaZal~,{isotaZal~,{i(.).(.).(.).(.)~,{u$1o$2u$3i$4~,v-suff + gem,v-suff,gem,{usotuZil~,1,,DONE
69,{isota1a2~,{isota1a2~,c-suff + #n gem,c-suff,#n gem,2,{isotaZal~,{isotaZolal,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,c-suff + #n gem,c-suff,#n gem,{usotuZolil,1,,DONE
70,{isota1a2~,{isota1a2~,v-suff + #n gem,v-suff,#n gem,2,{isotaZal~,{isotaZal~,{i(.).(.).(.).(.)~,{u$1o$2u$3i$4~,v-suff + #n gem,v-suff,#n gem,{usotuZil~,1,,DONE
71,{isota1aAo>,{isota1a@o>,v-suff + #A-',,#-A',1,{isotaDA',{isotaD,{i(.).(.).(.),{u$1o$2u$3,v-suff + #-iy',,#-iy',{usotuD,0,,DONE
72,{isota1aAo3,{isota1a@o3,c-suff + hollow,c-suff,hollow,52,{isotazAr,{isotazar,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + hollow,c-suff,hollow,{usotuzir,1,,DONE
73,{isota1aAo3,{isota1a@o3,v-suff + hollow,v-suff,hollow,52,{isotazAr,{isotazAr,{i(.).(.).(.)A(.),{u$1o$2u$3iy$4,v-suff + hollow,v-suff,hollow,{usotuziyr,1,,DONE
74,{isota1aAo3,{isota1a@o3,c-suff + #n hollow,c-suff,#n hollow,5,{isotazAr,{isotazar,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + #n hollow,c-suff,#n hollow,{usotuzir,1,,DONE
75,{isota1aAo3,{isota1a@o3,v-suff + #n hollow,v-suff,#n hollow,5,{isotazAr,{isotazAr,{i(.).(.).(.)A(.),{u$1o$2u$3iy$4,v-suff + #n hollow,v-suff,#n hollow,{usotuziyr,1,,DONE
76,{isota1aAo3,{isota1a@o3,c-suff + gem,c-suff,gem,1,{isotazAr,{isotazar,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + gem,c-suff,gem,{usotuzir,1,,DONE
77,{isota1aAo3,{isota1a@o3,v-suff + gem,v-suff,gem,1,{isotazAr,{isotazAr,{i(.).(.).(.)A(.),{u$1o$2u$3iy$4,v-suff + gem,v-suff,gem,{usotuziyr,1,,DONE
78,{isota1aAo3,{isota1a@o3,c-suff + #t hollow,c-suff,#t hollow,1,{isotazAr,{isotazar,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff + #t hollow,c-suff,#t hollow,{usotuzir,1,,DONE
79,{isota1aAo3,{isota1a@o3,v-suff + #t hollow,v-suff,#t hollow,1,{isotazAr,{isotazAr,{i(.).(.).(.)A(.),{u$1o$2u$3iy$4,v-suff + #t hollow,v-suff,#t hollow,{usotuziyr,1,,DONE
80,{isota1o>a3,{isota1o>a3,,,,3,{isota*o>ab,{isota*o>ab,{i(.).(.).(.).(.).(.),{u$1o$2u$3o}i$5,,,,{usotu*o}ib,0,,DONE
81,{isota1o2a>,{isota1o2a>,#-a>,,#-a>,9,{isotadofa>,{isotadof,{i(.).(.).(.).(.),{u$1o$2u$3o$4i},,,,{usotudofi},1,,DONE
82,{isota1o2a3,{isota1o2a3,#n,,#n,7,{isotahotar,{isotahotar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,#n,,#n,{usotuhotir,0,,DONE
83,{isota1o2a3,{isota1o2a3,#t,,#t,3,{isotahotar,{isotahotar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,#t,,#t,{usotuhotir,0,,DONE
84,{isota1o2a3,{isota1o2a3,,,,193,{isotahotar,{isotahotar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,,,{usotuhotir,0,,DONE
85,{isota1o2aY,{isota1o2a#,#-ay,,#-ay,46,{isotano$aY,{isotano$,{iso(.).(.).(.),{uso$1u$2o$3,#-iy,,#-iy,{usotuno$,1,,DONE
86,{isota1owa3,{isota1owa3,#n,,#n,2,{isotanowaq,{isotanowaq,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,#n,,#n,{usotunowiq,0,,DONE
87,{isota1owa3,{isota1owa3,,,,5,{isotanowaq,{isotanowaq,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,,,{usotunowiq,0,,DONE
88,{isota1owaY,{isota1owa#,#-ay,,#-ay,4,{isotaqowaY,{isotaqow,{iso(.).(.).(.),{uso$1u$2o$3,#-iy,,#-iy,{usotuqow,1,,DONE
89,{isota1oya3,{isota1oya3,#n,,#n,2,{isotahoyam,{isotahoyam,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,#n,,#n,{usotuhoyim,0,,DONE
90,{isota1oya3,{isota1oya3,,,,2,{isotahoyam,{isotahoyam,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,,,{usotuhoyim,0,,DONE
91,{isota1oyaY,{isota1oya#,#-ay,,#-ay,2,{isotaHoyaY,{isotaHoy,{iso(.).(.).(.),{uso$1u$2o$3,#-iy,,#-iy,{usotuHoy,1,,DONE
92,{isotawo>a3,{isotawo>a3,,,,1,{isotawo>ar,{isotawo>ar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o}i$5,,,,{usotuwo}ir,0,,DONE
93,{isotawo2a3,{isotawo2a3,#n,,#n,1,{isotawofaz,{isotawofaz,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,#n,,#n,{usotuwofiz,1,,DONE
94,{isotawo2a3,{isotawo2a3,,,,19,{isotawofaz,{isotawofaz,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,,,{usotuwofiz,1,,DONE
95,{isotawo2aY,{isotawo2a#,#-ay,,#-ay,4,{isotawolaY,{isotawol,{iso(.).(.).(.),{uso$1u$2o$3,#-iy,,#-iy,{usotuwol,0,,DONE
96,{isotayo>a3,{isotayo>a3,,,,1,{isotayo>as,{isotayo>as,{i(.).(.).(.).(.).(.),{u$1o$2u$3o}i$5,,,,{usotuyo}is,1,,DONE
97,{isotayo2a3,{isotayo2a3,#n,,#n,2,{isotayosar,{isotayosar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,#n,,#n,{usotuyosir,0,,DONE
98,{isotayo2a3,{isotayo2a3,,,,2,{isotayosar,{isotayosar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,,,{usotuyosir,0,,DONE
99,>a1a2~,>a1a2~,c-suff + gem,c-suff,gem,67,>aZal~,>aZolal,(.).(.).(.).(.),$1u$2o$3i$4,c-suff + gem,c-suff,gem,>uZolil,1,,DONE
100,>a1a2~,>a1a2~,v-suff + gem,v-suff,gem,67,>aZal~,>aZal~,(.).(.).(.)~,$1u$2i$3~,v-suff + gem,v-suff,gem,>uZil~,1,,DONE
101,>a1a2~,>a1a2~,c-suff + #n gem,c-suff,#n gem,7,>aZal~,>aZolal,(.).(.).(.).(.),$1u$2o$3i$4,c-suff + #n gem,c-suff,#n gem,>uZolil,1,,DONE
102,>a1a2~,>a1a2~,v-suff + #n gem,v-suff,#n gem,7,>aZal~,>aZal~,(.).(.).(.)~,$1u$2i$3~,v-suff + #n gem,v-suff,#n gem,>uZil~,1,,DONE
103,>a1a2~,>a1a2~,c-suff + #t gem,c-suff,#t gem,1,>aZal~,>aZolal,(.).(.).(.).(.),$1u$2o$3i$4,c-suff + #t gem,c-suff,#t gem,>uZolil,1,,DONE
104,>a1a2~,>a1a2~,v-suff + #t gem,v-suff,#t gem,1,>aZal~,>aZal~,(.).(.).(.)~,$1u$2i$3~,v-suff + #t gem,v-suff,#t gem,>uZil~,1,,DONE
105,>a1aAo>,>a1a@o>,c-suff + #-a>,,#-A',6,>asA',>as,(.).(.),$1u$2,c-suff,,#-iy',>us,0,,DONE
106,>a1aAo3,>a1a@o3,c-suff + hollow,c-suff,hollow,104,>azAr,>azar,(.).(.).(.),$1u$2i$3,c-suff + hollow,c-suff,hollow,>uzir,1,,DONE
107,>a1aAo3,>a1a@o3,v-suff + hollow,v-suff,hollow,104,>azAr,>azAr,(.).(.)A(.),$1u$2iy$3,v-suff + hollow,v-suff,hollow,>uziyr,1,,DONE
108,>a1aAo3,>a1a@o3,c-suff + #n hollow,c-suff,#n hollow,3,>azAr,>azar,(.).(.).(.),$1u$2i$3,c-suff + #n hollow,c-suff,#n hollow,>uzir,1,,DONE
109,>a1aAo3,>a1a@o3,v-suff + #n hollow,v-suff,#n hollow,5,>azAr,>azAr,(.).(.)A(.),$1u$2iy$3,v-suff + #n hollow,v-suff,#n hollow,>uziyr,1,,DONE
110,>a1aAo3,>a1a@o3,c-suff + #t hollow,c-suff,#t hollow,5,>azAr,>azar,(.).(.).(.),$1u$2i$3,c-suff + #t hollow,c-suff,#t hollow,>uzir,1,,DONE
111,>a1aAo3,>a1a@o3,v-suff + #t hollow,v-suff,#t hollow,3,>azAr,>azAr,(.).(.)A(.),$1u$2iy$3,v-suff + #t hollow,v-suff,#t hollow,>uziyr,1,,DONE
112,>a1o>a3,>a1o>a3,,,,7,>alo>ak,>alo>ak,(.).(.).(.).(.),$1u$2o}i$4,,,,>ulo}ik,0,,DONE
113,>a1o>aY,>a1o>a#,#->ay,,#->ay,1,>ano>aY,>ano>,(.).(.).(.),$1u$2o,#-'iy,,#-}iy,>uno,1,Added new cond: #-'iy,DONE
114,>a1o>aY,>a1o>a#,#-ay,,#-ay,1,>ano>aY,>ano>,(.).(.).(.),>u$2o,#-'iy,,#-}iy,>uno,1,Added new cond: #-'iy,DONE
115,>a1o2a>,>a1o2a>,#-a>,,#-a>,19,>ahoda>,>ahod,(.).(.).(.),$1u$2o$3i},,,,>uhodi},0,,DONE
116,>a1o2a3,>a1o2a3,#n,,#n,29,>ahoraE,>ahoraE,(.).(.).(.).(.),$1u$2o$3i$4,#n,,#n,>uhoriE,1,,DONE
117,>a1o2a3,>a1o2a3,#t,,#t,14,>ahoraE,>ahoraE,(.).(.).(.).(.),$1u$2o$3i$4,#t,,#t,>uhoriE,1,,DONE
118,>a1o2a3,>a1o2a3,,,,477,>ahoraE,>ahoraE,(.).(.).(.).(.),$1u$2o$3i$4,,,,>uhoriE,1,,DONE
119,>a1o2aY,>a1o2a#,#-ay,,#-ay,105,>aDonaY,>aDon,(.).(.).(.),>u$2o$3,#-iy,,#-iy,>uDon,0,,DONE
120,>a1owa3,>a1owa3,,,,6,>aEowaz,>aEowaz,(.).(.).(.).(.),$1u$2o$3i$4,,,,>uEowiz,1,,DONE
121,>a1owaY,>a1owa#,#-ay,,#-ay,8,>aqowaY,>aqow,(.).(.).(.),>u$2o$3,#-iy,,#-iy,>uqow,0,,DONE
122,>a1oya3,>a1oya3,,,,1,>aEoyal,>aEoyal,(.).(.).(.).(.),$1u$2o$3i$4,,,,>uEoyil,1,,DONE
123,>a1oyaY,>a1oya#,#-ay,,#-ay,2,>aEoyaY,>aEoy,(.).(.).(.),>u$2o$3,#-iy,,#-iy,>uEoy,0,,DONE
124,>a2~,>a2~,c-suff + hollow,c-suff,hollow,7,>az~,>azaz,(.).(.).(.),$1u$2i$3,c-suff + hollow,c-suff,hollow,>uziz,1,This is not hollow,DONE
125,>a2~,>a2~,v-suff + hollow,v-suff,hollow,7,>az~,>az~,(.).(.)~,$1u$2~,v-suff + hollow,v-suff,hollow,>uz~,1,This is not hollow,DONE
126,>a2~,>a2~,c-suff + #n gem,c-suff,#n gem,1,>az~,>azaz,(.).(.).(.),$1u$2i$3,c-suff + #n gem,c-suff,#n gem,>uziz,1,This is not hollow,DONE
127,>a2~,>a2~,v-suff + #n gem,v-suff,#n gem,1,>az~,>az~,(.).(.)~,$1u$2~,v-suff + #n gem,v-suff,#n gem,>uz~,1,This is not hollow,DONE
128,>a2~,>a2~,c-suff + gem,c-suff,gem,1,>az~,>azaz,(.).(.).(.),$1u$2i$3,c-suff + gem,c-suff,gem,>uziz,1,This is not hollow,DONE
129,>a2~,>a2~,v-suff + gem,v-suff,gem,1,>az~,>az~,(.).(.)~,$1u$2~,v-suff + gem,v-suff,gem,>uz~,1,This is not hollow,DONE
130,>a2~a3,>a2~a3,#n,,#n,3,>ah~al,>ah~al,(.).(.)~.(.),$1u$2~i$3,#n,,#n,>uh~il,0,,DONE
131,>a2~a3,>a2~a3,#t,,#t,1,>ah~al,>ah~al,(.).(.)~.(.),$1u$2~i$3,#t,,#t,>uh~il,0,,DONE
132,>a2~a3,>a2~a3,,,,44,>ah~al,>ah~al,(.).(.)~.(.),$1u$2~i$3,,,,>uh~il,0,,DONE
133,>a2~aY,>a2~a#,#-ay,,#-ay,3,>as~aY,>as~,(.).(.)~,$1u$2~,#-iy,,#-iy,>us~,1,,DONE
134,>A2a3,>@2a3,#n,,#n,2,>Anas,|nas,.(.).(.),>uw$1i$2,#n,,#n,>uwnis,0,,DONE
135,>A2a3,>@2a3,,,,16,>Anas,|nas,.(.).(.),>uw$1i$2,,,,>uwnis,0,,DONE
136,>a2a3,>a2a3,,,,32,>ahal,>ahal,(.).(.).(.),$1u$2i$3,,,,>uhil,0,,DONE
137,>a2aA,>a2a@,#-aw,,#-aw,2,>asA,>as,(.).(.),$1u$2,#-iy,,#-iy,>us,1,C5,DONE
138,>A2aY,>@2a#,#-ay,,#-ay,8,>AzaY,|z,.(.),>uw$1,#-iy,,#-iy,>uwz,0,,DONE
