,LINE,EXCLUDE,DEFINE,VARIANT,CLASS,SCOPE,PREFIX,STEM,SUFFIX,PREFIX-SHORT,STEM-SHORT,SUFFIX-SHORT,
57,56,IV XENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.2D] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.X.2D] [PRON.V] [PRON2],[I2D.E],[I],[I2D.X],
58,57,IV XENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.2FP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.X.2FP] [PRON.V] [PRON2],[I2FP.E],[I],[I2FP.X],
59,58,IV XENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.2FS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.X.2FS] [PRON.V] [PRON2],[I2FS.E],[I],[I2FS.X],
60,59,IV XENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.2MP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.X.2MP] [PRON.V] [PRON2],[I2MP.E],[I],[I2MP.X],
61,60,IV XENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.2MS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.X.2MS] [PRON.V] [PRON2],[I2MS.E],[I],[I2MS.X],
62,61,IV XENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3FD] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.X.3FD] [PRON.V] [PRON2],[I3FD.E],[I],[I3FD.X],
63,62,IV XENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3FP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.X.3FP] [PRON.V] [PRON2],[I3FP.E],[I],[I3FP.X],
64,63,IV XENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3FS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.X.3FS] [PRON.V] [PRON2],[I3FS.E],[I],[I3FS.X],
65,64,IV XENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3MD] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.X.3MD] [PRON.V] [PRON2],[I3MD.E],[I],[I3MD.X],
66,65,IV XENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3MP] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.X.3MP] [PRON.V] [PRON2],[I3MP.E],[I],[I3MP.X],
67,66,IV XENER,ORDER,MSA,VERBAL,pos:verb,[QUES] [CONJ] [VPART.E] [IVPref.3MS] [IVPreBuff],[STEM-IV] [IVBuff],[IVSuff.X.3MS] [PRON.V] [PRON2],[I3MS.E],[I],[I3MS.X],
68,,,,,,,,,,,,,
69,67,CV,ORDER,MSA,VERBAL,pos:verb,[CONJ],[STEM-CV] [CVBuff],[CVSuff] [PRON.V] [PRON2],[C],[C],[C],Imperative
70,68,CV,ORDER,MSA,VERBAL,pos:verb,[CONJ],[STEM-CV] [CVBuff],[CVSuff.E] [PRON.V] [PRON2],[C],[C],[C.E],Imperative+energetic 
71,69,CV,ORDER,MSA,VERBAL,pos:verb,[CONJ],[STEM-CV] [CVBuff],[CVSuff.X] [PRON.V] [PRON2],[C],[C],[C.X],Imperative+extra energetic 
