,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,BW,LEMMA,FORM,GLOSS,COND-T,COND-S,D3SEG,D3TOK,D2SEG,D2TOK,D1SEG,D1TOK,ATBSEG,ATBTOK,UD,CATIB6,FEAT,POS,FEAT_OLD,STATUS,COMMENTS,NOTES,#CLASS
458,459,s.t.t,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,sit~ami}ap,sit~ami},six-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:i cas:a,noun,pos:noun gen:- num:- rat:i cas:a,,,,
459,460,s.t.t,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,sit~ami}ap,sit~imi},six-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:g,noun,pos:noun gen:- num:- rat:r cas:g,,,,
460,461,s.t.t,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,sit~ami}ap,sit~umi},six-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:n,noun,pos:noun gen:- num:- rat:r cas:n,,,,
461,462,s.t.t,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,sit~amiA}ap,sit~amiA},six-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:i cas:a,noun,pos:noun gen:- num:- rat:i cas:a,,,,
462,463,s.t.t,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,sit~amiA}ap,sit~imiA},six-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:g,noun,pos:noun gen:- num:- rat:r cas:g,,,,
463,464,s.t.t,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,sit~amiA}ap,sit~umiA},six-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:n,noun,pos:noun gen:- num:- rat:r cas:n,,,,
464,465,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],RESTRIC_PART,siwaY,siwaY,except_(for),,,,,,,,,,,PART,PRT,pos:part_restrict,part_restrict,pos:part_restrict,,,,[STEM-BASE]
465,466,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,siy,siy,C.,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
466,467,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],laA/NEG_PART+siy~amaA/ADV,siy~amaA,laAsiy~amaA,especially,,,laA+_siy~amaA,laA+_siy~amaA,laA+_siy~amaA,laA+_siy~amaA,,,laA+_siy~amaA,laA+_siy~amaA,PART+ADV,PRT+NOM,pos:adv prc0:lA_neg stt:i cas:u,adv,pos:adv prc0:lA_neg stt:i cas:u,,,,[STEM-COMPOUND]
467,468,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,siy~amaA,siy~amaA,especially,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
468,469,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,SlEm,SlEm,Peace_Be_Upon_Him,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
469,470,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,sm,sm,centimeter,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
470,471,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,t,t,T.;(date);(time/timing);(died);22nd,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
471,472,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,T,T,T.;9th,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
472,473,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],la/EMPHATIC_PART+TAlamaA/ADV,TaAlamaA,laTaAlamaA,indeed+so_often_that,,,la+_TaAlamaA,la+_TaAlamaA,la+_TaAlamaA,la+_TaAlamaA,,,la+_TaAlamaA,la+_TaAlamaA,PART+ADV,PRT+NOM,pos:adv prc1:la_emph stt:i cas:u,adv,pos:adv prc1:la_emph stt:i cas:u,,,,[STEM-COMPOUND]
473,474,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,TaAlamaA,TaAlamaA,so_often_that,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
474,475,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],SUB_CONJ,TaAlamaA,TaAlamaA,as_long_as,,,,,,,,,,,SCONJ,PRT,pos:conj_sub,conj_sub,pos:conj_sub,,,,[STEM-BASE]
475,476,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,tatoraY,tatoraA,one_after_the_other;in_succession,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
476,477,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,tatoraY,tatoraY,one_after_the_other;in_succession,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
477,478,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,tg,tg,GMT_(Greenwich_Mean_Time),,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
478,479,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,tg,tj,GMT_(Greenwich_Mean_Time),,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
479,480,t.s.E,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,tisoEami}ap,tisoEami},nine-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:i cas:a,noun,pos:noun gen:- num:- rat:i cas:a,,,,
480,481,t.s.E,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,tisoEami}ap,tisoEimi},nine-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:g,noun,pos:noun gen:- num:- rat:r cas:g,,,,
481,482,t.s.E,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,tisoEami}ap,tisoEumi},nine-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:n,noun,pos:noun gen:- num:- rat:r cas:n,,,,
482,483,t.s.E,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,tisoEamiA}ap,tisoEamiA},nine-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:i cas:a,noun,pos:noun gen:- num:- rat:i cas:a,,,,
483,484,t.s.E,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,tisoEamiA}ap,tisoEimiA},nine-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:g,noun,pos:noun gen:- num:- rat:r cas:g,,,,
484,485,t.s.E,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,tisoEamiA}ap,tisoEumiA},nine-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:n,noun,pos:noun gen:- num:- rat:r cas:n,,,,
485,486,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,tiy,tiy,T.,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
486,487,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERJ,tuf~,tuf~,phew!,,,,,,,,,,,INTJ,PRT,pos:interj,interj,pos:interj,,,,[STEM-BASE]
487,488,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERJ,turaY,turaY,I_wonder,,,,,,,,,,,INTJ,PRT,pos:interj,interj,pos:interj,,,,[STEM-BASE]
488,489,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,v,v,TH.;23rd,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
489,490,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,vaA',vaA',sec._(seconds),,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
490,491,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,vaA',vaA,sec._(seconds),,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
491,492,v.l.v,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,valaAvami}ap,valaAvami},three-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:i cas:a,noun,pos:noun gen:- num:- rat:i cas:a,,,,
492,493,v.l.v,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,valaAvami}ap,valaAvimi},three-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:g,noun,pos:noun gen:- num:- rat:r cas:g,,,,
493,494,v.l.v,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,valaAvami}ap,valaAvumi},three-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:n,noun,pos:noun gen:- num:- rat:r cas:n,,,,
494,495,v.l.v,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,valaAvamiA}ap,valaAvamiA},three-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:i cas:a,noun,pos:noun gen:- num:- rat:i cas:a,,,,
495,496,v.l.v,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,valaAvamiA}ap,valaAvimiA},three-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:g,noun,pos:noun gen:- num:- rat:r cas:g,,,,
496,497,v.l.v,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,valaAvamiA}ap,valaAvumiA},three-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:n,noun,pos:noun gen:- num:- rat:r cas:n,,,,
497,498,v.m.m,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,vam~a,vam~a,there;over_there;in_that_place;there_is/are,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
498,499,v.m.m,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,vam~apa,vam~apa,there,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
499,500,v.m.n,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,vamaAnami}ap,vamaAnimi},eight-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:i cas:a,noun,pos:noun gen:- num:- rat:i cas:a,,,,
500,501,v.m.n,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,vamaAnami}ap,vamaAnami},eight-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:n,noun,pos:noun gen:- num:- rat:r cas:n,,,,
501,502,v.m.n,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,vamaAnami}ap,vamaAnumiA},eight-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:g,noun,pos:noun gen:- num:- rat:r cas:g,,,,
502,503,v.m.n,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,vamaAnamiA}ap,vamaAnimiA},eight-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:g,noun,pos:noun gen:- num:- rat:r cas:g,,,,
503,504,v.m.n,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,vamaAnamiA}ap,vamaAnamiA},eight-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:i cas:a,noun,pos:noun gen:- num:- rat:i cas:a,,,,
504,505,v.m.n,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,vamaAnamiA}ap,vamaAnumi},eight-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:n,noun,pos:noun gen:- num:- rat:r cas:n,,,,
505,506,v.m.m,NTWS,NTWS,LEXICON,[STEM-CONJ],CONJ,vum~a,vum~a,then;afterwards;next;moreover,,,,,,,,,,,CCONJ,PRT,pos:conj,conj,pos:conj,,,,[STEM-BASE]
506,507,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,wa,w,W.;6th,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
507,508,NTWS,NTWS,NTWS,LEXICON,[STEM-STANDALONE],CONJ,wa,wa,and,,,,,,,,,,,CCONJ,PRT,pos:conj,conj,pos:conj,,,,[STEM-BASE]
508,509,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],VOC_PART,waA,waA,O;oh,,,,,,,,,,,PART,PRT,pos:part_voc,part_voc,pos:part_voc,,,,[STEM-BASE]
509,510,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERJ,waAh,waAh,wow!,,,,,,,,,,,INTJ,PRT,pos:interj,interj,pos:interj,,,,[STEM-BASE]
510,511,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERJ,waAh,waAhaA,wow!,,,,,,,,,,,INTJ,PRT,pos:interj,interj,pos:interj,,,,[STEM-BASE]
511,512,w.q.t,NTWS,NTWS,LEXICON,[STEM-CONJ],waqot/NOUN+a/CASE_DEF_ACC+maA/SUB_CONJ,waqot,waqotamaA,the_time_that,,,waqota_+maA,waqota_+maA,,,,,waqota_+maA,waqota_+maA,NOUN+SCONJ,NOM+PRT,pos:noun gen:m num:s enc0:mA_sub stt:c cas:a,noun,pos:noun gen:m num:s enc0:mA_sub stt:c cas:a,,,,[STEM-COMPOUND]
512,513,w.q.t,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,waqot,waqota}i*K,at_that_time,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
513,514,w.q.t,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,waqot,waqota*aAk,at_that_time,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
514,515,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,x,x,KH.;24th,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
515,516,x.l.w,NTWS,NTWS,LEXICON,[STEM-CONJ-PRON],PREP,xalaA,xalaA,except_for,,C:A#,,,,,,,,,ADP,PRT,pos:prep,prep,pos:prep,,,,[STEM-BASE]
516,517,x.m.s,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,xamosami}ap,xamosami},five-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:i cas:a,noun,pos:noun gen:- num:- rat:i cas:a,,,,
517,518,x.m.s,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,xamosami}ap,xamosimi},five-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:g,noun,pos:noun gen:- num:- rat:r cas:g,,,,
518,519,x.m.s,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,xamosami}ap,xamosumi},five-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:n,noun,pos:noun gen:- num:- rat:r cas:n,,,,
519,520,x.m.s,NTWS,NTWS,LEXICON,[STEM-ACCUSATIVE],NOUN,xamosamiA}ap,xamosamiA},five-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:i cas:a,noun,pos:noun gen:- num:- rat:i cas:a,,,,
520,521,x.m.s,NTWS,NTWS,LEXICON,[STEM-GENITIVE],NOUN,xamosamiA}ap,xamosimiA},five-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:g,noun,pos:noun gen:- num:- rat:r cas:g,,,,
521,522,x.m.s,NTWS,NTWS,LEXICON,[STEM-NOMINATIVE],NOUN,xamosamiA}ap,xamosumiA},five-hundred,FS,X100,,,,,,,,,NOUN,NOM,pos:noun gen:- num:- rat:r cas:n,noun,pos:noun gen:- num:- rat:r cas:n,,,,
522,523,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,y,y,Y.;10th,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
523,524,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],VOC_PART,yaA,yaA,O;oh,,,,,,,,,,,PART,PRT,pos:part_voc,part_voc,pos:part_voc,,,,[STEM-BASE]
524,525,>.l.h,NTWS,NTWS,LEXICON,[STEM],NOUN,yaAll~a`h,yaAll~a`h,oh_God,,,,,,,,,,,NOUN,NOM,pos:noun gen:m num:s stt:i cas:u,noun,pos:noun gen:m num:s stt:i cas:u,,,,[STEM]
525,526,y.w.m,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,yawoma}i*K,yawoma}i*K,on_that_day,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
526,527,y.w.m,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,yawoma*aAko,yawoma*aAko,on_that_day,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
527,528,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,yuw,yuw,U.,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
528,529,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,z,z,Z.;7th,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
529,530,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,Z,Z,ZH.;27th,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
530,531,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,z,zid,Z.,,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
531,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
532,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
533,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
534,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
535,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
536,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
537,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
538,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
539,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
540,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
541,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
542,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
543,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
544,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
545,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
546,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
547,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
548,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
549,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
550,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
551,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
552,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
553,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
554,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
555,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
556,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
557,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
558,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
559,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
560,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
561,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
562,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
563,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
564,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
565,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
566,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
567,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
568,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
569,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
570,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
571,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
572,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
573,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
574,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
575,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
576,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
577,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
578,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
579,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
580,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
581,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
582,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
583,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
584,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
585,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
586,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
587,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
588,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
589,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
590,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
591,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
592,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
593,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
594,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
595,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
596,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
597,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
598,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
599,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
600,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
601,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
602,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
603,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
604,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
605,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
606,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
607,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
608,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
609,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
610,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
611,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
612,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
613,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
614,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
615,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
616,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
617,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
618,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
619,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
620,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
621,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
622,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
623,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
624,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
625,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
626,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
627,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
628,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
629,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
630,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
631,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
632,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
633,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
634,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
635,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
636,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
637,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
638,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
639,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
640,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
641,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
642,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
643,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
644,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
645,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
646,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
647,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
648,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
649,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
650,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
651,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
652,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
653,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
654,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
655,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
656,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
657,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
658,,,,,,,,,,,,,,,,,,,,,,PROP,,,,,,,
