,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,BW,LEMMA,FORM,GLOSS,COND-T,COND-S,D3SEG,D3TOK,D2SEG,D2TOK,D1SEG,D1TOK,ATBSEG,ATBTOK,UD,CATIB6,FEAT,POS,FEAT_OLD,STATUS,COMMENTS,NOTES,#CLASS
307,308,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PRON_3D,humaA,humaA,they_both,,,,,,,,,,,PRON,NOM,pos:pron gen:m num:d stt:d cas:n rat:u,pron,pos:pron gen:m num:d stt:d cas:n rat:u,,,,[STEM-BASE]
308,309,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],haA/DEM_PRON+hun~a/PRON_3FP,hun~a,haAhun~a,here_they_are(fem),,,haA+_hun~a,haA+_hun~a,haA+_hun~a,haA+_hun~a,,,haA+_hun~a,haA+_hun~a,DET+PRON,NOM+NOM,pos:pron prc1:hA_dem gen:f num:p stt:d cas:n rat:r,pron,pos:pron prc1:hA_dem gen:f num:p stt:d cas:n rat:r,,,,[STEM-COMPOUND]
309,310,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PRON_3FP,hun~a,hun~a,they(fem),,,,,,,,,,,PRON,NOM,pos:pron gen:f num:p stt:d cas:n rat:r,pron,pos:pron gen:f num:p stt:d cas:n rat:r,,,,[STEM-BASE]
310,311,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,hunaA,hunaA,here,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
311,312,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,hunaAka,hunaAka,there,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
312,313,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],ADV,hunaAlika,hunaAlika,there,,,,,,,,,,,ADV,NOM,pos:adv stt:i cas:u,adv,pos:adv stt:i cas:u,,,,[STEM-BASE]
313,314,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],haA/DEM_PRON+huwa/PRON_3MS,huwa,haAhuwa,here_he_is,,,haA+_huwa,haA+_huwa,haA+_huwa,haA+_huwa,,,haA+_huwa,haA+_huwa,DET+PRON,NOM+NOM,pos:pron prc1:hA_dem gen:m num:s stt:d cas:n rat:u,pron,pos:pron prc1:hA_dem gen:m num:s stt:d cas:n rat:u,,,,[STEM-COMPOUND]
314,315,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ],PRON_3MS,huwa,huwa,it/he,,,,,,,,,,,PRON,NOM,pos:pron gen:m num:s stt:d cas:n rat:u,pron,pos:pron gen:m num:s stt:d cas:n rat:u,,,,[STEM-BASE]
315,316,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],INTERJ,huwa*aA,huwa*aA,behold;see;look,,,,,,,,,,,INTJ,PRT,pos:interj,interj,pos:interj,,,,[STEM-BASE]
316,317,NTWS,NTWS,NTWS,LEXICON,[STEM-CONJ-PREP],ABBREV,j,j,J.;3rd;(pounds/lira);(answer);(republic);(gram),,,,,,,,,,,NOUN,NOM,pos:abbrev,abbrev,pos:abbrev,,,,[STEM-BASE]
