,PATTERN,COND-T,COND-S,#LEMMA,#FORM,MATCH,SUB,COND-T-PASS,COND-S-PASS,Test,Color,Comments,STATUS
80,{isotawo>a3,,a-#,{isotawo>ar_1,sotawo}ir,(.).(.).(.).(.).(.),$1o$2a$3o>a$5,,u-#,sotawo>ar,1,,DONE
81,{isotayo2a3,,a-#,{isotayoqaZ_1,sotayoqiZ,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,,u-#,sotayoqaZ,0,,DONE
82,{isotayo2a3,,a-# #n,{isotayoman_1,sotayomin,(.).(.).(.).(.).(.),$1o$2a$3o$4a$5,,u-# #n,sotayoman,0,,DONE
83,{isotayo>a3,,a-#,{isotayo>as_1,sotayo}is,(.).(.).(.).(.).(.),$1o$2a$3o>a$5,,u-#,sotayo>as,1,,DONE
84,>a1a2~,v-suff,u-# gem,>aHaq~_1,Hiq~,(.).(.)~,$1a$2~,v-suff,u-# gem,Haq~,0,,DONE
85,>a1a2~,c-suff,u-# gem,>aHaq~_1,Hoqiq,(.).(.).(.),$1o$2a$3,c-suff,u-# gem,Hoqaq,0,,DONE
86,>a1a2~,v-suff,u-# #n gem,>a$an~_1,$in~,(.).(.)~,$1a$2~,v-suff,u-# #n gem,$an~,0,,DONE
87,>a1a2~,c-suff,u-# #n gem,>a$an~_1,$onin,(.).(.).(.),$1o$2a$3,c-suff,u-# #n gem,$onan,0,,DONE
88,>a1a2~,v-suff,u-# #n,>asan~_1,sin~,(.).(.)~,$1a$2~,v-suff,u-# #n,san~,0,,DONE
89,>a1a2~,c-suff,u-# #n,>asan~_1,sonin,(.).(.).(.),$1o$2a$3,c-suff,u-# #n,sonan,0,,DONE
90,>a1a2~,v-suff,u-# #n gem,>aman~_1,min~,(.).(.)~,$1a$2~,v-suff,u-# #n gem,man~,0,,DONE
91,>a1a2~,c-suff,u-# #n gem,>aman~_1,monin,(.).(.).(.),$1o$2a$3,c-suff,u-# #n gem,monan,0,,DONE
92,>a1aAo3,c-suff,u-#,>axaAl_1,xil,(.).(.),$1a$2,c-suff,u-#,xal,1,,DONE
93,>a1aAo3,v-suff,u-#,>axaAl_1,xiyl,(.).(.)(.),$1aA$3,v-suff,u-#,xaAl,1,,DONE
94,>a1aAo3,c-suff,u-# #n,>adaAn_1,din,(.).(.),$1a$2,c-suff,u-# #n,dan,1,,DONE
95,>a1aAo3,v-suff,u-# #n,>adaAn_1,diyn,(.).(.)(.),$1aA$3,v-suff,u-# #n,daAn,1,,DONE
96,>a1aAo>,v-suff,u-# #-iy',>aDaA'_1,D,(.),$1,,u-# #-A',D,0,,DONE
97,>a1aAo>,,u-# #-iy',>asaA'_1,s,(.),$1,,u-# #-A',s,0,,DONE
98,>a1o2a3,,u-#,>a$okal_1,$okil,(.).(.).(.),$1o$2a$3,,u-#,$okal,1,,DONE
99,>a1o2a3,,u-# #n,>a*oEan_1,*oEin,(.).(.).(.),$1o$2a$3,,u-# #n,*oEan,1,,DONE
100,>a1o2a>,,u-#,>aboda>_1,bodi},(.).(.).(.),$1o$2,,u-# #-a>,bod,0,,DONE
101,>a1o2aY,,u-# #-iy,>agoraY_1,gor,(.).(.),$1o$2,,u-# #-aY,gor,1,,DONE
102,>a1o>a3,,u-#,>ako>ab_1,ko}ib,(.).(.).(.),$1o>a$3,,u-#,ko>ab,0,,DONE
103,>a1o>aY,,u-# #-}iy,>aro>aY_1,ro,(.).,$1o>,,u-# #-aY,ro>,1,,DONE
104,>a1owa3,,u-#,>aEowaz_1,Eowiz,(.).(.).(.),$1o$2a$3,,u-#,Eowaz,0,,DONE
105,>a1oya3,,u-#,>aEoyal_1,Eoyil,(.).(.).(.),$1o$2a$3,,u-#,Eoyal,1,,DONE
106,>awo2a3,,u-# #n,>awohan_1,wohin,(.).(.).(.),$1o$2a$3,,u-# #n,wohan,0,,DONE
107,1a>aY,,a-# #-}iy,Sa>aY-i_1,So,(.).,$1,,u-# #-aY,S,1,,DONE
108,wa2i3,,a-# #n,wasin-a_1,san,(.).(.),$1a$2,,u-# #n,san,0,,DONE
109,wa2i>,,a-# #-a>,wabi}-a_1,b,(.),$1,,u-# #-a>,b,1,,DONE
110,1aA2a3,,u-#,baAsaT_1,baAsiT,(.)aA(.).(.),$1aA$2a$3,,u-#,baAsaT,0,,DONE
111,1aA2a3,,u-# #n,$aAHan_1,$aAHin,(.)aA(.).(.),$1aA$2a$3,,u-# #n,$aAHan,0,,DONE
112,wa2u3,,a-#,wa$uk_1,$uk,(.).(.),$1a$2,,u-#,$ak,1,,DONE
113,1aA2a>,,u-#,baAda>_1,baAdi},(.)aA(.).(.),$1aA$2,,u-# #-a>,baAd,0,,DONE
114,1aA2aY,,u-# #-iy,baAdaY_1,baAd,(.)aA(.),$1aA$2,,u-# #-aY,baAd,1,,DONE
115,1aA2~,v-suff,u-# gem,maAs~_1,maAs~,(.)aA(.)~,$1aA$2~,v-suff,u-# gem,maAs~,0,,DONE
116,1aA2~,c-suff,u-# gem,maAs~_1,maAsis,(.)aA(.).(.),$1aA$2a$3,c-suff,u-# gem,maAsas,0,,DONE
117,1aA>a3,,u-#,laA'am_1,laA}im,(.)aA(.).(.),$1aA>a$3,,u-#,laA>am,1,,DONE
118,1aA>aY,,u-# #-}iy,naA'aY_1,naA,(.)aA,$1aA',,u-# #-aY,naA',0,,DONE
119,1aAwa3,,u-#,haAwad_1,haAwid,(.)aA(.).(.),$1aA$2a$3,,u-#,haAwad,1,,DONE
120,1aAwa3,,u-# #n,EaAwan_1,EaAwin,(.)aA(.).(.),$1aA$2a$3,,u-# #n,EaAwan,1,,DONE
121,1aAwa>,,u-#,naAwa>_1,naAw,(.)aA(.),$1aA$2,,u-#,naAw,0,,DONE
122,1aAwaY,,u-# #-iy,daAwaY_1,daAw,(.)aA(.),$1aA$2,,u-# #-aY,daAw,1,,DONE
123,1aAya3,,u-#,gaAyar_1,gaAyir,(.)aA(.).(.),$1aA$2a$3,,u-#,gaAyar,0,,DONE
124,1aAya3,,u-# #n,baAyan_1,baAyin,(.)aA(.).(.),$1aA$2a$3,,u-# #n,baAyan,0,,DONE
125,wa2u3,,a-# #n,wahun-u_1,hun,(.).(.),$1a$2,,u-# #n,han,1,,DONE
126,>aA2a3,,u-# >-# #n,|man_1,min,(.).(.),$1a$2,,u-# >-# #n,man,0,,DONE
127,waA2a3,,u-#,waAEad_1,waAEid,(.)aA(.).(.),$1aA$2a$3,,u-#,waAEad,1,,DONE
128,waA2a3,,u-# #n,waAzan_1,waAzin,(.)aA(.).(.),$1aA$2a$3,,u-# #n,waAzan,1,,DONE
129,waA2a>,,u-#,waATa>_1,waATi},(.)aA(.).(.),$1aA$2,,u-# #-a>,waAT,0,,DONE
130,waA2aY,,u-# #-iy,waAfaY_1,waAf,(.)aA(.),$1aA$2,,u-# #-aY,waAf,1,,DONE
131,waA2~,c-suff,u-# gem,waAd~_1,waAdid,(.)aA(.).(.),$1aA$2a$3,c-suff,u-# gem,waAdad,0,,DONE
132,waA2~,v-suff,u-# gem,waAd~_1,waAd~,(.)aA(.)~,$1aA$2~,v-suff,u-# gem,waAd~,0,,DONE
133,waA>a3,,u-#,waA'am_1,waA}im,(.)aA(.).(.),$1aA>a$3,,u-#,waA>am,1,,DONE
134,yaA2a3,,u-#,yaAsar_1,yaAsir,(.)aA(.).(.),$1aA$2a$3,,u-#,yaAsar,0,,DONE
135,yaAwa3,,u-#,yaAwam_1,yaAwim,(.)aA(.).(.),$1aA$2a$3,,u-#,yaAwam,1,,DONE
136,1a2~a3,,u-#,Ead~ad_1,Ead~id,(.).(.)~.(.),$1a$2~a$3,,u-#,Ead~ad,0,,DONE
137,1a2~a3,,u-#,bat~al_2,bat~il,(.).(.)~.(.),$1a$2~a$3,,u-#,bat~al,0,,DONE
138,1a2~a3,,u-# #n,lab~an_1,lab~in,(.).(.)~.(.),$1a$2~a$3,,u-# #n,lab~an,0,,DONE
139,1a2~a>,,u-#,bar~a>_1,bar~i},(.).(.)~.(.),$1a$2~,,u-# #-a>,bar~,1,,DONE
140,1a2~aY,,u-# #-iy,*ak~aY_1,*ak~,(.).(.)~,$1a$2~,,u-# #-aY,*ak~,0,,DONE
141,1aw~a3,,u-#,Eaw~ah_1,Eaw~ih,(.).(.)~.(.),$1a$2~a$3,,u-#,Eaw~ah,1,,DONE
142,1aw~a3,,u-#,$aw~al_1,$aw~il,(.).(.)~.(.),$1a$2~a$3,,u-#,$aw~al,1,,DONE
143,1aw~a3,,u-# #n,$aw~an_1,$aw~in,(.).(.)~.(.),$1a$2~a$3,,u-# #n,$aw~an,1,,DONE
144,wa2u>,,a-# #-u&,wabu&-u_1,b,(.),$1,,u-# #-a>,b,0,,DONE
145,1aw~a>,,u-#,baw~a>_1,baw~i},(.).(.)~.(.),$1a$2~a>,,u-#,baw~a>,1,,DONE
146,1aw~aY,,u-# #-iy,daw~aY_1,daw~,(.).(.)~,$1a$2~,,u-# #-aY,daw~,0,,DONE
147,1ay~a3,,u-#,Tay~af_1,Tay~if,(.).(.)~.(.),$1a$2~a$3,,u-#,Tay~af,1,,DONE
148,1ay~a3,,u-#,Day~af_1,Day~if,(.).(.)~.(.),$1a$2~a$3,,u-#,Day~af,1,,DONE
149,1ay~a3,,u-# #n,$ay~an_1,$ay~in,(.).(.)~.(.),$1a$2~a$3,,u-# #n,$ay~an,1,,DONE
150,>a2a3,,a-# >-#,>asar-i_1,sir,(.).(.),$1a$2,,u-# >-#,sar,0,,DONE
151,1ay~aA,,u-# #-iy,Hay~aA_1,Hay~,(.).(.)~,$1a$2~,,u-# #-aY,Hay~,1,,DONE
152,1ay~aY,,u-# #-iy,zay~aY_1,zay~,(.).(.)~,$1a$2~,,u-# #-aY,zay~,0,,DONE
153,>a2i3,,a-# >-# #n,>a*in-a_1,*an,(.).(.),$1a$2,,u-# >-# #n,*an,1,,DONE
154,>a2iy,,a-# >-# #-aY,>a*iy-a_1,*,(.),$1,,u-# >-# #-aY,*,0,,DONE
155,wa2~a3,,u-#,wa$~aE_1,wa$~iE,(.).(.)~.(.),$1a$2~a$3,,u-#,wa$~aE,1,,DONE
156,wa2~a3,,u-# #n,wah~an_1,wah~in,(.).(.)~.(.),$1a$2~a$3,,u-# #n,wah~an,1,,DONE
157,wa2~a>,,u-#,waT~a>_1,waT~i},(.).(.)~.(.),$1a$2~,,u-# #-a>,waT~,0,,DONE
158,wa2~aY,,u-# #-iy,waE~aY_1,waE~,(.).(.)~,$1a$2~,,u-# #-aY,waE~,1,,DONE
159,ya2~a3,,u-#,yab~as_1,yab~is,(.).(.)~.(.),$1a$2~a$3,,u-#,yab~as,0,,DONE
160,>a2u3,,a-# >-#,>anuv-u_1,nuv,(.).(.),$1a$2,,u-# >-#,nav,1,,DONE
161,yaw~a3,,u-#,yaw~ad_1,yaw~id,(.).(.)~.(.),$1a$2~a$3,,u-#,yaw~ad,0,,DONE
162,1a2a3,,a-#,DabaT-ui_1,DobuT,(.).(.).(.),$1o$2a$3,,u-#,DobaT,1,,DONE
163,>a2u3,,a-# >-# #n,>amun-u_1,mun,(.).(.),$1a$2,,u-# >-# #n,man,0,,DONE
164,>ayi3,,a-# >-#,>ayis-a_1,yas,(.).(.),$1a$2,,u-# >-#,yas,1,,DONE
165,1a2a3,,a-# #n,Eajan-ui_1,Eojun,(.).(.).(.),$1o$2a$3,,u-# #n,Eojan,0,,DONE
166,1a2a>,,a-# #-a>,dana>-a_1,don,(.).(.),$1o$2,,u-# #-a>,don,1,,DONE
167,1a2a>,,a-# #-u&,hana>-u_1,hon,(.).(.),$1o$2,,u-# #-a>,hon,1,,DONE
