,LINE,ROOT,PATTERN,PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,COND-T,COND-S,GLOSS,FEAT,STATUS,SIGNATURE_LEMMA,QC_LEMMA_PARADIGM,COMMENTS,NOTES,SIGNATURE_STEM,QC_STEM_PARADIGM
13,14,b.E.d,1u2o3,1u2o3aY,LEXICON,[STEM-NOM],>aboEad,buEod,MS||MD||FP,#aY-Ap-y,farther;farthest,pos:adj_comp gen:f num:- rat:n cas:u,DONE,[MS||MD||MP]-[MS||MD||FP]-[MS] [-]-[f]-[m] [-]-[-]-[p] stem:0-1-2,OK~,,,1u2o3aY#aY-Ap-yMS||MD||FPf-,OK
14,15,b.h.r,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>abohar,>abohar,MS||MD,#dip,more/most_brilliant,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
15,16,b.h.y,>a1o2,>a1o2a3,LEXICON,[STEM-NOM],>abohaY,>aboh,MS||MD||MP,#dip #aY-Ap-y,more/most_splendid,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD||MP] [-] [-] stem:0,OK~,,,>a1o2a3#dip #aY-Ap-yMS||MD||MP--,OK
16,17,b.k.r,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>abokar,>abokar,MS||MD,#dip,earlier/earliest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
17,18,b.l.d,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>abolad,>abolad,MS||MD,#dip,more/most_stupid,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
18,19,b.l.g,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>abolag,>abolag,MS||MD,#dip,more/most_eloquent,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
19,20,b.q.y,>a1o2,>a1o2a3,LEXICON,[STEM-NOM],>aboqaY,>aboq,MS||MD||MP,#dip #aY-Ap-y,more_durable;more_lasting,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD||MP] [-] [-] stem:0,OK~,,,>a1o2a3#dip #aY-Ap-yMS||MD||MP--,OK
20,21,b.r.E,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aboraE,>aboraE,MS||MD,#dip,more/most_eminent;more/most_skillful,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
21,22,b.r.k,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aborak,>aborak,MS||MD,#dip,more/most_blessed,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
22,23,b.r.z,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aboraz,>aboraz,MS||MD,#dip,more/most_prominent,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
23,24,b.S.r,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aboSar,>aboSar,MS||MD,#dip,more/most_discerning,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
24,25,b.s.T,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>abosaT,>abosaT,MS||MD,#dip,most_basic;simpler/simplest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
25,26,b.T.>,>a1o2,>a1o2a3,LEXICON,[STEM-NOM],>aboTa>,>aboT,MS||MD||MP,#dip #a>,slower/slowest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD||MP] [-] [-] stem:0,OK~,,,>a1o2a3#dip #a>MS||MD||MP--,OK
26,27,b.x.s,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aboxas,>aboxas,MS||MD,#dip,lower;smaller,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
27,28,b.y.n,>a1o2a3,>a1o2a3,LEXICON,[STEM-NOM],>aboyan,>aboyan,MS||MD,#dip,clearer;clearest,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
28,29,d.l.l,>a1a2~,>a1o2a3,LEXICON,[STEM-NOM],>adal~,>adal~,MS||MD,#dip,more/most_conclusive;more/most_indicative,pos:adj_comp gen:- num:- rat:n cas:u,DONE,[MS||MD] [-] [-] stem:0,OK,,,>a1o2a3#dipMS||MD--,OK
