,PATTERN,COND-T,COND-S,#LEMMA,#FORM,MATCH,SUB,COND-T-PASS,COND-S-PASS,Test,Color,Comments,STATUS
51,{ino1a2~,c-suff,gem,{inoval~,{inovalal,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff,gem,{unovulil,0,,DONE
52,{ino1a2~,v-suff,gem,{inoval~,{inoval~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff,gem,{unovul~,0,,DONE
53,{ino1a2~,c-suff,#t gem,{inoval~,{inovalal,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff,#t gem,{unovulil,0,,DONE
54,{ino1a2~,v-suff,#t gem,{inoval~,{inoval~,{i(.).(.).(.)~,{u$1o$2u$3~,v-suff,#t gem,{unovul~,0,,DONE
55,{ino1a2a>,,#-a>,{inofaqa>,{inofaq,{i(.).(.).(.),{u$1o$2u$3i},,,{unofuqi},1,,DONE
56,{ino1a2a3,,#n,{inohamak,{inohamak,{i(.).(.).(.).(.),{u$1o$2u$3i$4,,#n,{unohumik,0,,DONE
57,{ino1a2a3,,#t,{inohamak,{inohamak,{i(.).(.).(.).(.),{u$1o$2u$3i$4,,#t,{unohumik,0,,DONE
58,{ino1a2a3,,,{inohamak,{inohamak,{i(.).(.).(.).(.),{u$1o$2u$3i$4,,,{unohumik,0,,DONE
59,{ino1a2aY,,#-ay,{inotahaY,{inotah,{i(.).(.).(.),{u$1o$2u$3,,#-iy,{unotuh,1,,DONE
60,{ino1aAo3,c-suff,,{inozaAH,{inozaH,{i(.).(.).(.),{u$1o$2i$3,c-suff,hollow,{unoziH,0,,DONE
61,{ino1aAo3,v-suff,,{inozaAH,{inozaAH,{i(.).(.)aA(.),{u$1o$2iy$3,v-suff,hollow,{unoziyH,0,,DONE
62,{ino1awa3,,,{inohawas,{inohawas,{i(.).(.).(.).(.),{u$1o$2u$3i$4,,,{unohuwis,1,,DONE
63,{ino1awaY,,#-ay,{inohawaY,{inohaw,{i(.).(.).(.),{u$1o$2u$3,,#-iy,{unohuw,0,,DONE
64,{isota>o2a3,,#n,{isota>onas,{isota>onas,{i(.).(.).(.).(.).(.),{u$1o$2u&o$4i$5,,#n,{usotu&onis,1,,DONE
65,{isota>o2a3,,,{isota>onas,{isota>onas,{i(.).(.).(.).(.).(.),{u$1o$2u&o$4i$5,,,{usotu&onis,1,,DONE
66,{isota>o2aY,,#-ay,{isota>onaY,{isota>on,{iso(.).(.).(.),{uso$1u&o$3,,#-iy,{usotu&on,0,,DONE
67,{isota1a2~,c-suff,gem,{isotaZal~,{isotaZolal,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,c-suff,gem,{usotuZolil,1,,DONE
68,{isota1a2~,v-suff,gem,{isotaZal~,{isotaZal~,{i(.).(.).(.).(.)~,{u$1o$2u$3i$4~,v-suff,gem,{usotuZil~,1,,DONE
69,{isota1a2~,c-suff,#n gem,{isotaZal~,{isotaZolal,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,c-suff,#n gem,{usotuZolil,1,,DONE
70,{isota1a2~,v-suff,#n gem,{isotaZal~,{isotaZal~,{i(.).(.).(.).(.)~,{u$1o$2u$3i$4~,v-suff,#n gem,{usotuZil~,1,,DONE
71,{isota1aAo>,,#-A',{isotaDaA',{isotaD,{i(.).(.).(.),{u$1o$2u$3,,#-iy',{usotuD,0,,DONE
72,{isota1aAo3,c-suff,,{isotazaAr,{isotazar,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff,hollow,{usotuzir,1,,DONE
73,{isota1aAo3,v-suff,,{isotazaAr,{isotazaAr,{i(.).(.).(.)aA(.),{u$1o$2u$3iy$4,v-suff,hollow,{usotuziyr,1,,DONE
74,{isota1aAo3,c-suff,#n,{isotazaAr,{isotazar,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff,#n hollow,{usotuzir,1,,DONE
75,{isota1aAo3,v-suff,#n,{isotazaAr,{isotazaAr,{i(.).(.).(.)aA(.),{u$1o$2u$3iy$4,v-suff,#n hollow,{usotuziyr,1,,DONE
76,{isota1aAo3,c-suff,gem,{isotazaAr,{isotazar,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff,gem,{usotuzir,1,,DONE
77,{isota1aAo3,v-suff,gem,{isotazaAr,{isotazaAr,{i(.).(.).(.)aA(.),{u$1o$2u$3iy$4,v-suff,gem,{usotuziyr,1,,DONE
78,{isota1aAo3,c-suff,#t,{isotazaAr,{isotazar,{i(.).(.).(.).(.),{u$1o$2u$3i$4,c-suff,#t hollow,{usotuzir,1,,DONE
79,{isota1aAo3,v-suff,#t,{isotazaAr,{isotazaAr,{i(.).(.).(.)aA(.),{u$1o$2u$3iy$4,v-suff,#t hollow,{usotuziyr,1,,DONE
80,{isota1o>a3,,,{isota*o>ab,{isota*o>ab,{i(.).(.).(.).(.).(.),{u$1o$2u$3o}i$5,,,{usotu*o}ib,0,,DONE
81,{isota1o2a>,,#-a>,{isotadofa>,{isotadof,{i(.).(.).(.).(.),{u$1o$2u$3o$4i},,,{usotudofi},1,,DONE
82,{isota1o2a3,,#n,{isotahotar,{isotahotar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,#n,{usotuhotir,0,,DONE
83,{isota1o2a3,,#t,{isotahotar,{isotahotar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,#t,{usotuhotir,0,,DONE
84,{isota1o2a3,,,{isotahotar,{isotahotar,{i(.).(.).(.).(.).(.),{u$1o$2u$3o$4i$5,,,{usotuhotir,0,,DONE
