SIGNATURE	LEMMA	DIAC	QC	COMMENTS	STATUS
NOM.MP.C.E0	nAwiy		OK		
NOM.FS.D.P0	nAwiy	Aln~Awiyap	OK		
NOM.FS.I	nAwiy	nAwiyap	OK		
NOM.FS.C	nAwiy	nAwiyp	OK		
NOM.FS.D.P0.E0	nAwiy		OK		
NOM.FS.C.E0	nAwiy		OK		
NOM.FD.D.P0	nAwiy	Aln~Awiytayon	OK		
NOM.FD.I	nAwiy	nAwiytayon	OK		
NOM.FD.C	nAwiy	nAwiytayon	OK		
NOM.FD.D.P0.E0	nAwiy		OK		
NOM.FD.C.E0	nAwiy		OK		
NOM.FP.D.P0	nAwiy	Aln~AwiyAt	OK		
NOM.FP.I	nAwiy	nAwiyAt	OK		
NOM.FP.C	nAwiy	nAwiyAt	OK		
NOM.FP.D.P0.E0	nAwiy		OK		
NOM.FP.C.E0	nAwiy		OK		
NOM.MS.D.P0	lAzim	All~Azim	OK		
NOM.MS.I	lAzim	lAzim	OK		
NOM.MS.C	lAzim	lAzim	OK		
NOM.MS.D.P0.E0	lAzim		OK		
NOM.MS.C.E0	lAzim		OK		
NOM.MD.D.P0	lAzim	All~Azmayon	OK		
NOM.MD.I	lAzim	lAzmayon	OK		
NOM.MD.C	lAzim	lAzmayon	OK		
NOM.MD.D.P0.E0	lAzim		OK		
NOM.MD.C.E0	lAzim		OK		
NOM.MP.D.P0	lAzim	All~Azmiyn	OK		
NOM.MP.I	lAzim	lAzmiyn	OK		
NOM.MP.C	lAzim	lAzmiyn	OK		
NOM.MP.D.P0.E0	lAzim		OK		
NOM.MP.C.E0	lAzim		OK		
NOM.FS.D.P0	lAzim	All~Azmap	OK		
NOM.FS.I	lAzim	lAzmap	OK		
NOM.FS.C	lAzim	lAzmip	OK		
NOM.FS.D.P0.E0	lAzim		OK		
NOM.FS.C.E0	lAzim		OK		
NOM.FD.D.P0	lAzim	All~Azimtayon	OK		
NOM.FD.I	lAzim	lAzimtayon	OK		
NOM.FD.C	lAzim	lAzimtayon	OK		
NOM.FD.D.P0.E0	lAzim		OK		
NOM.FD.C.E0	lAzim		OK		
NOM.FP.D.P0	lAzim	All~AzmAt	OK		
NOM.FP.I	lAzim	lAzmAt	OK		
NOM.FP.C	lAzim	lAzmAt	OK		
NOM.FP.D.P0.E0	lAzim		OK		
NOM.FP.C.E0	lAzim		OK		
NOM.MS.D.P0	>aw~al	Al>uwl~al	PROB	wrong strem 	
NOM.MS.I	>aw~al	>uwl~al	PROB	wrong strem 	
NOM.MS.C	>aw~al	>uwl~al	PROB	wrong strem 	
