,LINE,ROOT,PATTERN,INTERDIGIT,STATUS_PATTERN,COUNT_PATTERN,BW,PATTERN_ABSTRACT_WIP,PATTERN_ABSTRACT,COUNT_PATTERN_ABSTRACT,STATUS_PATTERN_ABSTRACT,DEFINE,CLASS,LEMMA,FORM,COND-T,COND-S,GLOSS,gloss_old,FEAT,POS,GEN,NUM,RAT,CAS,UD,CATIB6,STATUS,COMMENTS,NOTES
14,15,n.f.s,1a2o3,nafos,DONE,,NOUN_QUANT,1a2o3,1a2o3,2393,DONE,LEXICON,[STEM-NOM],Eayon,Eayon,MS||MD,,same,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,DONE,,
15,16,E.$.r,1u2u3,#N/A,DONE,8,NOUN_QUANT,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],Eu$ur,Eu$ur,MS||MD,,one_tenth,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
16,17,g.l.b,1aA2i3iy~,gAlibiy~,DONE,31,NOUN_QUANT,1A2i3+iy~+ap,1A2i3,986,DONE,LEXICON,[STEM-NOM],gaAlibiy~ap,gaAlibiy~,FS||FD||FP,,most_(of);the_majority_(of);the_greater_portion_of;part_(of),,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,DONE,,
17,18,H.w.l,1a2aA3ay,HawaAlay,DONE,1,NOUN_QUANT,1a2A3+ay,1a2A3,3,DONE,LEXICON,[STEM-NOM],HawaAlay,HawaAlay,MS,,about;approximately;around;roughly;nearly;almost,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
18,19,j.m.E,1a2iy3,jamiyE,DONE,1,NOUN_QUANT,1a2iy3,1a2iy3,1,DONE,LEXICON,[STEM-NOM],jamiyE,jamiyE,MS,,all;entire;every;whole,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
19,20,j.l.l,1u2~,jul~,DONE,2,NOUN_QUANT,1u2o3,1u2o3,3,DONE,LEXICON,[STEM-NOM],jul~,jul~,MS,,most_(of);the_majority_(of);the_greater_portion_of;part_(of),,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
20,21,k.f.f,1aA2~,kAf~,DONE,308,NOUN_QUANT,1A2i3+ap,1A2i3,985,DONE,LEXICON,[STEM-NOM],kaAf~ap,kaAf~,FS||FD,,all,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,DONE,,
21,22,k.m.l,1aA2i3,kaAmil,DONE,1,NOUN_QUANT,1A2i3,1A2i3,4,DONE,LEXICON,[STEM-NOM],kaAmil,kaAmil,MS||MD||FS||FD||FP,,entire,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
22,23,k.l.l,1u2~,kul~,DONE,2,NOUN_QUANT,1u2o3,1u2o3,3,DONE,LEXICON,[STEM-NOM],kul~,kul~,MS,,all;entire;every;whole,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
23,24,E.Z.m,mu1o2a3,muEoZam,DONE,1,NOUN_QUANT,mu1o2a3,mu1o2a3,1,DONE,LEXICON,[STEM-NOM],muEoZam,muEoZam,MS,,most;majority,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
24,25,n.f.s,1a2o3,nafos,DONE,,NOUN_QUANT,1a2o3,1a2o3,2393,DONE,LEXICON,[STEM-NOM],nafos,nafos,MS||MD,,same,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,DONE,,
25,26,n.S.f,1i2o3,niSof,DONE,3,NOUN_QUANT,1i2o3,1i2o3,4,DONE,LEXICON,[STEM-NOM],niSof,niSof,MS||MD,,half,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
26,27,q.w.b,1aA3,qaAb,DONE,1,NOUN_QUANT,1a2a3,1a2a3,3,DONE,LEXICON,[STEM-NOM],qaAb,qaAb,MS,,short_distance_small_space,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
27,28,q.y.d,1a2o3,qayod,DONE,6,NOUN_QUANT,1a2o3,1a2o3,7,DONE,LEXICON,[STEM-NOM],qayod,qayod,MS,,around,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
28,29,q.y.s,1a2o3,qayos,DONE,6,NOUN_QUANT,1a2o3,1a2o3,7,DONE,LEXICON,[STEM-NOM],qayos,qayos,MS,,the_size_of,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
29,30,q.r.b,1u2aA3,qurAb,DONE,460,NOUN_QUANT,1u2A3+ap,1u2A3,604,DONE,LEXICON,[STEM-NOM],quraAbap,quraAb,FS||FD||FP,,about;approximately;around;roughly;nearly;almost,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,DONE,,
30,31,q.S.r,1u2aA3,quSaAr,DONE,2,NOUN_QUANT,1u2A3aY,1u2A3aY,1,DONE,LEXICON,[STEM-NOM],quSaAraY,quSaAr,MS||MD,#dip #aY-Ap-y,limit;utmost,utmost;limit,pos:noun_quant gen:f num:- rat:i cas:u,noun_quant,f,-,i,u,NOUN,NOM,,,
31,32,r.b.E,1u2o3,ruboE,DONE,2,NOUN_QUANT,1u2o3,1u2o3,3,DONE,LEXICON,[STEM-NOM],ruboE,ruboE,MS||MD,,one_fourth;quarter,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
32,33,r.b.E,1u2o3,ruboE,DONE,2,NOUN_QUANT,>a1o2A3,>a1o2A3,2,DONE,LEXICON,[STEM-NOM],ruboE,>arobaAE,MS,,quarter_(in_three_quarters),,pos:noun_quant gen:m num:p rat:i cas:u,noun_quant,m,p,i,u,NOUN,NOM,,,
33,34,r.b.E,1u2u3,rubuE,DONE,8,NOUN_QUANT,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],rubuE,rubuE,MS||MD,,one_fourth;quarter,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
34,35,s.>.r,1aA}i3,saA}ir,DONE,1,NOUN_QUANT,1A2i3,1A2i3,4,DONE,LEXICON,[STEM-NOM],saA}ir,saA}ir,MS||MD,,most_(of);the_majority_(of);the_greater_portion_of;part_(of),,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,DONE,,
35,36,s.b.E,1u2u3,subuE,DONE,8,NOUN_QUANT,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],subuE,subuE,MS||MD,,one_seventh,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
36,37,s.d.s,1u2u3,sudus,DONE,8,NOUN_QUANT,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],sudus,sudus,MS||MD,,one_sixth,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
37,38,t.s.E,1u2u3,tusuE,DONE,8,NOUN_QUANT,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],tusuE,tusuE,MS||MD,,one_ninth,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
38,39,v.l.v,1u2u3,vuluv,DONE,8,NOUN_QUANT,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],vuluv,vuluv,MS||MD,,one_third,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
39,40,v.m.n,1u2u3,vumun,DONE,8,NOUN_QUANT,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],vumun,vumun,MS||MD,,one_eighth,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
40,41,x.m.s,1u2u3,xumus,DONE,8,NOUN_QUANT,1u2u3,1u2u3,8,DONE,LEXICON,[STEM-NOM],xumus,xumus,MS||MD,,one_fifth,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
41,42,z.h.w,1u2aA',zuhaA',DONE,1,NOUN_QUANT,1u2A3,1u2A3,3,DONE,LEXICON,[STEM-NOM],zuhaA',zuhaA',MS,,about;approximately;around;roughly;nearly;almost,,pos:noun_quant gen:- num:- rat:i cas:u,noun_quant,-,-,i,u,NOUN,NOM,,,
