ROOT	STATUS	PATTERN_LEMMA_PROPOSED
j.r.d	BACKOFF-1	>ajruwd
j.r.d	BACKOFF-1	>ajruwdiy
	NO_ROOT	
j.w.r	BACKOFF-1	>ajuwr
	NO_ROOT	
j.w.d	BACKOFF-1	>ajwAd
j.w.d	LOOKUP_DEDIAC-1	>a12a3
j.w.f	LOOKUP_DEDIAC-1	>a12a3
j.y.w	BACKOFF-1	>ajyuw
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
k.w.r	BACKOFF-1	>ak~awr
>.k.l	LOOKUP_DEDIAC-1	>a2~iy3
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
NTWS	LOOKUP_DIAC-1	NTWS
NTWS	LOOKUP_DIAC-1	NTWS
k.l.n	BACKOFF-1	>akalAn
k.l.n	BACKOFF-1	>akalAnap
	NO_ROOT	
m.s.w	BACKOFF-1	1i2a3~a>
>.k.l	LOOKUP_DEDIAC-1	>a23
	NO_ROOT	
>.k.l	LOOKUP_DEDIAC-1	>a23ap
k.m.l	LOOKUP_DEDIAC-1	>a12a3
k.r.b	BACKOFF-1	>akruwb
	NO_ROOT	
>.k.s.d	LOOKUP_DEDIAC-1	>a23a4ap
NTWS	LOOKUP_DEDIAC-1	NTWS
NTWS	LOOKUP_DEDIAC-1	NTWS
	NO_ROOT	
k.t.E	LOOKUP_DEDIAC-1	>a12a3
k.t.r	BACKOFF-1	>aktariy~ap
k.r.d.#	BACKOFF_NO_GOLD_ROOT-1	>akurdA$
	NO_ROOT	
	NO_ROOT	
>.k.l	LOOKUP_DEDIAC-1	>a2wa3
k.w.r	BACKOFF-1	>akwAriy
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
l.d.d	LOOKUP_DIAC-1	>a1a2~
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
>.l.m	LOOKUP_DIAC-1	>a2a3
>.l.m	LOOKUP_DIAC-1	>a2a3
	NO_ROOT	
	NO_ROOT	
NTWS	LOOKUP_DIAC-1	NTWS
NTWS	LOOKUP_DEDIAC-1	NTWS
l.d.g	BACKOFF-1	>aldag
	NO_ROOT	
>.l.f	LOOKUP_DEDIAC-1	>a23ap
l.f.w	BACKOFF-1	>alfAwiy
l.f.w	BACKOFF-1	>alfAwiy~ap
>.l.f	LOOKUP_DEDIAC-1	>a23iy
l.f.y	BACKOFF-1	>alfiy~ap
>.l.f	LOOKUP_DIAC-1	>a2i3
	NO_ROOT	
	NO_ROOT	
>.l.f	LOOKUP_DIAC-1	>a2iy3
>.l.m	LOOKUP_DIAC-1	>a2iy3
	NO_ROOT	
	NO_ROOT	
l.m.Z	BACKOFF-1	>almAZ
l.m.Z	BACKOFF-1	>almAZap
l.m.Z	BACKOFF-1	>almAZap
l.m.Z	BACKOFF-1	>almAZiy~ap
l.w.f	BACKOFF-1	>aluwf
	NO_ROOT	
l.w.q	BACKOFF-1	>alwaq
	NO_ROOT	
>.m.m	LOOKUP_DEDIAC-1	>a2~
	NO_ROOT	
>.m.l	LOOKUP_DIAC-1	>a2a3
>.m.l	LOOKUP_DIAC-1	>a2a3
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
>.m.m	LOOKUP_DEDIAC-1	>a2A3iy
>.m.n	LOOKUP_DIAC-1	>a2A3
>.m.n	LOOKUP_DIAC-1	>a2A3ap
>.m.n	LOOKUP_DIAC-1	>a2A3ap
>.m.y	LOOKUP_DIAC-1	>a2ap
>.m.r	LOOKUP_DIAC-1	>a2A3ap
	NO_ROOT	
m.b.r.#	BACKOFF_NO_GOLD_ROOT-1	>ambarAs
NTWS	LOOKUP_DEDIAC-1	NTWS
m.b.b	BACKOFF_NO_GOLD_ROOT-1	>ambuwbap
m.b.l	BACKOFF_NO_GOLD_ROOT-1	>ambuwlap
	NO_ROOT	
NTWS	LOOKUP_DEDIAC-1	NTWS
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
>.m.n	LOOKUP_DIAC-1	>a2iy3
>.m.n	LOOKUP_DIAC-1	>a2iy3
>.m.n	LOOKUP_DIAC-1	>a2iy3
>.m.r	LOOKUP_DIAC-1	>a2iy3
m.y.r	BACKOFF-1	>amiyrap
>.m.r	LOOKUP_DEDIAC-1	>a2iy3iy
>.m.n m.n.n	LOOKUP_DEDIAC-2	>a23
>.m.n	LOOKUP_DEDIAC-1	>a23iy
NTWS	LOOKUP_DIAC-1	NTWS
>.m.r m.r.r	LOOKUP_DEDIAC-2	>a23
>.m.r m.r.r	LOOKUP_DEDIAC-2	>a23
>.m.r.k	LOOKUP_DEDIAC-1	>a23a4ap
	NO_ROOT	
	NO_ROOT	
	NO_ROOT	
>.m.r.k	LOOKUP_DEDIAC-1	>a23iy4iy
>.m.r.k	LOOKUP_DEDIAC-1	>a23iy4iy
>.m.r.k	LOOKUP_DEDIAC-1	>a23iy4iy
>.m.r.k	LOOKUP_DEDIAC-1	>a23iy4iy
