ROOT	STATUS	PATTERN_LEMMA_PROPOSED
b.l.b.T	BACKOFF-1	mi1a23a4
m.z.j	BACKOFF-1	mi1A23ap
b.l.b.l	BACKOFF-1	mi1a23i4
b.l.D.m	BACKOFF-1	mi1a23a4
b.l.E.m	BACKOFF-1	mi1a23a4
m.m.b.r m.b.r	BACKOFF_NO_GOLD_ROOT-2	1i23A4
m.m.b.r m.b.r	BACKOFF_NO_GOLD_ROOT-2	1i23a4
b.l.g	LOOKUP_DEDIAC-1	mi1A2i3
b.l.m.r	BACKOFF-1	mi1a23a4
b.l.T.j	BACKOFF-1	mi1a23a4
b.l.w.r	LOOKUP_DEDIAC-1	mi1a23a4
b.n.r	BACKOFF-1	mi1a2~a3
b.n.T	BACKOFF-1	mi1a2~a3
b.n.d	BACKOFF-1	mi1a2~i3
m.n.n	LOOKUP_DEDIAC-1	1i2
b.n.j	BACKOFF-1	mi1a2~i3
b.n.j.r	BACKOFF-1	mi1a23a4
b.q.E	BACKOFF-1	mi1a2~a3
b.q.j	BACKOFF-1	mi1a2~a3
b.q.l	BACKOFF-1	mi1a2~a3
b.q.$.$	BACKOFF-1	mi1a23i4
b.q.b.q	BACKOFF-1	mi1a23a4
b.q.b.$	BACKOFF-1	mi1a23i4
b.q.l.T	BACKOFF-1	mi1a23a4
b.q.l.Z	BACKOFF-1	mi1a23a4
b.q.l.l	BACKOFF-1	mi1a23i4
b.r.k	LOOKUP_DEDIAC-1	mi1A2i3
b.s.T	BACKOFF-1	mi1A2i3
b.y.E	LOOKUP_DEDIAC-1	mi1a2~a3
b.y.f	BACKOFF-1	mi1a2~i3
b.y.n	LOOKUP_DEDIAC-1	mi1a2~i3
b.y.E	BACKOFF-1	mi1A2i3
b.d.E	LOOKUP_DEDIAC-1	mi1ti2i3
b.k.r	LOOKUP_DEDIAC-1	mi1ti2i3
D.y.q	LOOKUP_DEDIAC-1	mi1~A2i3
D.b.$	BACKOFF-1	mi1a2~a3
D.b.b	BACKOFF-1	mi1a2~a3
D.b.E	BACKOFF-1	mi1a2~a3
D.d.d	LOOKUP_DEDIAC-1	mi1A2~
D.E.D.E	BACKOFF-1	mi1a23a4
D.f.r	BACKOFF-1	mi1a2~a3
D.h.r	BACKOFF-1	mi1a2~a3
D.H.D.H	BACKOFF-1	mi1a23a4
d.H.l	BACKOFF-1	mi1A2i3
d.h.m	BACKOFF-1	mi1A2i3
d.h.n	LOOKUP_DEDIAC-1	mi1A2i3
d.H.s	BACKOFF-1	mi1A2i3
D.l.E	LOOKUP_DEDIAC-1	mi1a2~a3
D.l.m	BACKOFF-1	mi1a2~a3
D.l.l	LOOKUP_DEDIAC-1	mi1a2~i3
D.l.m	BACKOFF-1	mi1a2~i3
D.m.d	LOOKUP_DEDIAC-1	mi1a2~a3
D.m.n	LOOKUP_DEDIAC-1	mi1a2~a3
D.m.r	LOOKUP_DEDIAC-1	mi1a2~a3
D.m.n	LOOKUP_DEDIAC-1	mi1a2~i3
d.q.r	BACKOFF-1	mi1A2i3
D.r.s	BACKOFF-1	mi1a2~a3
D.r.b	LOOKUP_DEDIAC-1	mi1A2i3
d.r.k	LOOKUP_DEDIAC-1	mi1A2i3
d.w.m	BACKOFF-1	mi1A2i3
n.$.$	LOOKUP_DIAC-1	mi1a2~ap
d.w.r	BACKOFF-1	mi1A2i3
D.x.m	LOOKUP_DEDIAC-1	mi1a2~a3
d.x.l	BACKOFF-1	mi1A2i3
D.y.E	LOOKUP_DEDIAC-1	mi1a2~a3
D.y.f	LOOKUP_DEDIAC-1	mi1a2~i3
D.y.f	BACKOFF-1	mi1A2i3
d.y.n	BACKOFF-1	mi1A2i3
d.y.q	BACKOFF-1	mi1A2i3
D.E.f	LOOKUP_DEDIAC-1	mi12i3
D.m.r	LOOKUP_DEDIAC-1	mi12i3
D.r.b	LOOKUP_DEDIAC-1	mi12i3
D.h.d	LOOKUP_DEDIAC-1	mi1Ta2i3
D.r.r	LOOKUP_DEDIAC-1	mi1Ta2~
D.j.E	LOOKUP_DEDIAC-1	mi1Ti2i3
D.r.b	LOOKUP_DEDIAC-1	mi1Ti2i3
E.d.l	LOOKUP_DEDIAC-1	mi1A2i3
E.f.r	BACKOFF-1	mi1A2i3
E.k.s	LOOKUP_DEDIAC-1	mi1A2i3
n.d.y	BACKOFF-1	mi1A2i3~ap
E.l.q	LOOKUP_DEDIAC-1	mi1a2~a3
E.l.l	LOOKUP_DEDIAC-1	mi1a2~i3
E.l.m	LOOKUP_DEDIAC-1	mi1a2~i3
E.m.r	LOOKUP_DEDIAC-1	mi1a2~a3
	NO_ROOT	
E.m.S	BACKOFF-1	mi1a2~a3
E.m.d	BACKOFF-1	mi1a2~i3
E.m.l	LOOKUP_DEDIAC-1	mi1A2i3
E.n.d	LOOKUP_DEDIAC-1	mi1A2i3
E.n.q	BACKOFF-1	mi1A2i3
E.q.d	LOOKUP_DEDIAC-1	mi1a2~a3
E.q.b	LOOKUP_DEDIAC-1	mi1A2i3
E.r.D	LOOKUP_DEDIAC-1	mi1A2i3
E.r.k	BACKOFF-1	mi1A2i3
E.S.r	LOOKUP_DEDIAC-1	mi1A2i3
E.t.b	BACKOFF-1	mi1A2i3
E.w.d	LOOKUP_DEDIAC-1	mi1A2i3
E.w.n	LOOKUP_DEDIAC-1	mi1A2i3
E.y.b	BACKOFF-1	mi1A2i3
E.y.r	LOOKUP_DEDIAC-1	mi1A2i3
f.j.>	LOOKUP_DEDIAC-1	mi1A2i}
f.r.q	LOOKUP_DEDIAC-1	mi1A2i3
n.f.q	LOOKUP_DEDIAC-1	mi1A23ap
n.f.r	BACKOFF-1	mi1A23ap
f.S.l	BACKOFF-1	mi1A2i3
f.t.H	BACKOFF-1	mi1A2i3
f.w.D	LOOKUP_DEDIAC-1	mi1A2i3
n.g.$	BACKOFF-1	mi1A23ap
g.d.r	LOOKUP_DEDIAC-1	mi1A2i3
g.l.T	LOOKUP_DEDIAC-1	mi1A2i3
n.g.y	BACKOFF-1	mi1A2i3~ap
>.k.l	LOOKUP_DIAC-1	muta|2i3
w.r.v	LOOKUP_DIAC-1	muta1A2a3
g.m.r	LOOKUP_DEDIAC-1	mi1A2i3
h.*.b	LOOKUP_DEDIAC-1	mi1a2~i3
H.$.r	BACKOFF-1	mi1a2~a3
H.$.$	LOOKUP_DEDIAC-1	mi1a2~i3
h.$.k	BACKOFF-1	mi1a2~i3
h.$.m	LOOKUP_DEDIAC-1	mi1a2~i3
H.$.r.j	BACKOFF-1	mi1a23a4
n.h.d	BACKOFF-1	mi1A23ap
n.h.D	LOOKUP_DEDIAC-1	mi1A23ap
k.y.f	LOOKUP_DIAC-1	mu1a2~a3
h.b.T	LOOKUP_DEDIAC-1	mi1a2~a3
h.b.$	BACKOFF-1	mi1a2~i3
r.t.l	LOOKUP_DIAC-1	mu1a2~a3
h.b.l	LOOKUP_DEDIAC-1	mi1a2~i3
n.H.r	BACKOFF-1	mi1A23ap
h.b.h.b	BACKOFF-1	mi1a23a4
h.b.h.b	BACKOFF-1	mi1a23i4
h.b.$	BACKOFF-1	mi1A2i3
h.b.r	BACKOFF-1	mi1A2i3
m.n.j.d.t	BACKOFF_NO_GOLD_ROOT-1	1i2a3~i4A5iy
h.D.m	BACKOFF-1	mi1a2~a3
H.D.n	LOOKUP_DEDIAC-1	mi1a2~a3
H.D.r	LOOKUP_DEDIAC-1	mi1a2~a3
h.d.d	LOOKUP_DEDIAC-1	mi1a2~i3
h.d.f	BACKOFF-1	mi1a2~i3
h.d.l	LOOKUP_DEDIAC-1	mi1a2~i3
n.j.y	BACKOFF-1	mi1A2i3~ap
h.d.m	LOOKUP_DEDIAC-1	mi1a2~i3
H.D.r	LOOKUP_DEDIAC-1	mi1A2i3
H.f.D	BACKOFF-1	mi1a2~a3
H.f.Z	BACKOFF-1	mi1a2~a3
n.k.f	BACKOFF-1	mi1A23ap
H.f.f	BACKOFF-1	mi1a2~i3
h.f.t	BACKOFF-1	mi1a2~i3
h.f.h.f	LOOKUP_DEDIAC-1	mi1a23i4
H.f.Z	LOOKUP_DEDIAC-1	mi1A2i3
H.f.l.T	BACKOFF-1	mi1a23a4
h.j.r	LOOKUP_DEDIAC-1	mi1a2~a3
h.j.S	BACKOFF-1	mi1a2~a3
h.j.j	BACKOFF-1	mi1a2~i3
h.j.n	BACKOFF-1	mi1a2~i3
h.j.m	LOOKUP_DEDIAC-1	mi1A2i3
h.j.r	LOOKUP_DEDIAC-1	mi1A2i3
h.k.E	BACKOFF-1	mi1a2~a3
H.k.m	LOOKUP_DEDIAC-1	mi1a2~i3
n.q.$	LOOKUP_DEDIAC-1	mi1A23ap
n.q.D	LOOKUP_DEDIAC-1	mi1A23ap
H.k.H.k	BACKOFF-1	mi1a23a4
H.l.q	LOOKUP_DEDIAC-1	mi1a2~a3
h.l.b	BACKOFF-1	mi1a2~i3
H.l.f	LOOKUP_DEDIAC-1	mi1a2~i3
h.l.k	LOOKUP_DEDIAC-1	mi1a2~i3
n.q.r	LOOKUP_DEDIAC-1	mi1A23ap
h.l.l	LOOKUP_DEDIAC-1	mi1a2~i3
h.l.s	BACKOFF-1	mi1a2~i3
h.l.D.m	BACKOFF-1	mi1a23a4
H.l.H.l	BACKOFF-1	mi1a23i4
h.l.h.l	LOOKUP_DEDIAC-1	mi1a23i4
n.S.S	LOOKUP_DIAC-1	mi1a2~ap
H.l.w.n m.H.l	BACKOFF-2	mi1a23i4
h.l.s	LOOKUP_DEDIAC-1	mi1a2wi3
H.l.y.T	BACKOFF-1	mi1a23a4
n.s.b	BACKOFF-1	mi1a2~i3
H.m.D	BACKOFF-1	mi1a2~a3
H.m.r	LOOKUP_DEDIAC-1	mi1a2~a3
H.m.S	BACKOFF-1	mi1a2~a3
m.h.m.T h.m.T	BACKOFF-2	ROOT_ERROR
n.s.b	LOOKUP_DEDIAC-1	mi1A23ap
h.m.$	LOOKUP_DEDIAC-1	mi1a2~i3
h.m.d	BACKOFF-1	mi1a2~i3
H.m.l	LOOKUP_DEDIAC-1	mi1a2~i3
n.S.r	LOOKUP_DEDIAC-1	mi1A23ap
h.m.l	LOOKUP_DEDIAC-1	mi1a2~i3
H.m.s	BACKOFF-1	mi1a2~i3
h.m.b.k	BACKOFF-1	mi1a23a4
H.m.b.T	BACKOFF-1	mi1a23a4
h.m.h.m	BACKOFF-1	mi1a23a4
H.m.H.r	BACKOFF-1	mi1a23a4
H.m.H.m	BACKOFF-1	mi1a23i4
h.m.h.m	BACKOFF-1	mi1a23i4
H.m.r.q	BACKOFF-1	mi1a23a4
n.T.H	LOOKUP_DEDIAC-1	mi1A23ap
H.n.T	LOOKUP_DEDIAC-1	mi1a2~a3
H.n.n	BACKOFF-1	mi1a2~i3
h.n.n	BACKOFF-1	mi1a2~i3
H.n.v	BACKOFF-1	mi1a2~i3
H.n.d.q	BACKOFF-1	mi1a23a4
h.n.d.m	LOOKUP_DEDIAC-1	mi1a23i4
h.n.d.z	BACKOFF-1	mi1a23i4
H.n.j.l	BACKOFF-1	mi1a23i4
h.n.k.r	BACKOFF-1	mi1a23a4
H.n.k.$	BACKOFF-1	mi1a23i4
H.n.t.f	BACKOFF-1	mi1a23i4
n.w.$	LOOKUP_DEDIAC-1	mi1A23ap
n.w.b	LOOKUP_DEDIAC-1	mi1A23ap
H.q.q	LOOKUP_DEDIAC-1	mi1a2~a3
h.r.b	LOOKUP_DEDIAC-1	mi1a2~a3
	NO_ROOT	
h.r.j	LOOKUP_DEDIAC-1	mi1a2~a3
n.w.l	LOOKUP_DEDIAC-1	mi1A23ap
h.r.q	LOOKUP_DEDIAC-1	mi1a2~a3
n.w.r	LOOKUP_DEDIAC-1	mi1A23ap
h.r.r	BACKOFF-1	mi1a2~a3
>.k.d	LOOKUP_DIAC-1	Aa2iy3
h.r.$.m	BACKOFF-1	mi1a23i4
h.r.b.d	BACKOFF-1	mi1a23i4
h.r.d.m	BACKOFF-1	mi1a23i4
h.r.h.r	BACKOFF-1	mi1a23a4
H.r.b	LOOKUP_DEDIAC-1	mi1A2i3
h.r.j.l	BACKOFF-1	mi1a23i4
b.k.$	BACKOFF-1	1a2~A3
h.r.w.l	LOOKUP_DEDIAC-1	mi1a23i4
m.n.n n.y.n	BACKOFF-2	1i2ay3
H.S.b	BACKOFF-1	mi1a2~a3
H.S.l	LOOKUP_DEDIAC-1	mi1a2~a3
H.S.n	LOOKUP_DEDIAC-1	mi1a2~a3
d.E.w	LOOKUP_DIAC-1	1A2iy
n.z.E	LOOKUP_DEDIAC-1	mi1A23ap
H.s.b	LOOKUP_DEDIAC-1	mi1A2i3
H.S.r	LOOKUP_DEDIAC-1	mi1A2i3
H.S.r.m	BACKOFF-1	mi1a23a4
n.z.l	LOOKUP_DEDIAC-1	mi1A23ap
n.Z.r	LOOKUP_DEDIAC-1	mi1A23ap
H.T.b	BACKOFF-1	mi1a2~a3
h.T.l	BACKOFF-1	mi1a2~a3
H.T.m	LOOKUP_DEDIAC-1	mi1a2~a3
H.T.T	BACKOFF-1	mi1a2~a3
h.t.k	BACKOFF-1	mi1a2~i3
h.t.t	BACKOFF-1	mi1a2~i3
h.t.r	BACKOFF-1	mi1A2i3
m.H.D H.w.D	BACKOFF-2	1i2aw~a3
m.H.q H.w.q	BACKOFF-2	1i2aw~a3
H.w.r	LOOKUP_DEDIAC-1	mi1a2~a3
H.w.$	BACKOFF-1	mi1a2~i3
h.y.b	LOOKUP_DEDIAC-1	mi1aw~i3
H.w.d	BACKOFF-1	mi1a2~i3
h.w.d m.h.d	BACKOFF-2	ROOT_ERROR
H.w.j	BACKOFF-1	mi1a2~i3
H.w.l	LOOKUP_DEDIAC-1	mi1a2~i3
h.w.l	LOOKUP_DEDIAC-1	mi1a2~i3
h.w.h.w	BACKOFF-1	mi1a23a4
h.w.d	BACKOFF-1	mi1A2i3
H.w.l	LOOKUP_DEDIAC-1	mi1A2i3
H.w.r	LOOKUP_DEDIAC-1	mi1A2i3
m.n.d.l n.d.l	BACKOFF-2	ROOT_ERROR
m.H.q H.y.q	BACKOFF-2	1i2ay~a3
H.y.r	LOOKUP_DEDIAC-1	mi1a2~a3
h.y.S m.h.y.S	BACKOFF-2	mi1a2~a3
h.y.$	BACKOFF-1	mi1a2~i3
H.y.f	BACKOFF-1	mi1a2~i3
h.y.f	BACKOFF-1	mi1a2~i3
h.y.j	LOOKUP_DEDIAC-1	mi1a2~i3
m.H.n H.y.n	BACKOFF-2	ROOT_ERROR
H.y.l	BACKOFF-1	mi1A2i3
h.y.m.n	LOOKUP_DEDIAC-1	mi1a23i4
h.z.r	BACKOFF-1	mi1a2~a3
h.z.h.z	BACKOFF-1	mi1a23i4
H.z.r	BACKOFF-1	mi1A2i3
E.m.l	BACKOFF-1	1a2~A3
h.d.r	LOOKUP_DEDIAC-1	mi12i3
H.S.d	LOOKUP_DEDIAC-1	mi1i2i3
H.l.w	BACKOFF-1	mi12a3~
H.l.y H.l.l	LOOKUP_DEDIAC-2	mi12ay~
H.m.D	BACKOFF-1	mi12a3~
H.m.r	LOOKUP_DEDIAC-1	mi12i3~
H.w.j	LOOKUP_DEDIAC-1	mi1tA3
H.w.l	LOOKUP_DEDIAC-1	mi1tA3
h.m.m	LOOKUP_DEDIAC-1	mi1ta2~
H.y.r	LOOKUP_DEDIAC-1	mi1tA3
m.H.t.s H.t.s	BACKOFF_NO_GOLD_ROOT-2	1i23A4
H.T.T	BACKOFF-1	mi12A3
h.z.z	LOOKUP_DEDIAC-1	mi1ta2~
E.y.y E.y.n	LOOKUP_DEDIAC-2	1a2A3
g.l.b	BACKOFF-1	1a23An
H.w.l	LOOKUP_DEDIAC-1	mi12a3~
m.j.r	BACKOFF-1	1i2A}i3
j.d.l	LOOKUP_DEDIAC-1	mi1A2i3
j.d.l	LOOKUP_DEDIAC-1	mi1a2wi3
H.d.Y H.d.#	LOOKUP_DIAC-2	1A2iy
H.f.y	LOOKUP_DIAC-1	1A2i3
H.k.y	LOOKUP_DIAC-1	1A2i3
H.n.Y	LOOKUP_DIAC-1	1A2iy
H.w.y	LOOKUP_DIAC-1	1A2i3
j.f.y	LOOKUP_DIAC-1	1A2i3
j.r.y	LOOKUP_DIAC-1	1A2i3
j.H.$	BACKOFF-1	mi1A2i3
j.h.r	LOOKUP_DEDIAC-1	mi1A2i3
k.d.b	BACKOFF-1	1a2~A3
k.y.H	BACKOFF-1	1a2~A3
j.l.s	BACKOFF-1	mi1A2i3
m.d.H	LOOKUP_DIAC-1	1a2~A3
H.f.r	LOOKUP_DEDIAC-1	ma12uw3
H.l.b	BACKOFF-1	ma12uw3
H.l.j	BACKOFF-1	ma12uw3
H.S.d	LOOKUP_DEDIAC-1	ma12uw3
j.m.E	BACKOFF-1	mi1A2i3
j.m.l	BACKOFF-1	mi1A2i3
m.}.$.r }.$.r	BACKOFF_NO_GOLD_ROOT-2	1i}a3~a4
m.}.$.l }.$.l	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
m.}.b.Z }.b.Z	BACKOFF_NO_GOLD_ROOT-2	1i}a3~a4
m.}.b.n }.b.n	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
}.b.j.j	BACKOFF_NO_GOLD_ROOT-1	mi}a23i4
m.}.d.b }.d.b	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
m.}.d.n }.d.n	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
m.}.f.n m.}.f }.f.y.n }.f.n	BACKOFF_NO_GOLD_ROOT-3+	1i}a3yi4
m.}.h.l }.h.l	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
m.}.j.l }.j.l	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
m.}.j.z }.j.z	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
j.n.s	LOOKUP_DEDIAC-1	mi1A2i3
m.}.k.d }.k.d	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
j.r.$	BACKOFF-1	mi1a2~a3
j.r.b	LOOKUP_DEDIAC-1	mi1a2~a3
j.r.d	LOOKUP_DEDIAC-1	mi1a2~a3
j.r.E	BACKOFF-1	mi1a2~a3
j.r.f	LOOKUP_DEDIAC-1	mi1a2~a3
j.r.H	BACKOFF-1	mi1a2~a3
j.r.m	LOOKUP_DEDIAC-1	mi1a2~a3
j.r.n	BACKOFF-1	mi1a2~a3
j.r.j.r	BACKOFF-1	mi1a23a4
j.r.w.l	BACKOFF-1	mi1a23i4
m.}.k.l }.k.l	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
}.k.s.d	BACKOFF_NO_GOLD_ROOT-1	mi}a23i4
m.}.l.b }.l.b	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
m.}.l.f }.l.f	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
m.}.l.s }.l.s	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
m.}.l.t }.l.t	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
m.}.m.n }.m.n	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
m.}.n.b }.n.b	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
j.w.b	BACKOFF-1	mi1A2i3
j.w.r	LOOKUP_DEDIAC-1	mi1A2i3
j.w.z	BACKOFF-1	mi1A2i3
m.}.s.d }.s.d	BACKOFF_NO_GOLD_ROOT-2	1i}a3~i4
m.}.T.r }.T.r	BACKOFF_NO_GOLD_ROOT-2	1i}a3~a4
}.t.m.n }.m.n	BACKOFF_NO_GOLD_ROOT-2	ROOT_ERROR
j.z.E	LOOKUP_DEDIAC-1	mi1a2~a3
j.z.l	BACKOFF-1	mi1a2~i3
j.z.f	LOOKUP_DEDIAC-1	mi1A2i3
*.k.r	LOOKUP_DEDIAC-1	mi1a2~a3
*.l.l	BACKOFF-1	mi1a2~i3
*.n.b	LOOKUP_DEDIAC-1	mi1a2~i3
m.y.d	BACKOFF-1	1i>ay~id
j.r.b	LOOKUP_DEDIAC-1	mi12i3~
j.r.m	LOOKUP_DEDIAC-1	mi12i3~
m.j.t.H j.t.H	BACKOFF_NO_GOLD_ROOT-2	1i23A4
m.y.n	BACKOFF-1	1i>ay~in
b.$.r	LOOKUP_DEDIAC-1	mi1a2~a3
b.$.t	BACKOFF-1	mi1a2~i3
b.$.b.$	BACKOFF-1	mi1a23i4
b.$.k.r	BACKOFF-1	mi1a23a4
b.$.n.q	BACKOFF-1	mi1a23a4
k.$.f	BACKOFF-1	mi1A2i3
b.$.n.n	BACKOFF-1	mi1a23i4
b.$.r.q	BACKOFF-1	mi1a23a4
b.$.t.k	BACKOFF-1	mi1a23i4
b.D.E	LOOKUP_DEDIAC-1	mi1a2~a3
b.d.r	BACKOFF-1	mi1a2~a3
b.d.d	LOOKUP_DEDIAC-1	mi1a2~i3
k.b.r	LOOKUP_DEDIAC-1	mi1A2i3
b.d.l	BACKOFF-1	mi1a2~i3
b.E.d	LOOKUP_DEDIAC-1	mi1a2~a3
b.E.r	BACKOFF-1	mi1a2~a3
b.E.b.E	BACKOFF-1	mi1a23a4
b.E.b.S	BACKOFF-1	mi1a23a4
b.E.j.r	BACKOFF-1	mi1a23a4
b.E.k.k	BACKOFF-1	mi1a23i4
b.E.t.r	BACKOFF-1	mi1a23a4
b.E.z.q	LOOKUP_DEDIAC-1	mi1a23a4
b.g.l	BACKOFF-1	mi1a2~i3
b.g.b.g	BACKOFF-1	mi1a23a4
b.g.d.d	BACKOFF-1	mi1a23i4
b.H.r	BACKOFF-1	mi1a2~a3
b.h.t	BACKOFF-1	mi1a2~a3
b.H.b.H	LOOKUP_DEDIAC-1	mi1a23a4
b.h.b.h	BACKOFF-1	mi1a23a4
b.h.d.l	LOOKUP_DEDIAC-1	mi1a23i4
b.H.l.q	BACKOFF-1	mi1a23a4
k.f.>	LOOKUP_DEDIAC-1	mi1A2i}
k.f.H	BACKOFF-1	mi1A2i3
b.h.r.j	LOOKUP_DEDIAC-1	mi1a23a4
b.h.w.q b.h.q	BACKOFF-2	ROOT_ERROR
b.j.H	BACKOFF-1	mi1a2~a3
m.n.H	LOOKUP_DEDIAC-1	1i23ap
b.j.l	LOOKUP_DEDIAC-1	mi1a2~i3
b.j.m	BACKOFF-1	mi1a2~i3
b.r.d	LOOKUP_DEDIAC-1	mi1a2~a3
b.r.j	BACKOFF-1	mi1a2~a3
b.r.m	LOOKUP_DEDIAC-1	mi1a2~a3
b.r.q	LOOKUP_DEDIAC-1	mi1a2~a3
b.r.S	BACKOFF-1	mi1a2~a3
b.r.$.m	BACKOFF-1	mi1a23i4
b.r.b.q	BACKOFF-1	mi1a23a4
b.r.b.r	BACKOFF-1	mi1a23a4
b.r.b.$	BACKOFF-1	mi1a23i4
b.r.g.$	BACKOFF-1	mi1a23a4
b.r.g.l	BACKOFF-1	mi1a23a4
b.r.h.n	LOOKUP_DEDIAC-1	mi1a23a4
b.r.j.l	BACKOFF-1	mi1a23i4
b.r.q.E	BACKOFF-1	mi1a23a4
b.r.T.$	BACKOFF-1	mi1a23a4
b.r.T.E	BACKOFF-1	mi1a23a4
b.r.T.l	BACKOFF-1	mi1a23a4
b.r.T.m	BACKOFF-1	mi1a23a4
b.r.t.s	BACKOFF-1	mi1a23a4
b.r.w.q b.r.q	BACKOFF-2	ROOT_ERROR
b.r.w.l	BACKOFF-1	mi1a23i4
b.s.T	LOOKUP_DEDIAC-1	mi1a2~a3
b.S.b.S	BACKOFF-1	mi1a23a4
b.s.b.s	BACKOFF-1	mi1a23i4
b.s.m.l	BACKOFF-1	mi1a23i4
b.s.t.r	LOOKUP_DEDIAC-1	mi1a23a4
b.s.t.f	BACKOFF-1	mi1a23i4
b.T.$	BACKOFF-1	mi1a2~a3
b.T.H	BACKOFF-1	mi1a2~a3
k.r.k	BACKOFF-1	mi1A2i3
k.r.m	BACKOFF-1	mi1A2i3
b.T.l	LOOKUP_DEDIAC-1	mi1a2~a3
b.T.n	LOOKUP_DEDIAC-1	mi1a2~a3
b.T.T	BACKOFF-1	mi1a2~a3
b.t.n	BACKOFF-1	mi1a2~i3
b.T.b.T	BACKOFF-1	mi1a23a4
b.T.r.x	BACKOFF-1	mi1a23a4
b.w.q	BACKOFF-1	mi1a2~a3
b.w.r	BACKOFF-1	mi1a2~a3
b.w.x	BACKOFF-1	mi1a2~a3
b.w.Z	BACKOFF-1	mi1a2~a3
b.w.$	BACKOFF-1	mi1a2~i3
b.w.b	LOOKUP_DEDIAC-1	mi1a2~i3
b.w.s	BACKOFF-1	mi1a2~i3
b.w.z	LOOKUP_DEDIAC-1	mi1a2~i3
k.s.r	BACKOFF-1	mi1A2i3
b.x.r	BACKOFF-1	mi1a2~a3
b.x.b.x	BACKOFF-1	mi1a23a4
b.y.D	LOOKUP_DEDIAC-1	mi1a2~a3
b.y.$	BACKOFF-1	mi1a2~i3
b.y.t	LOOKUP_DEDIAC-1	mi1a2~i3
b.Z.m	BACKOFF-1	mi1a2~a3
b.z.q	BACKOFF-1	mi1a2~a3
b.Z.Z	BACKOFF-1	mi1a2~a3
b.Z.b.Z	BACKOFF-1	mi1a23a4
k.t.b	LOOKUP_DEDIAC-1	mi1A2i3
b.z.b.z	BACKOFF-1	mi1a23i4
b.h.j	LOOKUP_DEDIAC-1	mi1ti2i3
b.h.l	BACKOFF-1	mi1ti2i3
d.b.q	BACKOFF-1	mi1~a2~a3
m.d.n	BACKOFF-1	1i2~a3
d.x.r *.x.r	LOOKUP_DEDIAC-2	mid~i2i3
d.$.$	BACKOFF-1	mi1a2~i3
d.$.n	BACKOFF-1	mi1a2~i3
d.$.t	BACKOFF-1	mi1a2~i3
d.$.d.$	BACKOFF-1	mi1a23i4
d.b.H	BACKOFF-1	mi1a2~a3
d.b.q	BACKOFF-1	mi1a2~a3
d.b.r	LOOKUP_DEDIAC-1	mi1a2~a3
k.y.d	BACKOFF-1	mi1A2i3
k.y.H	BACKOFF-1	mi1A2i3
d.b.$	BACKOFF-1	mi1a2~i3
d.b.b	LOOKUP_DEDIAC-1	mi1a2~i3
d.b.j	LOOKUP_DEDIAC-1	mi1a2~i3
d.b.l	BACKOFF-1	mi1a2~i3
d.b.s	BACKOFF-1	mi1a2~i3
d.b.d.b	LOOKUP_DEDIAC-1	mi1a23i4
d.b.l.j	BACKOFF-1	mi1a23i4
d.E.k	BACKOFF-1	mi1a2~a3
d.E.m	LOOKUP_DEDIAC-1	mi1a2~a3
d.E.b.l	LOOKUP_DEDIAC-1	mi1a23i4
d.E.b.s	BACKOFF-1	mi1a23i4
d.E.k.$	BACKOFF-1	mi1a23i4
d.E.w.r d.E.r	BACKOFF-2	ROOT_ERROR
d.f.q	BACKOFF-1	mi1a2~a3
d.f.n	LOOKUP_DEDIAC-1	mi1a2~i3
d.f.s	BACKOFF-1	mi1a2~i3
d.f.d.f	BACKOFF-1	mi1a23i4
d.g.$	BACKOFF-1	mi1a2~a3
l.b.T	BACKOFF-1	mi1A2i3
d.g.$.$	BACKOFF-1	mi1a23i4
d.g.d.g	BACKOFF-1	mi1a23a4
d.g.m.s	BACKOFF-1	mi1a23i4
d.h.b	BACKOFF-1	mi1a2~a3
d.H.k	BACKOFF-1	mi1a2~a3
d.h.k	BACKOFF-1	mi1a2~i3
l.E.b	LOOKUP_DEDIAC-1	mi1A2i3
d.h.n	LOOKUP_DEDIAC-1	mi1a2~i3
d.H.d.H	BACKOFF-1	mi1a23a4
n.k.t	BACKOFF-1	mi12A3
d.H.d.r	BACKOFF-1	mi1a23a4
d.H.l.b	BACKOFF-1	mi1a23i4
d.h.l.z	BACKOFF-1	mi1a23i4
d.h.n.n	BACKOFF-1	mi1a23i4
d.H.r.j	BACKOFF-1	mi1a23a4
d.h.r d.h.w.r	BACKOFF-2	mi1a2wa3
